packet_index,time_boot_ms,lat_deg,lon_deg,alt_m,relative_alt_m,heading_deg,vx_mps,vy_mps,vz_mps
4,7212467,63.441019,10.3493405,15.45,8.591,235.8,0.08,-0.09,0.06
15,7212487,63.441019,10.3493404,15.45,8.593,236.16,0.08,-0.09,0.08
22,7212527,63.441019,10.3493403,15.45,8.596,236.88,0.09,-0.1,0.1
35,7212567,63.4410191,10.3493402,15.46,8.602,237.59,0.1,-0.1,0.12
50,7212587,63.4410191,10.3493402,15.46,8.604,237.94,0.1,-0.1,0.13
55,7212627,63.4410191,10.3493401,15.46,8.607,238.63,0.11,-0.1,0.15
68,7212667,63.4410191,10.34934,15.47,8.614,239.32,0.12,-0.1,0.15
81,7212687,63.4410191,10.3493399,15.47,8.617,239.66,0.12,-0.09,0.15
86,7212727,63.4410191,10.3493398,15.48,8.622,240.33,0.13,-0.09,0.14
99,7212767,63.4410192,10.3493397,15.49,8.633,240.99,0.13,-0.09,0.13
108,7212787,63.4410192,10.3493397,15.49,8.637,241.33,0.13,-0.08,0.11
117,7212827,63.4410192,10.3493396,15.5,8.646,241.96,0.13,-0.07,0.09
129,7212847,63.4410192,10.3493396,15.51,8.652,242.26,0.13,-0.07,0.08
139,7212887,63.4410193,10.3493395,15.52,8.664,242.86,0.13,-0.06,0.05
151,7212927,63.4410193,10.3493395,15.53,8.676,243.43,0.13,-0.06,0.02
163,7212947,63.4410193,10.3493394,15.54,8.683,243.71,0.13,-0.05,0.01
171,7212987,63.4410193,10.3493394,15.55,8.696,244.25,0.12,-0.05,-0.01
182,7213027,63.4410194,10.3493393,15.56,8.708,244.79,0.12,-0.04,-0.04
194,7213047,63.4410194,10.3493393,15.57,8.714,245.06,0.12,-0.04,-0.06
206,7213087,63.4410194,10.3493393,15.58,8.724,245.61,0.12,-0.03,-0.09
213,7213127,63.4410194,10.3493392,15.59,8.735,246.16,0.12,-0.02,-0.11
225,7213147,63.4410194,10.3493392,15.59,8.739,246.44,0.12,-0.02,-0.13
237,7213187,63.4410195,10.3493392,15.6,8.746,247.01,0.11,-0.02,-0.15
244,7213227,63.4410195,10.3493391,15.61,8.755,247.59,0.11,-0.02,-0.17
257,7213247,63.4410195,10.3493391,15.61,8.756,247.88,0.1,-0.02,-0.18
268,7213287,63.4410195,10.3493391,15.62,8.76,248.43,0.1,-0.02,-0.2
276,7213327,63.4410196,10.3493391,15.62,8.764,248.98,0.09,-0.02,-0.21
288,7213347,63.4410196,10.349339,15.62,8.762,249.27,0.08,-0.03,-0.21
300,7213387,63.4410196,10.349339,15.62,8.76,249.8,0.08,-0.03,-0.2
309,7213427,63.4410196,10.3493389,15.61,8.759,250.31,0.07,-0.03,-0.19
321,7213447,63.4410196,10.3493389,15.61,8.754,250.55,0.06,-0.03,-0.18
333,7213487,63.4410196,10.3493389,15.6,8.746,250.96,0.05,-0.03,-0.15
339,7213507,63.4410196,10.3493388,15.6,8.741,251.12,0.04,-0.03,-0.13
352,7213547,63.4410196,10.3493388,15.58,8.729,251.36,0.03,-0.04,-0.1
368,7213587,63.4410196,10.3493387,15.57,8.714,251.51,0.02,-0.04,-0.06
372,7213607,63.4410196,10.3493387,15.56,8.707,251.56,0.02,-0.04,-0.04
385,7213647,63.4410195,10.3493386,15.55,8.693,251.63,0.01,-0.03,0.0
399,7213687,63.4410195,10.3493386,15.54,8.68,251.67,0.01,-0.03,0.02
