latitude,longitude,altitude (m),northing (local m),easting (local m),ping number,elapsed (s),datetime,altitude (m above MSL),northing (UTM m),easting (UTM m),coordinate projection
63.44099156,10.34897477,-4.112,48.571,24.263,29550,0.000,2026-04-22T15:40:23.883Z,15.528,7035433.363,567292.517,UTM zone 32N
63.44099403,10.34897035,-3.896,48.847,24.042,29550,0.000,2026-04-22T15:40:23.883Z,15.744,7035433.634,567292.291,UTM zone 32N
63.44099626,10.34896628,-3.873,49.096,23.839,29550,0.000,2026-04-22T15:40:23.883Z,15.767,7035433.879,567292.083,UTM zone 32N
63.44099742,10.34896419,-3.819,49.225,23.735,29550,0.000,2026-04-22T15:40:23.883Z,15.821,7035434.006,567291.975,UTM zone 32N
63.44100072,10.34895826,-3.584,49.593,23.439,29550,0.000,2026-04-22T15:40:23.883Z,16.056,7035434.367,567291.672,UTM zone 32N
63.44100180,10.34895636,-3.437,49.713,23.344,29550,0.000,2026-04-22T15:40:23.883Z,16.203,7035434.485,567291.575,UTM zone 32N
63.44100395,10.34895246,-3.369,49.953,23.149,29550,0.000,2026-04-22T15:40:23.883Z,16.271,7035434.721,567291.375,UTM zone 32N
63.44100636,10.34894825,-2.964,50.221,22.939,29550,0.000,2026-04-22T15:40:23.883Z,16.676,7035434.985,567291.160,UTM zone 32N
63.44100933,10.34894279,-3.024,50.553,22.667,29550,0.000,2026-04-22T15:40:23.883Z,16.616,7035435.310,567290.880,UTM zone 32N
63.44101216,10.34893768,-2.888,50.868,22.412,29550,0.000,2026-04-22T15:40:23.883Z,16.752,7035435.620,567290.619,UTM zone 32N
63.44101517,10.34893242,-2.364,51.204,22.149,29550,0.000,2026-04-22T15:40:23.883Z,17.276,7035435.950,567290.349,UTM zone 32N
63.44099654,10.34896435,-3.794,49.127,23.742,29551,0.080,2026-04-22T15:40:23.963Z,15.846,7035433.908,567291.985,UTM zone 32N
63.44100363,10.34895157,-3.197,49.917,23.105,29551,0.080,2026-04-22T15:40:23.963Z,16.443,7035434.684,567291.332,UTM zone 32N
63.44100593,10.34894745,-2.965,50.174,22.899,29551,0.080,2026-04-22T15:40:23.963Z,16.675,7035434.936,567291.121,UTM zone 32N
63.44101485,10.34893130,-2.398,51.168,22.093,29551,0.080,2026-04-22T15:40:23.963Z,17.242,7035435.913,567290.294,UTM zone 32N
63.44099456,10.34896763,-3.877,48.906,23.906,29552,0.100,2026-04-22T15:40:23.983Z,15.753,7035433.691,567292.154,UTM zone 32N
63.44100012,10.34895750,-3.579,49.527,23.401,29552,0.100,2026-04-22T15:40:23.983Z,16.051,7035434.300,567291.636,UTM zone 32N
63.44100346,10.34895152,-3.196,49.899,23.102,29552,0.100,2026-04-22T15:40:23.983Z,16.434,7035434.666,567291.329,UTM zone 32N
63.44100613,10.34894672,-2.963,50.195,22.863,29552,0.100,2026-04-22T15:40:23.983Z,16.667,7035434.957,567291.084,UTM zone 32N
63.44100797,10.34894330,-3.009,50.401,22.692,29552,0.100,2026-04-22T15:40:23.983Z,16.621,7035435.158,567290.909,UTM zone 32N
63.44100901,10.34894140,-2.951,50.518,22.597,29552,0.100,2026-04-22T15:40:23.983Z,16.679,7035435.273,567290.812,UTM zone 32N
63.44101190,10.34893611,-2.879,50.839,22.333,29552,0.100,2026-04-22T15:40:23.983Z,16.751,7035435.589,567290.541,UTM zone 32N
63.44101400,10.34893245,-2.419,51.073,22.151,29552,0.100,2026-04-22T15:40:23.983Z,17.211,7035435.819,567290.354,UTM zone 32N
63.44101527,10.34893013,-2.355,51.215,22.035,29552,0.100,2026-04-22T15:40:23.983Z,17.275,7035435.959,567290.235,UTM zone 32N
63.44101902,10.34892306,-2.690,51.633,21.682,29552,0.100,2026-04-22T15:40:23.983Z,16.940,7035436.369,567289.874,UTM zone 32N
63.44099593,10.34896371,-3.799,49.059,23.711,29553,0.180,2026-04-22T15:40:24.063Z,15.831,7035433.839,567291.955,UTM zone 32N
63.44099883,10.34895842,-3.563,49.383,23.447,29553,0.180,2026-04-22T15:40:24.063Z,16.067,7035434.157,567291.685,UTM zone 32N
63.44100293,10.34895088,-3.375,49.839,23.071,29553,0.180,2026-04-22T15:40:24.063Z,16.255,7035434.605,567291.299,UTM zone 32N
