ping_number,pwr_up_msec,range_m,angle_deg,surveyor_y_m,surveyor_z_m,boat_x_m,boat_y_m,boat_z_m,x_sonar_m,y_sonar_m,z_sonar_m,x_boat_m,y_boat_m,z_boat_m,map_x_m,map_y_m,map_z_m,roll_rad,pitch_rad,yaw_rad_original,yaw_rad_used,altitude_m
39789,5545139,3.0668943654745817,-33.99999866940647,-1.714985505821081,-2.5425706998632998,37.55053329467773,19.44818687438965,16.727462768554688,2.5425706998632998,0.0,1.714985505821081,2.6226634226325727,0.24138485356931844,1.7277197883047366,40.036048082273275,18.521530421598882,18.426041527986335,-0.056793738156557,0.0048171593807637,2.656558990478516,5.798151644068309,-1.7277197883047366
39790,5545189,3.0668943654745817,-33.99999866940647,-1.714985505821081,-2.5425706998632998,37.55229187011719,19.448888778686523,16.713708877563477,2.5425706998632998,0.0,1.714985505821081,2.6226634226325727,0.24138485356931844,1.7277197883047366,40.04014728486731,18.519789454361007,18.407519853937053,-0.0549093186855316,0.0068697449751198,2.657377243041992,5.798969896631785,-1.7277197883047366
39791,5545239,3.0668943654745817,-33.99999866940647,-1.714985505821081,-2.5425706998632998,37.55569076538086,19.450428009033203,16.69211196899414,2.5425706998632998,0.0,1.714985505821081,2.6226634226325727,0.24138485356931844,1.7277197883047366,40.04725576609401,18.5183969575141,18.378844819528776,-0.0516674481332302,0.0099633736535906,2.659151792526245,5.800744446116038,-1.7277197883047366
39792,5545289,3.0668943654745817,-34.99999983559887,-1.7590983336055033,-2.512252794144347,37.557838439941406,19.451812744140625,16.679771423339844,2.512252794144347,0.0,1.7590983336055033,2.594518308205359,0.24347823337782298,1.7732015129551697,40.029443364137784,18.53585258816774,18.408133827075368,-0.0493970476090908,0.0117682227864861,2.660884141921997,5.80247679551179,-1.7732015129551697
39793,5545339,3.0668943654745817,-34.99999983559887,-1.7590983336055033,-2.512252794144347,37.56098175048828,19.454345703125,16.66695213317871,2.512252794144347,0.0,1.7590983336055033,2.594518308205359,0.24347823337782298,1.7732015129551697,40.036351697162665,18.539682187923976,18.390606619538854,-0.0458615273237228,0.0140097942203283,2.6643640995025635,5.805956753092357,-1.7732015129551697
39794,5545389,3.0668943654745817,-34.99999983559887,-1.7590983336055033,-2.512252794144347,37.56363296508789,19.455759048461918,16.659704208374023,2.512252794144347,0.0,1.7590983336055033,2.594518308205359,0.24347823337782298,1.7732015129551697,40.041566052316554,18.54353295471942,18.380965860883833,-0.0434499941766262,0.0152198122814297,2.667259693145752,5.808852346735545,-1.7732015129551697
39795,5545439,3.0668943654745817,-34.99999983559887,-1.7590983336055033,-2.512252794144347,37.56829833984375,19.457578659057617,16.657981872558594,2.512252794144347,0.0,1.7590983336055033,2.594518308205359,0.24347823337782298,1.7732015129551697,40.05027547012761,18.55036031733564,18.376060716057697,-0.0398360453546047,0.0168704073876142,2.672089099884033,5.813681753473826,-1.7732015129551697
39796,5545489,3.0668943654745817,-34.99999983559887,-1.7590983336055033,-2.512252794144347,37.5713005065918,19.459157943725582,16.657224655151367,2.512252794144347,0.0,1.7590983336055033,2.594518308205359,0.24347823337782298,1.7732015129551697,40.056291138186566,18.55571416613108,18.372934831404947,-0.0374827906489372,0.0180523097515106,2.675470352172852,5.817063005762645,-1.7732015129551697
39797,5545539,3.0668943654745817,-34.99999983559887,-1.7590983336055033,-2.512252794144347,37.575721740722656,19.46216583251953,16.663795471191406,2.512252794144347,0.0,1.7590983336055033,2.594518308205359,0.24347823337782298,1.7732015129551697,40.06586955298658,18.56344847237173,18.374503361783553,-0.0340006127953529,0.0203621424734592,2.680293321609497,5.82188597519929,-1.7732015129551697
39798,5545589,3.0668943654745817,-34.99999983559887,-1.7590983336055033,-2.512252794144347,37.578880310058594,19.46410179138184,16.667829513549805,2.512252794144347,0.0,1.7590983336055033,2.594518308205359,0.24347823337782298,1.7732015129551697,40.07292134313882,18.567442603516383,18.37393974838712,-0.0318172350525856,0.0223594792187213,2.683114528656006,5.824707182245799,-1.7732015129551697
39799,5545639,3.0668943654745817,-34.99999983559887,-1.7590983336055033,-2.512252794144347,37.58390426635742,19.467100143432617,16.676271438598633,2.512252794144347,0.0,1.7590983336055033,2.594518308205359,0.24347823337782298,1.7732015129551697,40.08449729047889,18.571542034710436,18.373345599884775,-0.0289635621011257,0.0261083804070949,2.686495780944824,5.828088434534617,-1.7732015129551697
39800,5545689,3.4793943632394075,-30.000000834826057,-1.7396972255240637,-3.0132438830015134,37.587188720703125,19.46955299377441,16.68133544921875,3.0132438830015134,0.0,1.7396972255240637,3.0939798795199853,0.2425575513458576,1.7295464418454198,40.53934788308429,18.353919007864352,18.313203594793308,-0.0275153182446956,0.0289724543690681,2.688242197036743,5.829834850626536,-1.7295464418454198
39801,5545739,2.9981445986777544,-37.99999991908148,-1.8458421235249545,-2.362570187232853,37.59214019775391,19.473787307739254,16.684120178222656,2.362570187232853,0.0,1.8458421235249545,2.449214289365932,0.24759467087346368,1.8670053772298716,39.97994959588266,18.645977069115162,18.46141005945239,-0.0263024643063545,0.0332933329045772,2.6902401447296143,5.831832798319407,-1.8670053772298716
39802,5545789,3.0668943654745817,-33.99999866940647,-1.714985505821081,-2.5425706998632998,37.595802307128906,19.4765739440918,16.685609817504883,2.5425706998632998,0.0,1.714985505821081,2.6226634226325727,0.24138485356931844,1.7277197883047366,40.135880661715326,18.567242014738554,18.311267572897293,-0.0261379051953554,0.0358706004917621,2.6914379596710205,5.833030613260814,-1.7277197883047366
39803,5545839,3.2952928449958563,-34.99999983559887,-1.8901023190204795,-2.6993458759325915,37.60192108154297,19.480682373046875,16.678955078125,2.6993458759325915,0.0,1.8901023190204795,2.787737886732484,0.2496950440352929,1.8948296806906058,40.308560933464264,18.5126792924339,18.456954067686244,-0.0267755687236785,0.0387681424617767,2.693455457687378,5.835048111277171,-1.8948296806906058
39804,5545889,3.482792875729501,-30.99999858592387,-1.7937708643472277,-2.98533621246438,37.60608673095703,19.483448028564453,16.674829483032227,2.98533621246438,0.0,1.7937708643472277,3.06872472991933,0.2451236226990242,1.7848491469044503,40.56276555887907,18.394783971615485,18.328825980989237,-0.0276383515447378,0.0397638157010078,2.6952321529388428,5.836824806528636,-1.7848491469044503
39805,5545939,3.0327929416671395,-36.00000100179127,-1.782631007268426,-2.453580999060593,37.61260223388672,19.48746490478516,16.65986442565918,2.453580999060593,0.0,1.782631007268426,2.537055637383072,0.24459497937576338,1.799525657925543,40.09482737230458,18.638657860676894,18.34890426199343,-0.029021356254816,0.0399011224508285,2.6987574100494385,5.840350063639232,-1.799525657925543
39806,5545989,3.0327929416671395,-36.00000100179127,-1.782631007268426,-2.453580999060593,37.61751937866211,19.489561080932617,16.650737762451172,2.453580999060593,0.0,1.782631007268426,2.537055637383072,0.24459497937576338,1.799525657925543,40.10156195414369,18.649675173119558,18.341564409300958,-0.0295633040368556,0.0391536764800548,2.7017781734466557,5.843370827036448,-1.799525657925543
39807,5546039,3.0327929416671395,-36.00000100179127,-1.782631007268426,-2.453580999060593,37.625579833984375,19.49176597595215,16.633481979370117,2.453580999060593,0.0,1.782631007268426,2.537055637383072,0.24459497937576338,1.799525657925543,40.11042447684535,18.665435580384244,18.329800281709367,-0.0289339125156402,0.0371161289513111,2.7070586681365967,5.84865132172639,-1.799525657925543
39808,5546089,3.482792875729501,-30.000000834826057,-1.741396481811994,-3.0161870811282543,37.630958557128906,19.492902755737305,16.622827529907227,3.0161870811282543,0.0,1.741396481811994,3.097001936857245,0.24263818976740725,1.7310990377492557,40.619860136808896,18.438767585911133,18.2359811361238,-0.027203606441617,0.0354044735431671,2.711015462875366,5.852608116465159,-1.7310990377492557
39809,5546139,3.482792875729501,-30.99999858592387,-1.7937708643472277,-2.98533621246438,37.63905715942383,19.49408721923828,16.60989761352539,2.98533621246438,0.0,1.7937708643472277,3.06872472991933,0.2451236226990242,1.7848491469044503,40.60453266764226,18.465971935076972,18.28673317739551,-0.0225404277443885,0.0329415872693061,2.716843843460083,5.858436497049876,-1.7848491469044503
39810,5546189,2.995292656123638,-36.00000100179127,-1.7605888919387462,-2.423242631147384,37.64445877075195,19.494388580322266,16.601743698120117,2.423242631147384,0.0,1.7605888919387462,2.5056851110492446,0.2435489680116002,1.7790057321554817,40.093902220830415,18.699479589251425,18.29614089222128,-0.0181535128504037,0.0315383374691009,2.7204840183258057,5.862076671915599,-1.7790057321554817
39811,5546239,3.0327929416671395,-36.00000100179127,-1.782631007268426,-2.453580999060593,37.65252304077149,19.494314193725582,16.5988826751709,2.453580999060593,0.0,1.782631007268426,2.537055637383072,0.24459497937576338,1.799525657925543,40.12747065697893,18.687287387062355,18.318799136805445,-0.0103125385940074,0.0300318002700805,2.7251298427581787,5.866722496347972,-1.799525657925543
39812,5546289,3.0327929416671395,-36.99999875288908,-1.825180301684969,-2.422096177563391,37.65760803222656,19.494112014770508,16.59589385986328,2.422096177563391,0.0,1.825180301684969,2.5076692328076673,0.24661416151101428,1.8435040454550062,40.10482086079718,18.697824542802035,18.363606032447485,-0.0048149297945201,0.0294281467795372,2.727572202682495,5.869164856272288,-1.8435040454550062
