packet_index,time_boot_ms,lat_deg,lon_deg,alt_m,relative_alt_m,heading_deg,vx_mps,vy_mps,vz_mps
11,5482887,63.4408925,10.3488781,16.24,9.382,152.2,0.0,0.03,0.04
16,5482927,63.4408925,10.3488781,16.25,9.396,152.25,0.01,0.03,0.03
29,5482967,63.4408925,10.3488781,16.27,9.411,152.31,0.01,0.04,0.02
43,5482987,63.4408925,10.3488781,16.27,9.417,152.35,0.01,0.04,0.02
48,5483027,63.4408925,10.3488782,16.29,9.43,152.45,0.01,0.05,0.01
62,5483067,63.4408926,10.3488782,16.29,9.439,152.58,0.02,0.05,0.01
74,5483087,63.4408926,10.3488782,16.3,9.443,152.65,0.02,0.05,0.0
79,5483127,63.4408926,10.3488782,16.31,9.45,152.82,0.02,0.06,0.0
93,5483167,63.4408926,10.3488783,16.31,9.451,153.0,0.03,0.06,0.0
105,5483187,63.4408926,10.3488783,16.31,9.452,153.09,0.03,0.06,0.01
110,5483227,63.4408927,10.3488783,16.31,9.452,153.29,0.03,0.06,0.01
123,5483267,63.4408927,10.3488783,16.3,9.448,153.48,0.03,0.07,0.01
136,5483287,63.4408927,10.3488784,16.3,9.446,153.56,0.04,0.07,0.02
142,5483327,63.4408927,10.3488784,16.3,9.442,153.73,0.04,0.08,0.02
156,5483367,63.4408928,10.3488784,16.29,9.436,153.86,0.04,0.08,0.03
170,5483387,63.4408928,10.3488785,16.29,9.433,153.92,0.04,0.08,0.03
175,5483427,63.4408928,10.3488785,16.28,9.428,154.02,0.05,0.09,0.03
188,5483447,63.4408928,10.3488785,16.28,9.427,154.06,0.05,0.09,0.03
201,5483487,63.4408928,10.3488785,16.28,9.425,154.13,0.06,0.09,0.02
206,5483527,63.4408929,10.3488786,16.28,9.424,154.2,0.06,0.1,0.02
219,5483547,63.4408929,10.3488786,16.28,9.426,154.24,0.06,0.1,0.01
233,5483587,63.4408929,10.3488786,16.29,9.431,154.32,0.07,0.09,0.0
238,5483627,63.440893,10.3488787,16.29,9.435,154.42,0.08,0.09,0.0
251,5483647,63.440893,10.3488787,16.3,9.44,154.48,0.08,0.09,-0.01
265,5483687,63.440893,10.3488788,16.31,9.45,154.62,0.09,0.08,-0.02
270,5483727,63.4408931,10.3488788,16.31,9.459,154.8,0.09,0.07,-0.03
282,5483747,63.4408931,10.3488788,16.32,9.465,154.89,0.1,0.07,-0.04
296,5483787,63.4408931,10.3488789,16.33,9.476,155.1,0.1,0.06,-0.06
301,5483827,63.4408932,10.3488789,16.34,9.487,155.32,0.11,0.04,-0.07
313,5483847,63.4408932,10.3488789,16.35,9.491,155.44,0.11,0.04,-0.08
327,5483887,63.4408933,10.3488789,16.36,9.5,155.66,0.11,0.03,-0.09
332,5483927,63.4408933,10.3488789,16.36,9.508,155.87,0.11,0.02,-0.1
344,5483947,63.4408933,10.3488789,16.36,9.508,155.96,0.11,0.01,-0.11
359,5483987,63.4408934,10.3488789,16.37,9.511,156.13,0.1,0.01,-0.12
367,5484027,63.4408934,10.3488789,16.37,9.514,156.27,0.1,0.0,-0.14
376,5484047,63.4408935,10.3488789,16.37,9.511,156.33,0.1,0.0,-0.14
390,5484087,63.4408935,10.3488789,16.36,9.507,156.42,0.1,0.0,-0.15
394,5484107,63.4408935,10.3488789,16.36,9.505,156.45,0.1,0.0,-0.16
407,5484147,63.4408936,10.3488789,16.35,9.499,156.5,0.09,0.0,-0.17
421,5484187,63.4408936,10.3488789,16.35,9.49,156.52,0.09,0.0,-0.17
425,5484207,63.4408936,10.3488789,16.34,9.487,156.54,0.09,0.0,-0.17
438,5484247,63.4408937,10.3488789,16.33,9.479,156.56,0.09,0.0,-0.17
452,5484287,63.4408937,10.3488789,16.33,9.47,156.58,0.09,0.0,-0.16
457,5484307,63.4408937,10.3488789,16.32,9.466,156.6,0.09,0.0,-0.16
470,5484347,63.4408938,10.3488788,16.31,9.459,156.66,0.09,0.0,-0.14
486,5484387,63.4408938,10.3488788,16.31,9.452,156.75,0.08,0.0,-0.13
490,5484407,63.4408938,10.3488788,16.3,9.449,156.8,0.08,-0.01,-0.12
503,5484447,63.4408939,10.3488788,16.3,9.445,156.93,0.08,-0.02,-0.1
517,5484487,63.4408939,10.3488789,16.3,9.443,157.07,0.07,-0.02,-0.08
521,5484507,63.4408939,10.3488789,16.3,9.442,157.15,0.07,-0.03,-0.07
535,5484547,63.4408939,10.3488788,16.3,9.441,157.32,0.06,-0.04,-0.05
549,5484587,63.440894,10.3488788,16.3,9.443,157.47,0.05,-0.04,-0.04
553,5484607,63.440894,10.3488787,16.3,9.444,157.55,0.05,-0.05,-0.03
567,5484647,63.440894,10.3488787,16.3,9.447,157.68,0.04,-0.05,-0.03
581,5484687,63.440894,10.3488786,16.31,9.453,157.79,0.03,-0.06,-0.03
585,5484707,63.440894,10.3488786,16.31,9.456,157.84,0.03,-0.06,-0.04
598,5484747,63.440894,10.3488785,16.32,9.462,157.92,0.02,-0.07,-0.05
602,5484767,63.440894,10.3488785,16.32,9.466,157.95,0.02,-0.07,-0.05
616,5484807,63.440894,10.3488784,16.33,9.473,158.01,0.02,-0.08,-0.07
629,5484847,63.4408941,10.3488784,16.33,9.479,158.06,0.02,-0.08,-0.09
633,5484867,63.4408941,10.3488783,16.34,9.483,158.08,0.02,-0.08,-0.1
647,5484907,63.4408941,10.3488783,16.34,9.489,158.14,0.03,-0.09,-0.12
660,5484947,63.4408941,10.3488782,16.35,9.493,158.21,0.04,-0.09,-0.13
666,5484967,63.4408941,10.3488781,16.35,9.494,158.24,0.04,-0.09,-0.14
679,5485007,63.4408942,10.3488781,16.35,9.497,158.35,0.05,-0.1,-0.14
692,5485047,63.4408942,10.348878,16.35,9.498,158.47,0.06,-0.11,-0.14
697,5485067,63.4408942,10.3488779,16.35,9.498,158.53,0.07,-0.11,-0.13
710,5485107,63.4408942,10.3488778,16.35,9.496,158.69,0.08,-0.11,-0.12
723,5485147,63.4408943,10.3488777,16.35,9.494,158.85,0.09,-0.12,-0.1
727,5485167,63.4408943,10.3488776,16.35,9.492,158.94,0.09,-0.12,-0.08
741,5485207,63.4408944,10.3488775,16.34,9.489,159.12,0.09,-0.12,-0.05
754,5485247,63.4408944,10.3488774,16.34,9.488,159.3,0.09,-0.12,-0.02
758,5485267,63.4408944,10.3488773,16.34,9.488,159.4,0.09,-0.12,-0.01
773,5485307,63.4408945,10.3488772,16.34,9.488,159.56,0.09,-0.12,0.01
786,5485347,63.4408945,10.3488771,16.35,9.491,159.71,0.09,-0.12,0.03
790,5485367,63.4408945,10.3488771,16.35,9.494,159.78,0.08,-0.12,0.04
806,5485407,63.4408946,10.348877,16.36,9.5,159.89,0.08,-0.11,0.05
810,5485427,63.4408946,10.3488769,16.36,9.502,159.93,0.08,-0.11,0.05
823,5485467,63.4408946,10.3488768,16.37,9.517,160.0,0.07,-0.1,0.05
837,5485507,63.4408947,10.3488768,16.38,9.529,160.05,0.07,-0.1,0.05
841,5485527,63.4408947,10.3488767,16.39,9.535,160.06,0.07,-0.09,0.05
855,5485567,63.4408947,10.3488766,16.41,9.551,160.08,0.06,-0.09,0.04
869,5485607,63.4408947,10.3488766,16.42,9.565,160.1,0.06,-0.08,0.03
883,5485627,63.4408948,10.3488765,16.43,9.571,160.11,0.06,-0.08,0.03
887,5485667,63.4408948,10.3488765,16.44,9.582,160.13,0.06,-0.07,0.02
901,5485707,63.4408948,10.3488764,16.45,9.591,160.17,0.05,-0.07,0.02
905,5485727,63.4408948,10.3488764,16.45,9.596,160.2,0.05,-0.07,0.02
918,5485767,63.4408949,10.3488763,16.45,9.596,160.27,0.05,-0.06,0.01
932,5485807,63.4408949,10.3488763,16.45,9.595,160.37,0.04,-0.06,0.01
936,5485827,63.4408949,10.3488762,16.45,9.595,160.42,0.04,-0.05,0.01
949,5485867,63.4408949,10.3488762,16.44,9.583,160.55,0.03,-0.04,0.02
963,5485907,63.440895,10.3488762,16.43,9.572,160.68,0.03,-0.03,0.02
967,5485927,63.440895,10.3488761,16.42,9.568,160.75,0.02,-0.02,0.02
982,5485967,63.440895,10.3488761,16.41,9.55,160.88,0.02,-0.01,0.03
995,5486007,63.440895,10.3488761,16.39,9.533,161.0,0.01,0.0,0.04
999,5486027,63.440895,10.3488761,16.38,9.526,161.06,0.0,0.01,0.04
1012,5486067,63.440895,10.3488761,16.36,9.508,161.15,0.0,0.02,0.05
1025,5486087,63.440895,10.3488761,16.36,9.5,161.19,0.0,0.03,0.05
1030,5486127,63.4408951,10.3488761,16.34,9.485,161.25,-0.01,0.05,0.06
1043,5486167,63.4408951,10.3488762,16.33,9.474,161.28,-0.02,0.06,0.06
1056,5486187,63.4408951,10.3488762,16.32,9.469,161.29,-0.02,0.07,0.06
1061,5486227,63.4408951,10.3488762,16.31,9.459,161.3,-0.03,0.07,0.06
1074,5486267,63.4408951,10.3488763,16.31,9.457,161.29,-0.03,0.08,0.06
1088,5486287,63.4408951,10.3488763,16.31,9.455,161.29,-0.03,0.08,0.05
1093,5486327,63.4408951,10.3488764,16.31,9.454,161.28,-0.03,0.08,0.05
1106,5486367,63.4408951,10.3488764,16.32,9.46,161.28,-0.03,0.08,0.04
1121,5486387,63.4408951,10.3488764,16.32,9.463,161.28,-0.02,0.08,0.03
1126,5486427,63.4408951,10.3488765,16.32,9.468,161.32,-0.01,0.07,0.02
1140,5486467,63.4408951,10.3488765,16.33,9.479,161.38,0.0,0.07,0.01
1152,5486487,63.4408951,10.3488764,16.34,9.484,161.42,0.0,0.06,0.0
1157,5486527,63.4408951,10.3488764,16.35,9.494,161.54,0.01,0.06,0.0
1171,5486567,63.4408951,10.3488764,16.36,9.506,161.68,0.03,0.06,-0.02
1184,5486587,63.4408952,10.3488765,16.37,9.511,161.77,0.04,0.05,-0.02
1189,5486627,63.4408952,10.3488765,16.38,9.522,161.96,0.06,0.05,-0.04
1203,5486667,63.4408952,10.3488765,16.39,9.531,162.17,0.08,0.06,-0.05
1216,5486687,63.4408953,10.3488765,16.39,9.535,162.28,0.09,0.06,-0.05
1221,5486727,63.4408953,10.3488766,16.4,9.543,162.49,0.11,0.07,-0.07
1233,5486747,63.4408953,10.3488766,16.4,9.545,162.59,0.11,0.07,-0.07
1247,5486787,63.4408954,10.3488766,16.4,9.549,162.78,0.13,0.08,-0.08
1252,5486827,63.4408954,10.3488767,16.41,9.552,162.95,0.14,0.08,-0.08
1264,5486847,63.4408955,10.3488767,16.41,9.55,163.02,0.14,0.09,-0.08
1278,5486887,63.4408955,10.3488768,16.4,9.547,163.16,0.15,0.09,-0.07
1283,5486927,63.4408956,10.3488769,16.4,9.544,163.28,0.15,0.09,-0.06
1295,5486947,63.4408956,10.3488769,16.39,9.539,163.33,0.15,0.09,-0.05
1310,5486987,63.4408957,10.348877,16.38,9.528,163.43,0.14,0.09,-0.04
1315,5487027,63.4408957,10.348877,16.37,9.519,163.52,0.14,0.08,-0.02
1327,5487047,63.4408957,10.3488771,16.37,9.511,163.56,0.14,0.08,-0.01
1341,5487087,63.4408958,10.3488771,16.35,9.496,163.64,0.13,0.07,0.0
1346,5487127,63.4408958,10.3488772,16.34,9.482,163.71,0.12,0.06,0.01
1358,5487147,63.4408959,10.3488772,16.33,9.473,163.74,0.12,0.05,0.01
1372,5487187,63.4408959,10.3488772,16.31,9.457,163.79,0.11,0.04,0.02
1377,5487227,63.440896,10.3488772,16.3,9.443,163.83,0.1,0.03,0.02
1389,5487247,63.440896,10.3488773,16.29,9.435,163.85,0.1,0.03,0.02
1403,5487287,63.440896,10.3488773,16.28,9.422,163.87,0.09,0.02,0.01
1409,5487327,63.440896,10.3488773,16.27,9.412,163.89,0.09,0.01,0.0
1421,5487347,63.4408961,10.3488773,16.26,9.408,163.89,0.08,0.01,0.0
1437,5487387,63.4408961,10.3488773,16.26,9.403,163.9,0.08,0.01,-0.02
1441,5487407,63.4408961,10.3488773,16.26,9.401,163.91,0.08,0.01,-0.04
1454,5487447,63.4408961,10.3488773,16.26,9.4,163.93,0.07,0.0,-0.06
1468,5487487,63.4408962,10.3488774,16.26,9.403,163.96,0.07,0.0,-0.08
1472,5487507,63.4408962,10.3488774,16.26,9.405,163.98,0.07,0.0,-0.1
1486,5487547,63.4408962,10.3488774,16.27,9.412,164.03,0.06,0.0,-0.12
1500,5487587,63.4408962,10.3488774,16.28,9.422,164.08,0.06,-0.01,-0.13
1504,5487607,63.4408962,10.3488774,16.28,9.426,164.12,0.05,-0.01,-0.14
1518,5487647,63.4408963,10.3488774,16.29,9.438,164.18,0.05,-0.02,-0.15
1532,5487687,63.4408963,10.3488774,16.31,9.452,164.24,0.04,-0.02,-0.16
1536,5487707,63.4408963,10.3488773,16.31,9.459,164.28,0.04,-0.03,-0.17
1549,5487747,63.4408963,10.3488773,16.33,9.472,164.35,0.04,-0.03,-0.17
1563,5487787,63.4408963,10.3488773,16.34,9.485,164.42,0.03,-0.04,-0.17
1567,5487807,63.4408963,10.3488772,16.35,9.491,164.46,0.03,-0.04,-0.17
1580,5487847,63.4408964,10.3488772,16.36,9.503,164.56,0.03,-0.05,-0.16
1594,5487887,63.4408964,10.3488771,16.37,9.514,164.67,0.02,-0.06,-0.15
1598,5487907,63.4408964,10.3488771,16.37,9.519,164.73,0.02,-0.06,-0.14
1611,5487947,63.4408964,10.348877,16.38,9.524,164.86,0.02,-0.07,-0.13
1626,5487987,63.4408964,10.348877,16.38,9.528,165.02,0.02,-0.07,-0.1
1630,5488007,63.4408964,10.3488769,16.38,9.529,165.1,0.02,-0.08,-0.09
1643,5488047,63.4408964,10.3488768,16.38,9.529,165.26,0.01,-0.08,-0.07
1648,5488067,63.4408964,10.3488768,16.38,9.527,165.34,0.01,-0.09,-0.06
1661,5488107,63.4408964,10.3488767,16.38,9.524,165.49,0.01,-0.09,-0.04
1674,5488147,63.4408964,10.3488766,16.37,9.516,165.63,0.0,-0.1,-0.02
1679,5488167,63.4408964,10.3488766,16.37,9.512,165.68,0.0,-0.1,-0.01
1692,5488207,63.4408964,10.3488765,16.36,9.503,165.78,0.0,-0.1,0.0
1705,5488247,63.4408964,10.3488764,16.35,9.493,165.84,0.0,-0.1,0.01
1710,5488267,63.4408964,10.3488763,16.34,9.487,165.87,0.0,-0.1,0.01
1724,5488307,63.4408964,10.3488762,16.33,9.477,165.91,0.0,-0.1,0.02
1737,5488347,63.4408964,10.3488761,16.32,9.469,165.93,0.0,-0.1,0.02
1742,5488367,63.4408965,10.3488761,16.32,9.465,165.94,0.0,-0.1,0.01
1757,5488407,63.4408965,10.348876,16.31,9.459,165.96,0.0,-0.1,0.01
1770,5488447,63.4408965,10.3488759,16.31,9.455,165.99,0.0,-0.09,0.0
1775,5488467,63.4408965,10.3488759,16.31,9.454,166.01,0.0,-0.09,0.0
1788,5488507,63.4408965,10.3488758,16.31,9.453,166.05,0.01,-0.08,-0.01
1802,5488547,63.4408965,10.3488757,16.31,9.455,166.09,0.01,-0.07,-0.01
1806,5488567,63.4408965,10.3488757,16.31,9.457,166.12,0.02,-0.07,-0.02
1820,5488607,63.4408965,10.3488756,16.32,9.461,166.18,0.02,-0.06,-0.02
1834,5488647,63.4408965,10.3488755,16.32,9.467,166.25,0.02,-0.04,-0.02
1838,5488667,63.4408965,10.3488755,16.33,9.471,166.29,0.02,-0.04,-0.01
1852,5488707,63.4408965,10.3488755,16.33,9.478,166.36,0.03,-0.03,-0.01
1856,5488727,63.4408965,10.3488754,16.34,9.481,166.4,0.03,-0.02,0.0
1869,5488767,63.4408966,10.3488754,16.35,9.49,166.48,0.03,-0.01,0.01
1883,5488807,63.4408966,10.3488753,16.35,9.497,166.56,0.03,-0.01,0.02
1887,5488827,63.4408966,10.3488753,16.36,9.5,166.6,0.03,0.0,0.03
1900,5488867,63.4408966,10.3488753,16.36,9.507,166.66,0.03,0.0,0.05
1914,5488907,63.4408966,10.3488753,16.37,9.512,166.73,0.03,0.0,0.07
1918,5488927,63.4408966,10.3488753,16.37,9.514,166.76,0.03,0.0,0.07
