latitude,longitude,altitude (m),northing (local m),easting (local m),ping number,elapsed (s),datetime,altitude (m above MSL),northing (UTM m),easting (UTM m),coordinate projection
63.44090539,10.34893650,-2.721,38.987,22.363,39790,0.080,2026-04-22T16:15:36.215Z,13.549,7035423.724,567290.810,UTM zone 32N
63.44090381,10.34892996,-2.872,38.811,22.036,39790,0.080,2026-04-22T16:15:36.215Z,13.398,7035423.540,567290.488,UTM zone 32N
63.44090149,10.34891981,-2.650,38.553,21.530,39790,0.080,2026-04-22T16:15:36.215Z,13.620,7035423.272,567289.987,UTM zone 32N
63.44089906,10.34890930,-2.541,38.282,21.005,39790,0.080,2026-04-22T16:15:36.215Z,13.729,7035422.990,567289.469,UTM zone 32N
63.44090619,10.34893973,-2.661,39.076,22.524,39791,0.140,2026-04-22T16:15:36.275Z,13.629,7035423.816,567290.970,UTM zone 32N
63.44090388,10.34893010,-2.865,38.819,22.043,39791,0.140,2026-04-22T16:15:36.275Z,13.425,7035423.549,567290.495,UTM zone 32N
63.44090137,10.34891912,-2.685,38.539,21.495,39791,0.140,2026-04-22T16:15:36.275Z,13.605,7035423.257,567289.953,UTM zone 32N
63.44089914,10.34890942,-2.537,38.291,21.011,39791,0.140,2026-04-22T16:15:36.275Z,13.753,7035422.999,567289.474,UTM zone 32N
63.44090603,10.34893903,-2.713,39.059,22.489,39792,0.180,2026-04-22T16:15:36.315Z,13.577,7035423.798,567290.935,UTM zone 32N
63.44090394,10.34893022,-2.859,38.826,22.049,39792,0.180,2026-04-22T16:15:36.315Z,13.431,7035423.556,567290.500,UTM zone 32N
63.44090144,10.34891922,-2.680,38.547,21.501,39792,0.180,2026-04-22T16:15:36.315Z,13.610,7035423.265,567289.958,UTM zone 32N
63.44089903,10.34890872,-2.563,38.278,20.977,39792,0.180,2026-04-22T16:15:36.315Z,13.727,7035422.986,567289.440,UTM zone 32N
63.44090603,10.34893922,-2.708,39.059,22.499,39793,0.240,2026-04-22T16:15:36.375Z,13.602,7035423.798,567290.945,UTM zone 32N
63.44090592,10.34893893,-2.891,39.047,22.484,39793,0.240,2026-04-22T16:15:36.375Z,13.419,7035423.786,567290.931,UTM zone 32N
63.44090396,10.34893039,-2.854,38.828,22.058,39793,0.240,2026-04-22T16:15:36.375Z,13.456,7035423.559,567290.509,UTM zone 32N
63.44090222,10.34892266,-2.697,38.635,21.672,39793,0.240,2026-04-22T16:15:36.375Z,13.613,7035423.357,567290.128,UTM zone 32N
63.44090041,10.34891461,-2.538,38.432,21.270,39793,0.240,2026-04-22T16:15:36.375Z,13.772,7035423.146,567289.730,UTM zone 32N
63.44089908,10.34890885,-2.560,38.284,20.983,39793,0.240,2026-04-22T16:15:36.375Z,13.750,7035422.992,567289.446,UTM zone 32N
63.44090512,10.34893538,-2.808,38.958,22.307,39794,0.280,2026-04-22T16:15:36.415Z,13.502,7035423.693,567290.755,UTM zone 32N
63.44090400,10.34893049,-2.850,38.833,22.063,39794,0.280,2026-04-22T16:15:36.415Z,13.460,7035423.563,567290.514,UTM zone 32N
63.44090054,10.34891508,-2.562,38.447,21.294,39794,0.280,2026-04-22T16:15:36.415Z,13.748,7035423.161,567289.753,UTM zone 32N
63.44089914,10.34890892,-2.558,38.290,20.986,39794,0.280,2026-04-22T16:15:36.415Z,13.752,7035422.998,567289.449,UTM zone 32N
63.44090644,10.34894136,-2.679,39.105,22.605,39795,0.340,2026-04-22T16:15:36.475Z,13.631,7035423.846,567291.050,UTM zone 32N
63.44090402,10.34893065,-2.747,38.834,22.071,39795,0.340,2026-04-22T16:15:36.475Z,13.563,7035423.565,567290.522,UTM zone 32N
63.44090294,10.34892589,-2.770,38.715,21.833,39795,0.340,2026-04-22T16:15:36.475Z,13.540,7035423.440,567290.287,UTM zone 32N
63.44090076,10.34891601,-2.523,38.471,21.340,39795,0.340,2026-04-22T16:15:36.475Z,13.787,7035423.186,567289.799,UTM zone 32N
63.44090023,10.34891366,-2.540,38.412,21.223,39795,0.340,2026-04-22T16:15:36.475Z,13.770,7035423.125,567289.683,UTM zone 32N
63.44089918,10.34890905,-2.555,38.296,20.993,39795,0.340,2026-04-22T16:15:36.475Z,13.755,7035423.004,567289.456,UTM zone 32N
63.44090575,10.34893838,-2.728,39.028,22.457,39796,0.380,2026-04-22T16:15:36.515Z,13.572,7035423.766,567290.903,UTM zone 32N
63.44090384,10.34892993,-2.890,38.815,22.035,39796,0.380,2026-04-22T16:15:36.515Z,13.410,7035423.544,567290.486,UTM zone 32N
63.44089924,10.34890915,-2.552,38.302,20.998,39796,0.380,2026-04-22T16:15:36.515Z,13.748,7035423.010,567289.461,UTM zone 32N
63.44090486,10.34893461,-2.822,38.929,22.268,39797,0.440,2026-04-22T16:15:36.575Z,13.478,7035423.663,567290.717,UTM zone 32N
63.44090407,10.34893104,-2.833,38.840,22.090,39797,0.440,2026-04-22T16:15:36.575Z,13.467,7035423.571,567290.541,UTM zone 32N
63.44090067,10.34891551,-2.551,38.462,21.315,39797,0.440,2026-04-22T16:15:36.575Z,13.749,7035423.176,567289.775,UTM zone 32N
63.44089930,10.34890932,-2.549,38.309,21.006,39797,0.440,2026-04-22T16:15:36.575Z,13.751,7035423.017,567289.469,UTM zone 32N
63.44090476,10.34893398,-2.868,38.913,22.233,39798,0.480,2026-04-22T16:15:36.615Z,13.422,7035423.651,567290.686,UTM zone 32N
63.44090078,10.34891570,-2.546,38.469,21.323,39798,0.480,2026-04-22T16:15:36.615Z,13.744,7035423.188,567289.784,UTM zone 32N
63.44089941,10.34890947,-2.544,38.317,21.013,39798,0.480,2026-04-22T16:15:36.615Z,13.746,7035423.030,567289.476,UTM zone 32N
63.44090423,10.34893152,-2.817,38.854,22.110,39799,0.540,2026-04-22T16:15:36.675Z,13.463,7035423.590,567290.565,UTM zone 32N
