packet_index,pwr_up_msec,utc_msec,utc_iso,up_vec_x,up_vec_y,up_vec_z,pitch_rad,roll_rad,pitch_deg,roll_deg
3,4500917,1776873491856,2026-04-22T15:58:11.856000+00:00,-0.006226000376045704,0.9996981620788574,0.0237665306776762,-0.006226040599906499,1.547027097672924,-0.3567258494517416,88.63812348903151
16,4500967,1776873491906,2026-04-22T15:58:11.906000+00:00,-0.0024983887560665607,0.9997914433479309,0.020267458632588387,-0.002498391355208635,1.5505274165069818,-0.1431472802254249,88.8386769851732
27,4501017,1776873491956,2026-04-22T15:58:11.956000+00:00,0.0029312109109014273,0.9998814463615417,0.015118236653506756,0.0029312151084104126,1.555677449672141,0.1679462545568987,89.13375214988922
40,4501067,1776873492006,2026-04-22T15:58:12.006000+00:00,0.009761324152350426,0.9999141097068787,0.008746147155761719,0.009761479174436496,1.5620496514251372,0.5592915585000584,89.49885241654177
53,4501117,1776873492056,2026-04-22T15:58:12.056000+00:00,0.017270289361476898,0.999849259853363,0.0017569526098668575,0.017271147991141714,1.5690391111104571,0.9895638872382704,89.89931895758743
66,4501167,1776873492106,2026-04-22T15:58:12.106000+00:00,0.0249362513422966,0.9996765851974487,-0.0050010704435408115,0.024938836361662158,1.5757989734486286,1.4288900694906352,90.2866305396541
77,4501217,1776873492156,2026-04-22T15:58:12.156000+00:00,0.0318874716758728,0.9994348287582397,-0.01064336858689785,0.031892878071210835,1.581445311556252,1.8273273100057144,90.6101418829248
90,4501267,1776873492206,2026-04-22T15:58:12.206000+00:00,0.03742745518684387,0.9991959929466248,-0.014372565783560276,0.037436198852721085,1.5851794656031806,2.1449361952734125,90.8240931498655
101,4501317,1776873492256,2026-04-22T15:58:12.256000+00:00,0.041120678186416626,0.9990333914756775,-0.015537737868726254,0.04113227557533797,1.586347844273728,2.3567057922359056,90.89103631656097
114,4501367,1776873492306,2026-04-22T15:58:12.306000+00:00,0.04244803264737129,0.9990056157112122,-0.013637312687933445,0.04246079038957185,1.5844463658724617,2.432824084112114,90.78208962933313
125,4501417,1776873492356,2026-04-22T15:58:12.356000+00:00,0.041283007711172104,0.9991105198860168,-0.00858970545232296,0.041294743060588265,1.5793934676078802,2.3660144934488514,90.49257988446364
140,4501467,1776873492406,2026-04-22T15:58:12.406000+00:00,0.0378572903573513,0.999282956123352,-0.0006398386904038489,0.03786633887765718,1.5714366245194225,2.169581403301903,90.03668635724716
151,4501517,1776873492456,2026-04-22T15:58:12.456000+00:00,0.032757945358753204,0.9994174838066101,0.009573995135724545,0.032763806855263616,1.5612170444189162,1.8772278535883993,89.45114754909227
164,4501567,1776873492506,2026-04-22T15:58:12.506000+00:00,0.026372916996479034,0.9994283318519592,0.021156897768378258,0.02637597514953721,1.5496304886640067,1.5112320566104225,88.78728680524294
175,4501617,1776873492556,2026-04-22T15:58:12.556000+00:00,0.019518118351697922,0.9992627501487732,0.03305945545434952,0.019519357824646588,1.537724542899847,1.1183768221579091,88.10512636184492
188,4501667,1776873492606,2026-04-22T15:58:12.606000+00:00,0.012947354465723038,0.9989545345306396,0.043842460960149765,0.012947716229123222,1.5269361286138208,0.7418494942618018,87.48699575561699
201,4501717,1776873492656,2026-04-22T15:58:12.656000+00:00,0.007398517336696386,0.9986001253128052,0.05237425118684769,0.007398584835105174,1.5183966665131645,0.4239076854210206,86.99772061793746
216,4501767,1776873492706,2026-04-22T15:58:12.706000+00:00,0.0029020991642028093,0.9983265995979309,0.05775495246052742,0.0029021032378849583,1.5130089758127359,0.16627826724205888,86.68902867948101
227,4501817,1776873492756,2026-04-22T15:58:12.756000+00:00,-0.0002238435990875587,0.9982288479804993,0.05949002131819725,-0.00022384360095687502,1.5112711565452208,-0.012825293605839495,86.58945896989589
241,4501867,1776873492806,2026-04-22T15:58:12.806000+00:00,-0.0022881326731294394,0.9983411431312561,0.05753040686249733,-0.002288134669740077,1.5132339871468983,-0.1311004595336669,86.70192087927113
252,4501917,1776873492856,2026-04-22T15:58:12.856000+00:00,-0.0032554499339312315,0.9986101984977722,0.05260278284549713,-0.0032554556841435773,1.518168974904302,-0.18652387109330099,86.9846748497191
265,4501967,1776873492906,2026-04-22T15:58:12.906000+00:00,-0.0032211863435804844,0.9989617466926575,0.045442841947078705,-0.00322119191413367,1.5253375939710079,-0.18456070168152636,87.39540646717836
276,4502017,1776873492956,2026-04-22T15:58:12.956000+00:00,-0.0025483286008238792,0.999306321144104,0.03715347871184349,-0.002548331358963864,1.533634174359966,-0.14600863166946698,87.87076550785666
289,4502067,1776873493006,2026-04-22T15:58:13.006000+00:00,-0.0014946736628189683,0.9995785355567932,0.02899104915559292,-0.0014946742193486507,1.541801182108489,-0.08563852451568874,88.33870058309766
302,4502117,1776873493056,2026-04-22T15:58:13.056000+00:00,-9.320325625594705e-05,0.999763011932373,0.021769404411315918,-9.320325639088745e-05,1.5490252024298108,-0.005340153228073568,88.75260645862615
315,4502167,1776873493106,2026-04-22T15:58:13.106000+00:00,0.001510778907686472,0.9998664855957031,0.01627183146774769,0.0015107794824006807,1.5545237589714471,0.08656128811651803,89.06765054187596
326,4502217,1776873493156,2026-04-22T15:58:13.156000+00:00,0.00291744084097445,0.9999143481254578,0.012758071534335613,0.0029174449796043208,1.5580378547280724,0.16715728429295812,89.26899339753543
339,4502267,1776873493206,2026-04-22T15:58:13.206000+00:00,0.004240371752530336,0.9999250173568726,0.011487849056720734,0.004240384460145727,1.559308121711033,0.24295613307921018,89.34177433451387
