nx_bin,ny_bin,packet_index,ping_number,pwr_up_msec,utc_msec,utc_iso,ping_hz,sos_mps,listening_sec,pulse_sec,point_index,angle_rad,angle_deg,tof_s,range_m,y_m,z_m,reserved0,reserved1,beam_order,beam_count,beam_order_reversed,t_sync,boat_x_m,boat_y_m,boat_z_m,roll_rad,pitch_rad,yaw_rad,map_x_m,map_y_m,map_z_m,x_boat_m,y_boat_m,z_boat_m,altitude_like_sonarview_m
38.25,28.75,565,35669,4503018,1776873493957,2026-04-22T15:58:13.957000+00:00,240000,1500.0,0.0192713905125856,0.0001374999992549,1,0.5759586691856384,33.000000918308665,0.0181370079517364,11.737504203676016,7.408592064515743,-11.40823095104383,4294967295,4294967295,1,2,0,4503018,41.55575942993164,17.47208595275879,11.25969123840332,-0.0672555863857269,-0.0081926342099905,1.7559534311294556,38.43975978198128,28.788425958488794,7.024127837717996,11.75372509641985,0.51157567121056,6.97822423703428,7.024127837717996
38.5,26.25,163,35638,4501468,1776873492407,2026-04-22T15:58:12.407000+00:00,240000,1500.0,0.0157589297741651,0.0001124999980675,1,0.6108652353286743,34.99999983559887,0.014737038873136,9.370862704259212,6.33961365343641,-9.053906657962312,4294967295,4294967295,1,2,0,4501468,41.55078887939453,17.434289932250977,11.289484024047852,-0.0203759782016277,0.0003814046795014,1.8130189180374143,38.7409553988748,26.373971337861953,6.01168700798653,9.350383305222394,0.4608471658330163,6.025894160971652,6.01168700798653
38.5,28.0,583,35670,4503069,1776873494008,2026-04-22T15:58:14.008000+00:00,240000,1500.0,0.0201495084911584,0.0001437500031897,1,0.6108652353286743,34.99999983559887,0.0172745082527399,10.967450703351098,7.431188132040621,-10.612836583311829,4294967295,4294967295,1,2,0,4503069,41.55755615234375,17.478755950927734,11.247735977172852,-0.0730630382895469,-0.0058340490795671,1.7522855997085571,38.57835532043944,28.03381811718792,7.046967194620522,10.96036150564713,0.512647970446042,7.039345800315568,7.046967194620522
38.5,28.25,615,35672,4503168,1776873494107,2026-04-22T15:58:14.107000+00:00,240000,1500.0,0.0193333327770233,0.0001374999992549,1,0.593411922454834,33.99999866940647,0.0174083337187767,11.206675506164414,7.300962256221671,-10.824122215884026,4294967295,4294967295,1,2,0,4503168,41.561370849609375,17.49163055419922,11.232999801635742,-0.073433868587017,-0.0006040520383976,1.7463786602020264,38.61602584294473,28.304332283747716,6.8501630416029045,11.165089497503427,0.5064680850776305,6.899172137912219,6.8501630416029045
38.75,25.75,174,35639,4501518,1776873492457,2026-04-22T15:58:12.457000+00:00,240000,1500.0,0.0166370384395122,0.0001187500020023,1,0.6108652353286743,34.99999983559887,0.0139453718438744,8.86801596350986,5.999052489766616,-8.567534907923257,4294967295,4294967295,1,2,0,4501518,41.55078887939453,17.434289932250977,11.289484024047852,-0.0203759782016277,0.0003814046795014,1.8130189180374143,38.88340646597981,25.891640474215734,5.696085967286226,8.848084964461666,0.44468579284030807,5.70970660219018,5.696085967286226
38.75,28.25,661,35675,4503318,1776873494257,2026-04-22T15:58:14.257000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,1,0.5235987901687622,30.000000834826057,0.0166750010102987,11.193410208309267,6.253125536670789,-10.830730771176473,4294967295,4294967295,1,2,0,4503318,41.56678009033203,17.516103744506836,11.24558448791504,-0.0475967265665531,0.0083663212135434,1.7378168106079102,38.98544393161152,28.407804058377216,5.731822856219778,11.120926279999072,0.45674286133915054,5.853427199513745,5.731822856219778
38.75,28.5,647,35674,4503268,1776873494207,2026-04-22T15:58:14.207000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,1,0.5410520434379578,30.99999858592387,0.017277667298913,11.481220751197203,6.673992104292901,-11.107388745494838,4294967295,4294967295,1,2,0,4503268,41.56476211547852,17.506553649902344,11.232007026672363,-0.0604051910340786,0.0051347771659493,1.7408554553985596,38.78562155993273,28.646338554030514,6.16100220065769,11.41764816499185,0.47671513740905724,6.259906637678677,6.16100220065769
38.75,29.0,679,35676,4503368,1776873494307,2026-04-22T15:58:14.307000+00:00,240000,1500.0,0.0193333327770233,0.0001374999992549,1,0.5061454772949219,28.99999966863366,0.0174083337187767,11.792845438775444,6.329795678448731,-11.419253840783966,4294967295,4294967295,1,2,0,4503368,41.56812286376953,17.52269744873047,11.253475189208984,-0.0378808677196502,0.0104057369753718,1.7358522415161133,38.959470948691084,29.023399111185867,5.757514704712398,11.712471131549771,0.4603812525911799,5.901376806534402,5.757514704712398
38.75,29.25,696,35677,4503418,1776873494357,2026-04-22T15:58:14.357000+00:00,240000,1500.0,0.0193333327770233,0.0001374999992549,1,0.5061454772949219,28.99999966863366,0.0180443339049816,12.235213682896665,6.561049932598871,-11.836447564570763,4294967295,4294967295,1,2,0,4503418,41.56998062133789,17.532917022705078,11.278119087219238,-0.022981472313404,0.0132142389193177,1.7330217361450195,38.99263657520574,29.493592235000115,5.938465210187006,12.140377325268393,0.4713554524006882,6.1118643110219955,5.938465210187006
39.0,25.5,338,35652,4502168,1776873493107,2026-04-22T15:58:13.107000+00:00,240000,1500.0,0.0149416122585535,0.0001062500014086,1,0.6457718014717102,36.99999875288908,0.0135249458253383,8.600008812636364,6.104636512423981,-8.101126638560523,4294967295,4294967295,1,2,0,4502168,41.57394409179688,17.451814651489258,11.299851417541504,-0.0139580117538571,0.0345214270055294,1.7912840843200684,39.1783906238535,25.711443890120226,5.53786405439047,8.38734077151036,0.449696295957718,5.837668874327756,5.53786405439047
