packet_index,time_boot_ms,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
51,4438787,41.514068603515625,17.376554489135742,11.258112907409668,0.010701320134103298,0.1071353331208229,-0.14060714840888977
127,4439127,41.53534698486328,17.408903121948242,11.266108512878418,0.036822084337472916,0.0517350398004055,-0.003078014124184847
213,4439447,41.55078887939453,17.434289932250977,11.289484024047852,0.05976881831884384,0.03536120057106018,-0.00406899768859148
300,4439787,41.56862258911133,17.447643280029297,11.334304809570312,0.06187354400753975,0.005693966057151556,-0.03755541518330574
376,4440127,41.573944091796875,17.451814651489258,11.299851417541504,0.006552021484822035,-0.01007536705583334,-0.010318047367036343
462,4440447,41.565189361572266,17.447790145874023,11.257054328918457,-0.023501155897974968,-0.01778755523264408,0.0401340052485466
491,4440567,41.56037521362305,17.448143005371094,11.27109432220459,-0.023246794939041138,0.001331190811470151,0.0858335793018341
504,4440607,41.55854034423828,17.448949813842773,11.277034759521484,-0.021404754370450974,0.009222524240612984,0.10084494948387146
508,4440627,41.55767822265625,17.44945526123047,11.280219078063965,-0.01990969106554985,0.013463906943798065,0.1080259308218956
523,4440667,41.556156158447266,17.45064353942871,11.283411026000977,-0.016394255682826042,0.022308168932795525,0.11996731162071228
536,4440707,41.55488967895508,17.45212173461914,11.287214279174805,-0.011546253226697445,0.03158615902066231,0.12945720553398132
540,4440727,41.55436325073242,17.45298194885254,11.289302825927734,-0.008753473870456219,0.036488067358732224,0.13312886655330658
555,4440767,41.55381774902344,17.455305099487305,11.286713600158691,-0.0023296396248042583,0.04671173915266991,0.13695786893367767
568,4440807,41.553585052490234,17.457944869995117,11.28526782989502,0.005072804633527994,0.05746179819107056,0.1381274163722992
572,4440827,41.553592681884766,17.459394454956055,11.284897804260254,0.008768731728196144,0.06280841678380966,0.13786879181861877
587,4440867,41.553855895996094,17.462560653686523,11.277667045593262,0.01617312990128994,0.07372283935546875,0.13438007235527039
600,4440907,41.554443359375,17.46609878540039,11.271915435791016,0.02363944984972477,0.08495703339576721,0.12929370999336243
604,4440927,41.55488586425781,17.468101501464844,11.269631385803223,0.027509363368153572,0.0906488373875618,0.1261235624551773
619,4440967,41.55575942993164,17.47208595275879,11.25969123840332,0.033756330609321594,0.1011805608868599,0.11836462467908859
632,4441007,41.55690002441406,17.4764404296875,11.25136947631836,0.038806963711977005,0.11157195270061493,0.11041568964719772
636,4441027,41.55755615234375,17.478755950927734,11.247735977172852,0.04070543497800827,0.11653222143650055,0.10655828565359116
651,4441067,41.558998107910156,17.483654022216797,11.241018295288086,0.04376688599586487,0.1261264681816101,0.09909743815660477
664,4441107,41.56056213378906,17.488889694213867,11.235424041748047,0.04509082809090614,0.13510039448738098,0.09224972873926163
677,4441127,41.561370849609375,17.49163055419922,11.232999801635742,0.04534025117754936,0.13954317569732666,0.08910416066646576
683,4441167,41.56269454956055,17.497346878051758,11.232349395751953,0.04488355293869972,0.14714603126049042,0.08336930721998215
695,4441187,41.563411712646484,17.500452041625977,11.232223510742188,0.04428819566965103,0.15084461867809296,0.08058321475982666
700,4441227,41.564762115478516,17.506553649902344,11.232007026672363,0.042837563902139664,0.15740759670734406,0.07501611858606339
715,4441267,41.56610870361328,17.51287078857422,11.241308212280273,0.041638538241386414,0.16324181854724884,0.07156731188297272
727,4441287,41.56678009033203,17.516103744506836,11.245584487915039,0.04082717373967171,0.16566452383995056,0.0697617381811142
732,4441327,41.56812286376953,17.52269744873047,11.253475189208984,0.040213048458099365,0.1703440248966217,0.0666390061378479
747,4441367,41.569339752197266,17.52947998046875,11.270387649536133,0.040681883692741394,0.17405270040035248,0.06589136272668839
761,4441387,41.56998062133789,17.532917022705078,11.278119087219238,0.041388750076293945,0.17577174305915833,0.06582195311784744
766,4441427,41.57136154174805,17.539867401123047,11.29233169555664,0.04357947036623955,0.17874757945537567,0.0667138397693634
781,4441467,41.57289505004883,17.546899795532227,11.31325912475586,0.046797119081020355,0.1809217929840088,0.07030855864286423
793,4441487,41.57378005981445,17.550622940063477,11.322946548461914,0.04878932610154152,0.18193739652633667,0.07279080897569656
799,4441527,41.575599670410156,17.557754516601562,11.340715408325195,0.05274314060807228,0.18365365266799927,0.07793200016021729
814,4441567,41.57725524902344,17.565479278564453,11.356945991516113,0.05698910355567932,0.1845116913318634,0.08246026188135147
826,4441587,41.57817459106445,17.569320678710938,11.364471435546875,0.058814823627471924,0.1846897453069687,0.08406143635511398
831,4441627,41.580162048339844,17.576953887939453,11.378432273864746,0.06181603670120239,0.18431821465492249,0.08560120314359665
846,4441667,41.58229446411133,17.584482192993164,11.384154319763184,0.06293152272701263,0.18267980217933655,0.08171044290065765
858,4441687,41.58338928222656,17.588197708129883,11.38681697845459,0.06283994764089584,0.1813788115978241,0.0778890997171402
863,4441727,41.5855827331543,17.595495223999023,11.391646385192871,0.06134621426463127,0.17768803238868713,0.06677401065826416
878,4441767,41.58753967285156,17.603321075439453,11.383810997009277,0.05792911723256111,0.1725611686706543,0.04790028557181358
891,4441787,41.58845520019531,17.607023239135742,11.380078315734863,0.05562853813171387,0.1694432497024536,0.037270139902830124
895,4441827,41.59017562866211,17.614160537719727,11.372843742370605,0.04975944012403488,0.1627907007932663,0.013848047703504562
908,4441847,41.590965270996094,17.617591857910156,11.363899230957031,0.04654424265027046,0.15907907485961914,0.0003018817806150764
922,4441887,41.59238052368164,17.624170303344727,11.347007751464844,0.0393587127327919,0.15140724182128906,-0.02677033096551895
927,4441927,41.593536376953125,17.630373001098633,11.33117389678955,0.03141893073916435,0.14352717995643616,-0.05320282280445099
940,4441947,41.594120025634766,17.633737564086914,11.322223663330078,0.02759363315999508,0.139605313539505,-0.06591102480888367
954,4441987,41.59506607055664,17.640104293823242,11.305127143859863,0.019519269466400146,0.1313965618610382,-0.0893002524971962
959,4442027,41.59569549560547,17.64600944519043,11.288987159729004,0.010963530279695988,0.12314671277999878,-0.1090129166841507
971,4442047,41.59589385986328,17.64879608154297,11.284825325012207,0.006916027050465345,0.11916349828243256,-0.11682316660881042
986,4442087,41.59606170654297,17.654155731201172,11.276321411132812,-0.0009963660268113017,0.11079344153404236,-0.12971606850624084
1000,4442127,41.59593963623047,17.658981323242188,11.267939567565918,-0.008059227839112282,0.10280516743659973,-0.13909003138542175
1004,4442147,41.595497131347656,17.66163444519043,11.27266788482666,-0.011469450779259205,0.09912639111280441,-0.14079149067401886
1019,4442187,41.594478607177734,17.666587829589844,11.280537605285645,-0.017441220581531525,0.09175306558609009,-0.14287979900836945
1023,4442227,41.59331130981445,17.671085357666016,11.286588668823242,-0.022533787414431572,0.0840783417224884,-0.14347457885742188
