ping_number,pwr_up_msec,range_m,angle_deg,surveyor_y_m,surveyor_z_m,boat_x_m,boat_y_m,boat_z_m,x_sonar_m,y_sonar_m,z_sonar_m,x_boat_m,y_boat_m,z_boat_m,map_x_m,map_y_m,map_z_m,roll_rad,pitch_rad,yaw_rad_original,yaw_rad_used,altitude_m
35625,4500818,4.358464269898832,-34.99999983559887,-2.4999123936476857,-3.570244923821257,41.514068603515625,17.376554489135742,11.258112907409668,3.570244923821257,0.0,2.4999123936476857,3.6871551466564987,0.27863365807032486,2.460996288588609,42.865049932173356,13.84651080404276,13.591113883475776,-0.0148858549073338,0.0331549458205699,1.852810263633728,4.994402917223521,-2.460996288588609
35626,4500868,4.264714429154992,-36.99999875288908,-2.566569138784173,-3.4059524391986837,41.514068603515625,17.376554489135742,11.258112907409668,3.4059524391986837,0.0,2.566569138784173,3.526285297546254,0.28179686232128043,2.535467947370745,42.860782594003894,13.969391159091987,13.607643637933897,-0.0314180925488472,0.0490230247378349,1.8484305143356323,4.990023167925425,-2.535467947370745
35627,4500918,4.264714429154992,-36.99999875288908,-2.566569138784173,-3.4059524391986837,41.514068603515625,17.376554489135742,11.258112907409668,3.4059524391986837,0.0,2.566569138784173,3.526285297546254,0.28179686232128043,2.535467947370745,42.860782594003894,13.969391159091987,13.607643637933897,-0.0314180925488472,0.0490230247378349,1.8484305143356323,4.990023167925425,-2.535467947370745
35628,4500968,4.264714429154992,-37.99999991908148,-2.6256203725499696,-3.360640834944036,41.514068603515625,17.376554489135742,11.258112907409668,3.360640834944036,0.0,2.6256203725499696,3.483887843354199,0.2845991460705043,2.596580898315811,42.88845508678267,13.98255822141493,13.614498841382247,-0.0472803115844726,0.0628306791186332,1.844178557395935,4.985771210985728,-2.596580898315811
35629,4501018,4.2178393341600895,-36.99999875288908,-2.5383590032194028,-3.368516323184887,41.53534698486328,17.408903121948242,11.266108512878418,3.368516323184887,0.0,2.5383590032194028,3.487526557413128,0.2804581467786028,2.5091384499435287,42.90127450466559,14.014446418715576,13.535288920485296,-0.0472803115844726,0.0628306791186332,1.844178557395935,4.985771210985728,-2.5091384499435287
35630,4501068,4.2178393341600895,-37.99999991908148,-2.596761182461545,-3.3237027559709587,41.53534698486328,17.408903121948242,11.266108512878418,3.3237027559709587,0.0,2.596761182461545,3.4455951097323676,0.2832296295635114,2.5695796852488826,42.905674817747446,14.041870309674563,13.577033893243051,-0.0562135502696037,0.0676316693425178,1.839532494544983,4.981125148134776,-2.5695796852488826
35631,4501118,4.967839457094669,-34.99999983559887,-2.849435640487934,-4.069415855154616,41.53534698486328,17.408903121948242,11.266108512878418,4.069415855154616,0.0,2.849435640487934,4.2026717870547134,0.29522032785068975,2.78550452365838,43.13332346138809,13.306033258343582,13.740289327976877,-0.0562135502696037,0.0676316693425178,1.839532494544983,4.981125148134776,-2.78550452365838
35632,4501168,5.254375515505672,-34.99999983559887,-3.01378597108391,-4.304132453636075,41.53534698486328,17.408903121948242,11.266108512878418,4.304132453636075,0.0,3.01378597108391,4.445074348381048,0.3030195935262435,2.9380924736644913,43.18432236555282,13.076720971110902,13.911098536743554,-0.0552932061254978,0.0600157417356967,1.834028244018555,4.975620897608348,-2.9380924736644913
35633,4501218,4.854375380091369,-36.00000100179127,-2.853330326175985,-3.927272129680049,41.53534698486328,17.408903121948242,11.266108512878418,3.927272129680049,0.0,2.853330326175985,4.0608840303038765,0.29540515065143336,2.7962843726599056,43.067423840096616,13.451167845270525,13.793225762392092,-0.0552932061254978,0.0600157417356967,1.834028244018555,4.975620897608348,-2.7962843726599056
35634,4501268,5.157598061487079,-36.99999875288908,-3.10391990712697,-4.119041026015179,41.53534698486328,17.408903121948242,11.266108512878418,4.119041026015179,0.0,3.10391990712697,4.264567421101285,0.3072969108339363,3.036996046734546,43.0794207415289,13.280268282472978,14.107678899945288,-0.0457100309431552,0.0411997102200984,1.8273848295211792,4.968977483110972,-3.036996046734546
35635,4501318,4.89197310525924,-36.99999875288908,-2.944062822562377,-3.9069035001373886,41.53534698486328,17.408903121948242,11.266108512878418,3.9069035001373886,0.0,2.944062822562377,4.044935041637793,0.29971087271574315,2.8877958882630623,43.00825055145144,13.49480061556438,13.96815363530215,-0.0457100309431552,0.0411997102200984,1.8273848295211792,4.968977483110972,-2.8877958882630623
35636,4501368,5.181697080843151,-36.99999875288908,-3.1184230585997663,-4.1382873589459335,41.55078887939453,17.434289932250977,11.289484024047852,4.1382873589459335,0.0,3.1184230585997663,4.284493730131416,0.30798515971703233,3.0505323407559897,43.01577910992245,13.329298135966198,14.24927032056184,-0.0324807688593864,0.0183517336845397,1.8200974464416504,4.9616901000314435,-3.0505323407559897
35637,4501418,4.900447209365666,-36.00000100179127,-2.8804106686212534,-3.964545022051409,41.55078887939453,17.434289932250977,11.289484024047852,3.964545022051409,0.0,2.8804106686212534,4.099425004393803,0.2966902517190718,2.8214945944781586,42.950942586588894,13.50805923281344,14.02415481041462,-0.0324807688593864,0.0183517336845397,1.8200974464416504,4.9616901000314435,-2.8214945944781586
35638,4501468,5.174654186703265,-34.99999983559887,-2.9680596955956347,-4.238828564042945,41.55078887939453,17.434289932250977,11.289484024047852,4.238828564042945,0.0,2.9680596955956347,4.377632036229454,0.3008496473533738,2.8956387796994765,42.95035744913836,13.269681863809824,14.176722177074833,-0.0203759782016277,0.0003814046795014,1.8130189180374143,4.954611571627208,-2.8956387796994765
35639,4501518,4.996528965421021,-34.99999983559887,-2.865891266366994,-4.09291692459701,41.55078887939453,17.434289932250977,11.289484024047852,4.09291692459701,0.0,2.865891266366994,4.226942415819788,0.2960012316530911,2.800782437671988,42.90762209549077,13.414381236387161,14.082041790609692,-0.0203759782016277,0.0003814046795014,1.8130189180374143,4.954611571627208,-2.800782437671988
35640,4501568,4.402779042720795,-37.99999991908148,-2.710621436074506,-3.469437235246492,41.55078887939453,17.434289932250977,11.289484024047852,3.469437235246492,0.0,2.710621436074506,3.596674206143466,0.2886328822651835,2.6761095275014952,42.70495040970332,14.027063302869937,13.98014460224026,-0.0126182176172733,-0.0051273019053041,1.8076701164245603,4.949262770014354,-2.6761095275014952
35641,4501618,4.042661399580538,-36.99999875288908,-2.432934293509845,-3.2286130017582213,41.55078887939453,17.434289932250977,11.289484024047852,3.2286130017582213,0.0,2.432934293509845,3.3426804286924328,0.27545520387723266,2.4107419138230393,42.62960327295563,14.268761872873752,13.713665577131387,-0.0126182176172733,-0.0051273019053041,1.8076701164245603,4.949262770014354,-2.4107419138230393
35642,4501668,4.267661366611719,-36.99999875288908,-2.5683426499666933,-3.4083059681361165,41.56862258911133,17.447643280029297,11.334304809570312,3.4083059681361165,0.0,2.5683426499666933,3.5287219770470903,0.28188102451822206,2.537123226836173,42.68452656566104,14.079505598974155,13.859920941924399,-0.0094305127859115,0.0024734986945986,1.804435968399048,4.946028621988841,-2.537123226836173
35643,4501718,4.034333978779614,-36.00000100179127,-2.371322072615948,-3.263844708355493,41.56862258911133,17.447643280029297,11.334304809570312,3.263844708355493,0.0,2.371322072615948,3.3748857771749146,0.2725313881607088,2.3475627578931575,42.63796778845449,14.227039145745977,13.670838165556525,-0.0094305127859115,0.0024734986945986,1.804435968399048,4.946028621988841,-2.3475627578931575
35644,4501768,4.087459179572761,-36.00000100179127,-2.4025482829187084,-3.306823898080754,41.56862258911133,17.447643280029297,11.334304809570312,3.306823898080754,0.0,2.4025482829187084,3.419327185722005,0.274013231910635,2.376632541256017,42.652456301581296,14.147687609392433,13.647497613030907,-0.0095824990421533,0.0176462978124618,1.802588701248169,4.944181354837962,-2.376632541256017
35645,4501818,4.284016904421151,-36.00000100179127,-2.5180820175891223,-3.46584243583872,41.56862258911133,17.447643280029297,11.334304809570312,3.46584243583872,0.0,2.5180820175891223,3.583755781240851,0.27949589986704226,2.4841877202357145,42.696997951258396,13.987331456353475,13.752077175203274,-0.0095824990421533,0.0176462978124618,1.802588701248169,4.944181354837962,-2.4841877202357145
35646,4501868,4.115266841836274,-36.00000100179127,-2.418893217091279,-3.329320769139991,41.56862258911133,17.447643280029297,11.334304809570312,3.329320769139991,0.0,2.418893217091279,3.442589435293619,0.27478888282413816,2.3918487231388004,42.66513901962136,14.092186029789174,13.611678214159959,-0.0117761148139834,0.0319166257977485,1.8007214069366455,4.942314060526439,-2.3918487231388004
