packet_index,ping_number,pwr_up_msec,utc_msec,utc_iso,ping_hz,sos_mps,listening_sec,pulse_sec,point_index,angle_rad,angle_deg,tof_s,range_m,y_m,z_m,reserved0,reserved1
2,35625,4500818,1776873491757,2026-04-22T15:58:11.757000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,0,-0.6108652353286743,-34.99999983559887,0.0058112856931984425,4.358464269898832,-2.4999123936476857,-3.5702449238212575,4294967295,4294967295
2,35625,4500818,1776873491757,2026-04-22T15:58:11.757000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,1,-0.5759586691856384,-33.000000918308665,0.0066237859427928925,4.967839457094669,-2.705679354798324,-4.166380695577971,4294967295,4294967295
15,35626,4500868,1776873491807,2026-04-22T15:58:11.807000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,0,-0.6457718014717102,-36.99999875288908,0.0056862859055399895,4.264714429154992,-2.566569138784173,-3.4059524391986833,4294967295,4294967295
15,35626,4500868,1776873491807,2026-04-22T15:58:11.807000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,1,-0.5759586691856384,-33.000000918308665,0.0066237859427928925,4.967839457094669,-2.705679354798324,-4.166380695577971,4294967295,4294967295
26,35627,4500918,1776873491857,2026-04-22T15:58:11.857000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,0,-0.6457718014717102,-36.99999875288908,0.0056862859055399895,4.264714429154992,-2.566569138784173,-3.4059524391986833,4294967295,4294967295
26,35627,4500918,1776873491857,2026-04-22T15:58:11.857000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,1,-0.5759586691856384,-33.000000918308665,0.0066237859427928925,4.967839457094669,-2.705679354798324,-4.166380695577971,4294967295,4294967295
39,35628,4500968,1776873491907,2026-04-22T15:58:11.907000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,0,-0.6632251143455505,-37.999999919081475,0.0056862859055399895,4.264714429154992,-2.6256203725499696,-3.360640834944036,4294967295,4294967295
39,35628,4500968,1776873491907,2026-04-22T15:58:11.907000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,1,-0.593411922454834,-33.99999866940647,0.0066237859427928925,4.967839457094669,-2.7779804743438063,-4.118525628866624,4294967295,4294967295
52,35629,4501018,1776873491957,2026-04-22T15:58:11.957000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,0,-0.6457718014717102,-36.99999875288908,0.005623785778880119,4.2178393341600895,-2.5383590032194028,-3.368516323184887,4294967295,4294967295
52,35629,4501018,1776873491957,2026-04-22T15:58:11.957000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,1,-0.593411922454834,-33.99999866940647,0.0066237859427928925,4.967839457094669,-2.7779804743438063,-4.118525628866624,4294967295,4294967295
65,35630,4501068,1776873492007,2026-04-22T15:58:12.007000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,0,-0.6632251143455505,-37.999999919081475,0.005623785778880119,4.2178393341600895,-2.596761182461545,-3.3237027559709587,4294967295,4294967295
65,35630,4501068,1776873492007,2026-04-22T15:58:12.007000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,1,-0.593411922454834,-33.99999866940647,0.0066237859427928925,4.967839457094669,-2.7779804743438063,-4.118525628866624,4294967295,4294967295
76,35631,4501118,1776873492057,2026-04-22T15:58:12.057000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,0,-0.6108652353286743,-34.99999983559887,0.0066237859427928925,4.967839457094669,-2.849435640487934,-4.069415855154616,4294967295,4294967295
89,35632,4501168,1776873492107,2026-04-22T15:58:12.107000+00:00,240000,1500.0,0.013186285272240639,9.999999747378752e-05,0,-0.6108652353286743,-34.99999983559887,0.007005834020674229,5.2543755155056715,-3.01378597108391,-4.304132453636075,4294967295,4294967295
100,35633,4501218,1776873492157,2026-04-22T15:58:12.157000+00:00,240000,1500.0,0.014005834236741066,9.999999747378752e-05,0,-0.6283185482025146,-36.00000100179127,0.006472500506788492,4.854375380091369,-2.8533303261759855,-3.9272721296800492,4294967295,4294967295
113,35634,4501268,1776873492207,2026-04-22T15:58:12.207000+00:00,240000,1500.0,0.014005834236741066,9.999999747378752e-05,0,-0.6457718014717102,-36.99999875288908,0.006876797415316105,5.157598061487079,-3.10391990712697,-4.119041026015179,4294967295,4294967295
113,35634,4501268,1776873492207,2026-04-22T15:58:12.207000+00:00,240000,1500.0,0.014005834236741066,9.999999747378752e-05,1,0.593411922454834,33.99999866940647,0.013039297424256802,9.779473068192601,5.468611751133015,-8.107550740320674,4294967295,4294967295
124,35635,4501318,1776873492257,2026-04-22T15:58:12.257000+00:00,240000,1500.0,0.01488096360117197,0.0001062500014086254,0,-0.6457718014717102,-36.99999875288908,0.0065226308070123196,4.89197310525924,-2.944062822562377,-3.9069035001373886,4294967295,4294967295
139,35636,4501368,1776873492307,2026-04-22T15:58:12.307000+00:00,240000,1500.0,0.01488096360117197,0.0001062500014086254,0,-0.6457718014717102,-36.99999875288908,0.006908929441124201,5.181697080843151,-3.1184230585997663,-4.1382873589459335,4294967295,4294967295
150,35637,4501418,1776873492357,2026-04-22T15:58:12.357000+00:00,240000,1500.0,0.015758929774165154,0.00011249999806750566,0,-0.6283185482025146,-36.00000100179127,0.0065339296124875546,4.900447209365666,-2.8804106686212534,-3.9645450220514085,4294967295,4294967295
163,35638,4501468,1776873492407,2026-04-22T15:58:12.407000+00:00,240000,1500.0,0.015758929774165154,0.00011249999806750566,0,-0.6108652353286743,-34.99999983559887,0.006899538915604353,5.174654186703265,-2.9680596955956347,-4.238828564042945,4294967295,4294967295
163,35638,4501468,1776873492407,2026-04-22T15:58:12.407000+00:00,240000,1500.0,0.015758929774165154,0.00011249999806750566,1,0.6108652353286743,34.99999983559887,0.014737038873136044,11.052779154852033,6.33961365343641,-9.053906657962312,4294967295,4294967295
174,35639,4501518,1776873492457,2026-04-22T15:58:12.457000+00:00,240000,1500.0,0.016637038439512253,0.00011875000200234354,0,-0.6108652353286743,-34.99999983559887,0.006662038620561361,4.996528965421021,-2.865891266366994,-4.09291692459701,4294967295,4294967295
174,35639,4501518,1776873492457,2026-04-22T15:58:12.457000+00:00,240000,1500.0,0.016637038439512253,0.00011875000200234354,1,0.6108652353286743,34.99999983559887,0.013945371843874454,10.45902888290584,5.9990524897666155,-8.567534907923257,4294967295,4294967295
187,35640,4501568,1776873492507,2026-04-22T15:58:12.507000+00:00,240000,1500.0,0.016637038439512253,0.00011875000200234354,0,-0.6632251143455505,-37.999999919081475,0.00587037205696106,4.402779042720795,-2.710621436074506,-3.4694372352464917,4294967295,4294967295
187,35640,4501568,1776873492507,2026-04-22T15:58:12.507000+00:00,240000,1500.0,0.016637038439512253,0.00011875000200234354,1,-0.593411922454834,-33.99999866940647,0.006662038620561361,4.996528965421021,-2.79402344325161,-4.1423103095798695,4294967295,4294967295
187,35640,4501568,1776873492507,2026-04-22T15:58:12.507000+00:00,240000,1500.0,0.016637038439512253,0.00011875000200234354,2,0.6457718014717102,36.99999875288908,0.006899538915604353,5.174654186703265,3.114184539222342,-4.13266265350006,4294967295,4294967295
200,35641,4501618,1776873492557,2026-04-22T15:58:12.557000+00:00,240000,1500.0,0.016637038439512253,0.00011875000200234354,0,-0.6457718014717102,-36.99999875288908,0.005390215199440718,4.042661399580538,-2.432934293509845,-3.2286130017582213,4294967295,4294967295
200,35641,4501618,1776873492557,2026-04-22T15:58:12.557000+00:00,240000,1500.0,0.016637038439512253,0.00011875000200234354,1,-0.593411922454834,-33.99999866940647,0.0063652154058218,4.77391155436635,-2.6695373710868466,-3.9577521086196477,4294967295,4294967295
211,35642,4501668,1776873492607,2026-04-22T15:58:12.607000+00:00,240000,1500.0,0.015815215185284615,0.00011249999806750566,0,-0.6457718014717102,-36.99999875288908,0.005690215155482292,4.267661366611719,-2.5683426499666933,-3.4083059681361165,4294967295,4294967295
211,35642,4501668,1776873492607,2026-04-22T15:58:12.607000+00:00,240000,1500.0,0.015815215185284615,0.00011249999806750566,1,0.6632251143455505,37.999999919081475,0.006965215317904949,5.223911488428712,3.2161610481229674,-4.116498433313689,4294967295,4294967295
226,35643,4501718,1776873492657,2026-04-22T15:58:12.657000+00:00,240000,1500.0,0.015815215185284615,0.00011249999806750566,0,-0.6283185482025146,-36.00000100179127,0.005379111971706152,4.034333978779614,-2.371322072615948,-3.263844708355493,4294967295,4294967295
240,35644,4501768,1776873492707,2026-04-22T15:58:12.707000+00:00,240000,1500.0,0.014941612258553505,0.0001062500014086254,0,-0.6283185482025146,-36.00000100179127,0.005449945572763681,4.087459179572761,-2.4025482829187084,-3.306823898080754,4294967295,4294967295
251,35645,4501818,1776873492757,2026-04-22T15:58:12.757000+00:00,240000,1500.0,0.014941612258553505,0.0001062500014086254,0,-0.6283185482025146,-36.00000100179127,0.005712022539228201,4.284016904421151,-2.5180820175891223,-3.46584243583872,4294967295,4294967295
251,35645,4501818,1776873492757,2026-04-22T15:58:12.757000+00:00,240000,1500.0,0.014941612258553505,0.0001062500014086254,1,-0.5585053563117981,-31.999999752116263,0.007287022192031145,5.465266644023359,-2.8961500587871565,-4.634808984981095,4294967295,4294967295
