latitude,longitude,altitude (m),northing (local m),easting (local m),ping number,elapsed (s),datetime,altitude (m above MSL),northing (UTM m),easting (UTM m),coordinate projection
63.44062461,10.34847610,-7.003,7.727,-0.558,58624,0.050,2026-04-22T17:01:01.628Z,"",7035391.960,567268.505,UTM zone 32N
63.44061024,10.34847852,-6.386,6.128,-0.437,58624,0.050,2026-04-22T17:01:01.628Z,"",7035390.362,567268.659,UTM zone 32N
63.44059526,10.34848104,-5.746,4.460,-0.311,58624,0.050,2026-04-22T17:01:01.628Z,"",7035388.696,567268.820,UTM zone 32N
63.44058456,10.34848285,-5.266,3.269,-0.222,58624,0.050,2026-04-22T17:01:01.628Z,"",7035387.505,567268.935,UTM zone 32N
63.44064346,10.34847304,-7.738,9.826,-0.710,58625,0.100,2026-04-22T17:01:01.678Z,"",7035394.057,567268.308,UTM zone 32N
63.44061021,10.34847864,-6.390,6.124,-0.431,58625,0.100,2026-04-22T17:01:01.678Z,"",7035390.358,567268.665,UTM zone 32N
63.44059523,10.34848115,-5.749,4.457,-0.306,58625,0.100,2026-04-22T17:01:01.678Z,"",7035388.692,567268.826,UTM zone 32N
63.44064390,10.34847315,-7.676,9.874,-0.704,58626,0.150,2026-04-22T17:01:01.728Z,"",7035394.106,567268.312,UTM zone 32N
63.44062605,10.34847611,-6.822,7.887,-0.557,58626,0.150,2026-04-22T17:01:01.728Z,"",7035392.120,567268.502,UTM zone 32N
63.44061057,10.34847873,-6.352,6.164,-0.427,58626,0.150,2026-04-22T17:01:01.728Z,"",7035390.399,567268.669,UTM zone 32N
63.44059556,10.34848123,-5.720,4.493,-0.302,58626,0.150,2026-04-22T17:01:01.728Z,"",7035388.729,567268.829,UTM zone 32N
63.44061271,10.34847894,-6.319,6.402,-0.416,58627,0.200,2026-04-22T17:01:01.778Z,"",7035390.637,567268.674,UTM zone 32N
63.44060402,10.34848034,-5.957,5.435,-0.346,58627,0.200,2026-04-22T17:01:01.778Z,"",7035389.670,567268.765,UTM zone 32N
63.44059578,10.34848169,-5.703,4.517,-0.279,58627,0.200,2026-04-22T17:01:01.778Z,"",7035388.753,567268.851,UTM zone 32N
63.44055798,10.34900642,-6.505,0.309,25.838,58628,0.250,2026-04-22T17:01:01.828Z,8.465,7035385.093,567295.113,UTM zone 32N
63.44054986,10.34900775,-6.306,-0.594,25.905,58628,0.250,2026-04-22T17:01:01.828Z,8.664,7035384.191,567295.199,UTM zone 32N
63.44054306,10.34900881,-5.938,-1.352,25.957,58628,0.250,2026-04-22T17:01:01.828Z,9.032,7035383.434,567295.267,UTM zone 32N
63.44053481,10.34901015,-5.687,-2.270,26.024,58628,0.250,2026-04-22T17:01:01.828Z,9.283,7035382.516,567295.354,UTM zone 32N
63.44058350,10.34900327,-7.571,3.150,25.682,58629,0.300,2026-04-22T17:01:01.878Z,7.399,7035387.934,567294.896,UTM zone 32N
63.44057359,10.34900481,-7.234,2.047,25.758,58629,0.300,2026-04-22T17:01:01.878Z,7.736,7035386.831,567294.996,UTM zone 32N
63.44055378,10.34900784,-6.477,-0.158,25.909,58629,0.300,2026-04-22T17:01:01.878Z,8.493,7035384.627,567295.194,UTM zone 32N
63.44054142,10.34900970,-5.908,-1.534,26.002,58629,0.300,2026-04-22T17:01:01.878Z,9.062,7035383.253,567295.316,UTM zone 32N
63.44053495,10.34901069,-5.672,-2.254,26.051,58629,0.300,2026-04-22T17:01:01.878Z,9.298,7035382.533,567295.380,UTM zone 32N
63.44053123,10.34901127,-5.540,-2.669,26.080,58629,0.300,2026-04-22T17:01:01.878Z,9.430,7035382.118,567295.418,UTM zone 32N
63.44058360,10.34900367,-7.553,3.162,25.701,58630,0.350,2026-04-22T17:01:01.928Z,7.417,7035387.946,567294.916,UTM zone 32N
63.44057156,10.34900556,-7.279,1.821,25.796,58630,0.350,2026-04-22T17:01:01.928Z,7.691,7035386.606,567295.039,UTM zone 32N
63.44055824,10.34900745,-6.469,0.338,25.890,58630,0.350,2026-04-22T17:01:01.928Z,8.501,7035385.124,567295.164,UTM zone 32N
63.44054868,10.34900899,-6.331,-0.726,25.966,58630,0.350,2026-04-22T17:01:01.928Z,8.639,7035384.060,567295.263,UTM zone 32N
63.44053129,10.34901156,-5.533,-2.661,26.094,58630,0.350,2026-04-22T17:01:01.928Z,9.437,7035382.126,567295.432,UTM zone 32N
63.44052342,10.34901276,-5.264,-3.537,26.154,58630,0.350,2026-04-22T17:01:01.928Z,9.706,7035381.251,567295.511,UTM zone 32N
63.44055730,10.34900828,-6.581,0.234,25.931,58631,0.400,2026-04-22T17:01:01.978Z,8.389,7035385.020,567295.208,UTM zone 32N
63.44054876,10.34900955,-6.321,-0.717,25.994,58631,0.400,2026-04-22T17:01:01.978Z,8.649,7035384.070,567295.291,UTM zone 32N
63.44054064,10.34901071,-5.981,-1.621,26.052,58631,0.400,2026-04-22T17:01:01.978Z,8.989,7035383.167,567295.368,UTM zone 32N
63.44053590,10.34901138,-5.768,-2.148,26.085,58631,0.400,2026-04-22T17:01:01.978Z,9.202,7035382.640,567295.412,UTM zone 32N
63.44053049,10.34901218,-5.597,-2.751,26.125,58631,0.400,2026-04-22T17:01:01.978Z,9.373,7035382.037,567295.465,UTM zone 32N
63.44052691,10.34901268,-5.438,-3.149,26.150,58631,0.400,2026-04-22T17:01:01.978Z,9.532,7035381.639,567295.499,UTM zone 32N
63.44055730,10.34900860,-6.578,0.234,25.947,58632,0.450,2026-04-22T17:01:02.028Z,8.392,7035385.021,567295.223,UTM zone 32N
63.44054876,10.34900985,-6.318,-0.717,26.009,58632,0.450,2026-04-22T17:01:02.028Z,8.652,7035384.070,567295.306,UTM zone 32N
63.44054064,10.34901099,-5.979,-1.621,26.066,58632,0.450,2026-04-22T17:01:02.028Z,8.991,7035383.167,567295.382,UTM zone 32N
63.44053590,10.34901165,-5.766,-2.148,26.099,58632,0.450,2026-04-22T17:01:02.028Z,9.204,7035382.640,567295.426,UTM zone 32N
63.44053174,10.34901223,-5.581,-2.611,26.128,58632,0.450,2026-04-22T17:01:02.028Z,9.389,7035382.177,567295.465,UTM zone 32N
63.44052691,10.34901294,-5.436,-3.149,26.163,58632,0.450,2026-04-22T17:01:02.028Z,9.534,7035381.639,567295.512,UTM zone 32N
63.44056998,10.34900726,-7.147,1.645,25.880,58633,0.500,2026-04-22T17:01:02.078Z,7.823,7035386.431,567295.127,UTM zone 32N
63.44055711,10.34900902,-6.598,0.213,25.968,58633,0.500,2026-04-22T17:01:02.078Z,8.372,7035385.000,567295.245,UTM zone 32N
63.44054723,10.34901037,-6.180,-0.887,26.035,58633,0.500,2026-04-22T17:01:02.078Z,8.790,7035383.900,567295.335,UTM zone 32N
63.44054046,10.34901135,-5.993,-1.641,26.084,58633,0.500,2026-04-22T17:01:02.078Z,8.977,7035383.147,567295.400,UTM zone 32N
63.44053573,10.34901199,-5.779,-2.168,26.116,58633,0.500,2026-04-22T17:01:02.078Z,9.191,7035382.621,567295.443,UTM zone 32N
63.44052519,10.34901347,-5.389,-3.341,26.189,58633,0.500,2026-04-22T17:01:02.078Z,9.581,7035381.448,567295.542,UTM zone 32N
63.44056869,10.34900749,-7.090,1.502,25.892,58634,0.550,2026-04-22T17:01:02.128Z,7.880,7035386.288,567295.141,UTM zone 32N
63.44055683,10.34900913,-6.628,0.181,25.973,58634,0.550,2026-04-22T17:01:02.128Z,8.342,7035384.969,567295.251,UTM zone 32N
63.44054874,10.34901031,-6.414,-0.719,26.032,58634,0.550,2026-04-22T17:01:02.128Z,8.556,7035384.069,567295.329,UTM zone 32N
63.44054020,10.34901145,-6.016,-1.669,26.089,58634,0.550,2026-04-22T17:01:02.128Z,8.954,7035383.119,567295.406,UTM zone 32N
63.44052579,10.34901338,-5.343,-3.274,26.185,58634,0.550,2026-04-22T17:01:02.128Z,9.627,7035381.515,567295.536,UTM zone 32N
63.44057449,10.34900652,-7.433,2.147,25.843,58635,0.600,2026-04-22T17:01:02.178Z,7.557,7035386.933,567295.080,UTM zone 32N
63.44056235,10.34900825,-7.017,0.796,25.929,58635,0.600,2026-04-22T17:01:02.178Z,7.973,7035385.583,567295.194,UTM zone 32N
63.44054949,10.34900993,-6.329,-0.636,26.013,58635,0.600,2026-04-22T17:01:02.178Z,8.661,7035384.152,567295.308,UTM zone 32N
63.44053997,10.34901131,-6.035,-1.696,26.082,58635,0.600,2026-04-22T17:01:02.178Z,8.955,7035383.092,567295.399,UTM zone 32N
63.44053525,10.34901195,-5.816,-2.221,26.114,58635,0.600,2026-04-22T17:01:02.178Z,9.174,7035382.567,567295.442,UTM zone 32N
63.44052439,10.34901344,-5.356,-3.430,26.188,58635,0.600,2026-04-22T17:01:02.178Z,9.634,7035381.359,567295.542,UTM zone 32N
63.44057879,10.34900523,-7.635,2.626,25.779,58636,0.650,2026-04-22T17:01:02.228Z,7.355,7035387.411,567295.005,UTM zone 32N
63.44056357,10.34900741,-6.969,0.932,25.888,58636,0.650,2026-04-22T17:01:02.228Z,8.021,7035385.718,567295.149,UTM zone 32N
63.44054061,10.34901071,-5.969,-1.625,26.052,58636,0.650,2026-04-22T17:01:02.228Z,9.021,7035383.163,567295.368,UTM zone 32N
63.44053456,10.34901162,-5.782,-2.298,26.097,58636,0.650,2026-04-22T17:01:02.228Z,9.208,7035382.490,567295.427,UTM zone 32N
63.44052531,10.34901294,-5.373,-3.328,26.163,58636,0.650,2026-04-22T17:01:02.228Z,9.617,7035381.461,567295.515,UTM zone 32N
63.44058789,10.34900391,-7.966,3.639,25.714,58637,0.700,2026-04-22T17:01:02.278Z,7.024,7035388.423,567294.918,UTM zone 32N
63.44056975,10.34900650,-7.158,1.620,25.842,58637,0.700,2026-04-22T17:01:02.278Z,7.832,7035386.405,567295.090,UTM zone 32N
63.44056317,10.34900752,-7.015,0.888,25.893,58637,0.700,2026-04-22T17:01:02.278Z,7.975,7035385.674,567295.156,UTM zone 32N
63.44054836,10.34900963,-6.344,-0.761,25.998,58637,0.700,2026-04-22T17:01:02.278Z,8.646,7035384.026,567295.296,UTM zone 32N
63.44054026,10.34901080,-6.000,-1.663,26.056,58637,0.700,2026-04-22T17:01:02.278Z,8.990,7035383.124,567295.373,UTM zone 32N
63.44053422,10.34901170,-5.809,-2.335,26.101,58637,0.700,2026-04-22T17:01:02.278Z,9.181,7035382.453,567295.432,UTM zone 32N
63.44052464,10.34901304,-5.333,-3.402,26.168,58637,0.700,2026-04-22T17:01:02.278Z,9.657,7035381.387,567295.522,UTM zone 32N
63.44054846,10.34900928,-6.429,-0.751,25.981,58638,0.750,2026-04-22T17:01:02.328Z,8.561,7035384.036,567295.278,UTM zone 32N
63.44053993,10.34901054,-6.029,-1.700,26.043,58638,0.750,2026-04-22T17:01:02.328Z,8.961,7035383.087,567295.361,UTM zone 32N
63.44053390,10.34901147,-5.834,-2.371,26.090,58638,0.750,2026-04-22T17:01:02.328Z,9.156,7035382.417,567295.422,UTM zone 32N
63.44052435,10.34901286,-5.352,-3.435,26.159,58638,0.750,2026-04-22T17:01:02.328Z,9.638,7035381.354,567295.514,UTM zone 32N
63.44056354,10.34900673,-6.961,0.928,25.854,58639,0.800,2026-04-22T17:01:02.378Z,8.029,7035385.713,567295.116,UTM zone 32N
63.44054056,10.34901019,-5.964,-1.629,26.026,58639,0.800,2026-04-22T17:01:02.378Z,9.026,7035383.158,567295.342,UTM zone 32N
63.44053452,10.34901114,-5.777,-2.302,26.073,58639,0.800,2026-04-22T17:01:02.378Z,9.213,7035382.485,567295.404,UTM zone 32N
63.44052491,10.34901256,-5.309,-3.372,26.144,58639,0.800,2026-04-22T17:01:02.378Z,9.681,7035381.416,567295.497,UTM zone 32N
63.44057955,10.34900421,-7.509,2.711,25.728,58640,0.850,2026-04-22T17:01:02.428Z,7.481,7035387.495,567294.952,UTM zone 32N
63.44056223,10.34900690,-6.905,0.782,25.862,58640,0.850,2026-04-22T17:01:02.428Z,8.085,7035385.568,567295.127,UTM zone 32N
63.44054881,10.34900895,-6.385,-0.711,25.964,58640,0.850,2026-04-22T17:01:02.428Z,8.605,7035384.075,567295.261,UTM zone 32N
63.44054026,10.34901023,-5.991,-1.663,26.028,58640,0.850,2026-04-22T17:01:02.428Z,8.999,7035383.124,567295.345,UTM zone 32N
63.44053422,10.34901117,-5.801,-2.336,26.075,58640,0.850,2026-04-22T17:01:02.428Z,9.189,7035382.452,567295.406,UTM zone 32N
63.44052463,10.34901259,-5.327,-3.402,26.145,58640,0.850,2026-04-22T17:01:02.428Z,9.663,7035381.386,567295.499,UTM zone 32N
63.44056963,10.34900536,-7.165,1.607,25.786,58641,0.870,2026-04-22T17:01:02.448Z,7.875,7035386.391,567295.033,UTM zone 32N
63.44056210,10.34900658,-6.925,0.769,25.846,58641,0.870,2026-04-22T17:01:02.448Z,8.115,7035385.553,567295.111,UTM zone 32N
63.44055205,10.34900806,-6.334,-0.351,25.920,58641,0.870,2026-04-22T17:01:02.448Z,8.706,7035384.435,567295.209,UTM zone 32N
63.44054016,10.34901001,-6.005,-1.674,26.017,58641,0.870,2026-04-22T17:01:02.448Z,9.035,7035383.112,567295.334,UTM zone 32N
63.44053503,10.34901078,-5.733,-2.246,26.056,58641,0.870,2026-04-22T17:01:02.448Z,9.307,7035382.541,567295.385,UTM zone 32N
63.44052455,10.34901244,-5.336,-3.412,26.138,58641,0.870,2026-04-22T17:01:02.448Z,9.704,7035381.376,567295.492,UTM zone 32N
63.44056398,10.34900584,-6.902,0.977,25.810,58642,0.950,2026-04-22T17:01:02.528Z,8.138,7035385.761,567295.070,UTM zone 32N
63.44054094,10.34900955,-5.925,-1.587,25.994,58642,0.950,2026-04-22T17:01:02.528Z,9.115,7035383.199,567295.309,UTM zone 32N
63.44053489,10.34901056,-5.743,-2.261,26.045,58642,0.950,2026-04-22T17:01:02.528Z,9.297,7035382.525,567295.374,UTM zone 32N
63.44052525,10.34901208,-5.283,-3.334,26.120,58642,0.950,2026-04-22T17:01:02.528Z,9.757,7035381.454,567295.472,UTM zone 32N
63.44057569,10.34900393,-7.240,2.281,25.714,58643,1.000,2026-04-22T17:01:02.578Z,7.800,7035387.064,567294.947,UTM zone 32N
63.44056349,10.34900596,-6.854,0.923,25.815,58643,1.000,2026-04-22T17:01:02.578Z,8.186,7035385.707,567295.077,UTM zone 32N
63.44054953,10.34900822,-6.305,-0.631,25.928,58643,1.000,2026-04-22T17:01:02.578Z,8.735,7035384.155,567295.223,UTM zone 32N
63.44053488,10.34901060,-5.742,-2.262,26.046,58643,1.000,2026-04-22T17:01:02.578Z,9.298,7035382.525,567295.376,UTM zone 32N
