packet_index,time_boot_ms,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
64,8208567,-6.804835796356201,26.291357040405273,17.992584228515625,-0.0681363195180893,-0.010193162597715855,-0.06470151245594025
150,8208907,-6.8290791511535645,26.279438018798828,17.972972869873047,-0.06344281136989594,-0.028234392404556274,0.021040592342615128
228,8209227,-6.8430633544921875,26.270843505859375,17.920507431030273,-0.0350322425365448,-0.007868103682994843,-0.007129468489438295
313,8209567,-6.849680423736572,26.261001586914062,17.946903228759766,-0.02846614457666874,-0.01365622878074646,0.009404707700014114
399,8209907,-6.8634867668151855,26.256811141967773,17.969898223876953,-0.06397299468517303,0.024853194132447243,0.03505740687251091
475,8210227,-6.878600597381592,26.2619686126709,17.86471176147461,-0.06666393578052521,0.01259387843310833,-0.1161235049366951
562,8210567,-6.895688533782959,26.266511917114258,17.875608444213867,-0.0724499449133873,0.041896648705005646,0.057173267006874084
643,8210907,-6.91650390625,26.285722732543945,17.96373176574707,-0.04557336866855621,0.08002334833145142,0.11886004358530045
725,8211227,-6.916872978210449,26.31239128112793,17.893699645996094,0.009556700475513935,0.08056885749101639,-0.04845956712961197
811,8211567,-6.921868801116943,26.337488174438477,17.840566635131836,-0.04647824913263321,0.041615407913923264,-0.05868006870150566
894,8211907,-6.9380202293396,26.339984893798828,17.900291442871094,-0.03962339460849762,-0.0442056767642498,-0.05733509361743927
974,8212227,-6.949246883392334,26.328046798706055,17.840505599975586,-0.05905376002192497,-0.06365548074245453,-0.07887701690196991
1060,8212567,-6.963446617126465,26.318092346191406,17.817201614379883,-0.04368075355887413,-0.02989903837442398,-0.011749561876058578
1146,8212907,-6.974301338195801,26.31325912475586,17.845943450927734,-0.05440257117152214,-0.0018474941607564688,-0.005532918963581324
1223,8213227,-6.985703945159912,26.3187198638916,17.762195587158203,-0.035953089594841,0.03358251228928566,-0.035294145345687866
1309,8213567,-6.999844551086426,26.33007049560547,17.69329261779785,-0.0705600455403328,0.06601227819919586,-0.017973722890019417
1385,8213887,-7.026459217071533,26.351537704467773,17.772512435913086,-0.07676466554403305,0.10102610290050507,0.028362562879920006
