packet_index,ping_number,pwr_up_msec,utc_msec,utc_iso,ping_hz,sos_mps,listening_sec,pulse_sec,point_index,angle_rad,angle_deg,tof_s,range_m,y_m,z_m,reserved0,reserved1
2,58623,8270624,1776877261490,2026-04-22T17:01:01.490000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,0,-0.6457718014717102,-36.99999875288908,0.00826933328062296,6.201999960467219,-3.732456641986643,-4.953137482982396,4294967295,4294967295
2,58623,8270624,1776877261490,2026-04-22T17:01:01.490000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,1,-0.5410520434379578,-30.99999858592387,0.009706832468509674,7.2801243513822556,-3.7495410770297255,-6.240284631589787,4294967295,4294967295
2,58623,8270624,1776877261490,2026-04-22T17:01:01.490000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,2,-0.4712388813495636,-26.99999904379616,0.010760999284684658,8.070749463513494,-3.6640434622017417,-7.191090488229168,4294967295,4294967295
2,58623,8270624,1776877261490,2026-04-22T17:01:01.490000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,3,-0.4363323152065277,-25.00000012650595,0.011815166100859642,8.861374575644732,-3.7449787375245065,-8.031132773486702,4294967295,4294967295
2,58623,8270624,1776877261490,2026-04-22T17:01:01.490000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,4,-0.36651915311813354,-21.00000058437824,0.01392349973320961,10.442624799907207,-3.7423021368471674,-9.749030076278673,4294967295,4294967295
2,58623,8270624,1776877261490,2026-04-22T17:01:01.490000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,5,-0.296705961227417,-16.999999334703237,0.016415167599916458,12.311375699937344,-3.599497764164206,-11.773427176093824,4294967295,4294967295
15,58624,8270674,1776877261540,2026-04-22T17:01:01.540000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,0,-0.6457718014717102,-36.99999875288908,0.00826933328062296,6.201999960467219,-3.732456641986643,-4.953137482982396,4294967295,4294967295
15,58624,8270674,1776877261540,2026-04-22T17:01:01.540000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,1,-0.5410520434379578,-30.99999858592387,0.009706832468509674,7.2801243513822556,-3.7495410770297255,-6.240284631589787,4294967295,4294967295
15,58624,8270674,1776877261540,2026-04-22T17:01:01.540000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,2,-0.4363323152065277,-25.00000012650595,0.011815166100859642,8.861374575644732,-3.7449787375245065,-8.031132773486702,4294967295,4294967295
15,58624,8270674,1776877261540,2026-04-22T17:01:01.540000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,3,-0.36651915311813354,-21.00000058437824,0.01392349973320961,10.442624799907207,-3.7423021368471674,-9.749030076278673,4294967295,4294967295
28,58625,8270724,1776877261590,2026-04-22T17:01:01.590000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,0,-0.5410520434379578,-30.99999858592387,0.009706832468509674,7.2801243513822556,-3.7495410770297255,-6.240284631589787,4294967295,4294967295
28,58625,8270724,1776877261590,2026-04-22T17:01:01.590000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,1,-0.4363323152065277,-25.00000012650595,0.011815166100859642,8.861374575644732,-3.7449787375245065,-8.031132773486702,4294967295,4294967295
28,58625,8270724,1776877261590,2026-04-22T17:01:01.590000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,2,-0.296705961227417,-16.999999334703237,0.016702666878700256,12.527000159025192,-3.6625402524532915,-11.979629872553515,4294967295,4294967295
39,58626,8270774,1776877261640,2026-04-22T17:01:01.640000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,0,-0.5410520434379578,-30.99999858592387,0.009706832468509674,7.2801243513822556,-3.7495410770297255,-6.240284631589787,4294967295,4294967295
39,58626,8270774,1776877261640,2026-04-22T17:01:01.640000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,1,-0.4363323152065277,-25.00000012650595,0.011815166100859642,8.861374575644732,-3.7449787375245065,-8.031132773486702,4294967295,4294967295
39,58626,8270774,1776877261640,2026-04-22T17:01:01.640000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,2,-0.3490658402442932,-19.99999941818584,0.01392349973320961,10.442624799907207,-3.571587931115071,-9.812857502376675,4294967295,4294967295
39,58626,8270774,1776877261640,2026-04-22T17:01:01.640000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,3,-0.296705961227417,-16.999999334703237,0.016702666878700256,12.527000159025192,-3.6625402524532915,-11.979629872553515,4294967295,4294967295
52,58627,8270824,1776877261690,2026-04-22T17:01:01.690000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,0,-0.5410520434379578,-30.99999858592387,0.009706832468509674,7.2801243513822556,-3.7495410770297255,-6.240284631589787,4294967295,4294967295
52,58627,8270824,1776877261690,2026-04-22T17:01:01.690000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,1,-0.4712388813495636,-26.99999904379616,0.010760999284684658,8.070749463513494,-3.6640434622017417,-7.191090488229168,4294967295,4294967295
52,58627,8270824,1776877261690,2026-04-22T17:01:01.690000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,2,-0.41887903213500977,-24.000000667860846,0.012006833218038082,9.005124913528562,-3.662714373699056,-8.22659091756428,4294967295,4294967295
65,58628,8270874,1776877261740,2026-04-22T17:01:01.740000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,0,-0.5410520434379578,-30.99999858592387,0.009706832468509674,7.2801243513822556,-3.7495410770297255,-6.240284631589787,4294967295,4294967295
65,58628,8270874,1776877261740,2026-04-22T17:01:01.740000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,1,-0.4712388813495636,-26.99999904379616,0.010760999284684658,8.070749463513494,-3.6640434622017417,-7.191090488229168,4294967295,4294967295
65,58628,8270874,1776877261740,2026-04-22T17:01:01.740000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,2,-0.4363323152065277,-25.00000012650595,0.011815166100859642,8.861374575644732,-3.7449787375245065,-8.031132773486702,4294967295,4294967295
65,58628,8270874,1776877261740,2026-04-22T17:01:01.740000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,3,-0.3839724361896515,-22.000000043023345,0.012869332917034626,9.65199968777597,-3.615702729409131,-8.949178272074525,4294967295,4294967295
79,58629,8270924,1776877261790,2026-04-22T17:01:01.790000+00:00,240000,1500.0,0.02015266753733158,0.00014375000318977982,0,-0.5759586691856384,-33.000000918308665,0.009227666072547436,6.920749554410577,-3.7693104519221903,-5.8042288989929,4294967295,4294967295
