packet_index,time_boot_ms,lat_deg,lon_deg,alt_m,relative_alt_m,heading_deg,vx_mps,vy_mps,vz_mps
63,8208567,63.4404941,10.3490155,14.97,8.117,85.68,-0.06,-0.01,-0.06
143,8208907,63.4404939,10.3490153,14.99,8.137,85.83,-0.06,-0.02,0.02
227,8209227,63.4404938,10.3490152,15.04,8.189,85.4,-0.03,0.0,0.0
312,8209567,63.4404937,10.349015,15.02,8.163,85.16,-0.02,-0.01,0.0
393,8209907,63.4404936,10.3490149,15.0,8.14,85.26,-0.06,0.02,0.03
474,8210227,63.4404935,10.349015,15.1,8.245,85.35,-0.06,0.01,-0.11
561,8210567,63.4404933,10.349015,15.09,8.234,85.09,-0.07,0.04,0.05
638,8210907,63.4404931,10.3490154,15.0,8.146,85.04,-0.04,0.08,0.11
724,8211227,63.4404931,10.3490159,15.07,8.216,85.09,0.0,0.08,-0.04
810,8211567,63.4404931,10.3490164,15.12,8.269,85.09,-0.04,0.04,-0.05
887,8211907,63.4404929,10.3490164,15.06,8.209,85.45,-0.03,-0.04,-0.05
972,8212227,63.4404928,10.3490162,15.12,8.269,85.6,-0.05,-0.06,-0.07
1059,8212567,63.4404927,10.3490161,15.15,8.292,85.26,-0.04,-0.02,-0.01
1141,8212907,63.4404926,10.349016,15.12,8.264,85.07,-0.05,0.0,0.0
1222,8213227,63.4404925,10.3490161,15.2,8.347,84.83,-0.03,0.03,-0.03
1308,8213567,63.4404924,10.3490162,15.27,8.416,84.59,-0.07,0.06,-0.01
1384,8213887,63.4404921,10.3490167,15.19,8.337,84.7,-0.07,0.1,0.02
1471,8214227,63.4404919,10.3490172,15.23,8.37,84.42,-0.04,0.05,-0.09
1557,8214567,63.4404918,10.3490175,15.27,8.415,84.29,-0.01,0.04,0.03
1633,8214887,63.4404918,10.3490176,15.21,8.352,84.28,-0.02,-0.02,-0.03
1720,8215227,63.4404916,10.3490174,15.15,8.292,84.87,-0.05,-0.03,-0.07
1806,8215567,63.4404915,10.3490174,15.22,8.366,84.54,-0.04,0.0,-0.05
1882,8215887,63.4404914,10.3490175,15.28,8.421,84.21,-0.07,0.04,-0.03
1969,8216227,63.4404912,10.3490177,15.13,8.279,83.9,-0.03,0.04,0.0
2055,8216567,63.4404911,10.3490177,15.17,8.315,84.12,-0.04,0.0,-0.03
2131,8216887,63.4404909,10.3490176,15.26,8.406,84.2,-0.08,0.02,0.04
2217,8217227,63.4404907,10.349018,15.2,8.345,84.41,-0.06,0.07,0.0
2304,8217567,63.4404905,10.3490183,15.22,8.361,84.45,-0.05,0.05,-0.06
2380,8217887,63.4404903,10.3490186,15.28,8.421,84.16,-0.04,0.05,0.02
2467,8218227,63.4404903,10.3490188,15.27,8.411,84.16,0.0,0.03,-0.06
2553,8218567,63.4404902,10.3490189,15.23,8.379,84.43,-0.04,-0.02,-0.03
2629,8218887,63.44049,10.3490188,15.25,8.394,84.45,-0.06,0.0,-0.06
2715,8219227,63.4404898,10.3490187,15.31,8.456,84.48,-0.1,-0.04,-0.12
2802,8219567,63.4404895,10.3490184,15.3,8.449,85.11,-0.1,-0.01,0.05
2878,8219887,63.4404891,10.3490181,15.39,8.535,89.28,-0.1,-0.02,0.06
2964,8220227,63.4404889,10.3490178,15.39,8.531,98.54,-0.1,-0.07,-0.01
3042,8220547,63.4404886,10.3490173,15.31,8.451,109.94,-0.09,-0.09,-0.01
3079,8220687,63.4404885,10.349017,15.33,8.478,115.34,-0.08,-0.09,-0.06
3087,8220707,63.4404885,10.349017,15.34,8.484,116.12,-0.08,-0.09,-0.06
3097,8220747,63.4404885,10.3490169,15.35,8.499,117.68,-0.07,-0.08,-0.07
3111,8220787,63.4404885,10.3490168,15.37,8.517,119.23,-0.07,-0.08,-0.09
3114,8220807,63.4404885,10.3490168,15.38,8.525,120.0,-0.07,-0.07,-0.09
3128,8220847,63.4404885,10.3490167,15.4,8.543,121.53,-0.06,-0.07,-0.09
3141,8220887,63.4404884,10.3490167,15.42,8.561,123.05,-0.05,-0.07,-0.1
3146,8220907,63.4404884,10.3490167,15.42,8.569,123.81,-0.05,-0.07,-0.1
3160,8220947,63.4404884,10.3490166,15.44,8.583,125.35,-0.04,-0.07,-0.09
3173,8220987,63.4404884,10.3490165,15.45,8.596,126.85,-0.03,-0.07,-0.09
3177,8221007,63.4404884,10.3490165,15.46,8.602,127.59,-0.02,-0.07,-0.09
3191,8221047,63.4404884,10.3490165,15.47,8.61,129.06,-0.02,-0.07,-0.09
3204,8221087,63.4404884,10.3490164,15.47,8.616,130.52,-0.01,-0.08,-0.08
3208,8221107,63.4404884,10.3490164,15.47,8.618,131.24,0.0,-0.08,-0.08
3222,8221147,63.4404884,10.3490163,15.47,8.619,132.66,0.0,-0.09,-0.07
3235,8221187,63.4404884,10.3490162,15.47,8.619,134.07,0.0,-0.09,-0.06
3241,8221207,63.4404884,10.3490162,15.47,8.618,134.77,0.0,-0.1,-0.06
3254,8221247,63.4404884,10.3490161,15.47,8.616,136.21,0.0,-0.11,-0.05
3266,8221267,63.4404884,10.3490161,15.47,8.614,136.91,0.0,-0.11,-0.05
3271,8221307,63.4404884,10.349016,15.47,8.61,138.32,0.0,-0.12,-0.04
3285,8221347,63.4404885,10.3490159,15.46,8.605,139.72,0.01,-0.12,-0.03
3297,8221367,63.4404885,10.3490158,15.46,8.603,140.41,0.01,-0.12,-0.03
3304,8221407,63.4404885,10.3490158,15.45,8.598,141.78,0.01,-0.12,-0.03
3318,8221447,63.4404885,10.3490157,15.45,8.593,143.11,0.01,-0.11,-0.02
3330,8221468,63.4404885,10.3490156,15.45,8.591,143.77,0.01,-0.11,-0.02
3339,8221507,63.4404885,10.3490155,15.44,8.588,145.08,0.01,-0.1,-0.02
3349,8221547,63.4404885,10.3490154,15.44,8.586,146.32,0.01,-0.09,-0.02
3362,8221567,63.4404885,10.3490154,15.44,8.586,146.92,0.01,-0.08,-0.02
3370,8221607,63.4404885,10.3490153,15.44,8.586,148.1,0.01,-0.08,-0.02
3382,8221647,63.4404885,10.3490153,15.44,8.589,149.24,0.01,-0.06,-0.02
3394,8221667,63.4404885,10.3490153,15.45,8.592,149.8,0.01,-0.06,-0.02
3399,8221707,63.4404885,10.3490152,15.45,8.597,150.9,0.01,-0.05,-0.02
3413,8221747,63.4404885,10.3490152,15.46,8.606,151.97,0.01,-0.03,-0.03
3425,8221767,63.4404885,10.3490152,15.47,8.613,152.49,0.01,-0.03,-0.04
3430,8221807,63.4404885,10.3490151,15.48,8.625,153.54,0.01,-0.01,-0.05
3444,8221847,63.4404885,10.3490151,15.49,8.639,154.53,0.01,-0.01,-0.06
3456,8221867,63.4404885,10.3490151,15.5,8.648,155.01,0.0,-0.01,-0.07
3462,8221907,63.4404885,10.3490151,15.52,8.664,155.95,0.0,0.0,-0.08
3475,8221927,63.4404885,10.3490151,15.53,8.672,156.39,0.0,0.0,-0.08
3488,8221967,63.4404885,10.3490151,15.55,8.691,157.2,0.0,0.0,-0.08
