packet_index,pwr_up_msec,utc_msec,utc_iso,up_vec_x,up_vec_y,up_vec_z,pitch_rad,roll_rad,pitch_deg,roll_deg
11,8585894,1776877576754,2026-04-22T17:06:16.754000+00:00,0.03145142272114754,0.9994633197784424,-0.009161321446299553,0.03145661027989518,1.579962310878514,1.802331006825833,90.52517220307536
22,8585944,1776877576804,2026-04-22T17:06:16.804000+00:00,0.028053345158696175,0.9996064305305481,-0.000184059317689389,0.02805702608026139,1.5709804585791545,1.607549180087457,90.0105499741122
38,8585994,1776877576854,2026-04-22T17:06:16.854000+00:00,0.025138115510344505,0.9996546506881714,0.0076579018495976925,0.025140763830157682,1.5631359292257325,1.4404596612031897,89.56109154989463
49,8586044,1776877576904,2026-04-22T17:06:16.904000+00:00,0.019375627860426903,0.9997318983078003,0.012678088620305061,0.019376840382021015,1.5581155179934343,1.110211174188466,89.27344317486386
62,8586094,1776877576954,2026-04-22T17:06:16.954000+00:00,0.013169202022254467,0.9997000098228455,0.020651068538427353,0.01316958270310003,1.5501419988351295,0.754561506836122,88.8165941792263
73,8586144,1776877577004,2026-04-22T17:06:17.004000+00:00,0.0077264499850571156,0.9996145963668823,0.026661472395062447,0.007726526862762076,1.5441308969160665,0.4426973795307236,88.472183409041
86,8586194,1776877577054,2026-04-22T17:06:17.054000+00:00,0.00011162499868078157,0.9994942545890808,0.03179965168237686,0.0001116249989125921,1.538991313002826,0.006395641325843931,88.177706942359
97,8586244,1776877577104,2026-04-22T17:06:17.104000+00:00,-0.00636438699439168,0.9992905855178833,0.03711995482444763,-0.006364429960538147,1.533667091131702,-0.3646549757454489,87.87265149995234
110,8586294,1776877577154,2026-04-22T17:06:17.154000+00:00,-0.010581509210169315,0.9991417527198792,0.04004651680588722,-0.010581706685784594,1.530736853048705,-0.6062871331408232,87.7047612248281
123,8586344,1776877577204,2026-04-22T17:06:17.204000+00:00,-0.014673829078674316,0.9990193843841553,0.04177303612232208,-0.01467435572759929,1.5290066310557104,-0.8407786502650656,87.60562680700879
136,8586394,1776877577254,2026-04-22T17:06:17.254000+00:00,-0.015571044757962227,0.9991678595542908,0.037699248641729355,-0.015571674045885307,1.5330835701486634,-0.8921912027826311,87.8392182103669
147,8586444,1776877577304,2026-04-22T17:06:17.304000+00:00,-0.012920660898089409,0.9993252754211426,0.0343821756541729,-0.01292102042844445,1.5364045029185782,-0.7403199375521857,88.02949364212971
160,8586494,1776877577354,2026-04-22T17:06:17.354000+00:00,-0.009306114166975021,0.999437689781189,0.03221334517002106,-0.009306248496291148,1.5385760119981822,-0.5332087619374516,88.15391194756535
171,8586544,1776877577404,2026-04-22T17:06:17.404000+00:00,-0.0021018164698034525,0.9995678663253784,0.0293206088244915,-0.0021018180173153103,1.5414714509222622,-0.12042530169672186,88.31980837775303
184,8586594,1776877577454,2026-04-22T17:06:17.454000+00:00,0.005501507315784693,0.9996374249458313,0.02635674737393856,0.005501535068133747,1.5444361269039117,0.3152147402472815,88.48967179912536
197,8586644,1776877577504,2026-04-22T17:06:17.504000+00:00,0.013772532343864441,0.9996315836906433,0.02338891662657261,0.013772967782765494,1.5474030583516551,0.789132925322118,88.6596644491857
210,8586694,1776877577554,2026-04-22T17:06:17.554000+00:00,0.0220111683011055,0.9995384812355042,0.020935654640197754,0.022012946059489582,1.5498540676393253,1.2612489038578893,88.80009693691656
221,8586744,1776877577604,2026-04-22T17:06:17.604000+00:00,0.02852819114923477,0.9994091391563416,0.019169913604855537,0.028532062215085214,1.5516174316127298,1.6347667457290695,88.90113025033806
