packet_index,ping_number,pwr_up_msec,utc_msec,utc_iso,ping_hz,sos_mps,listening_sec,pulse_sec,point_index,angle_rad,angle_deg,tof_s,range_m,y_m,z_m,reserved0,reserved1
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,0,-0.6108652353286743,-34.99999983559887,0.0033558702562004328,2.5169026921503246,-1.4436360708901423,-2.0617259896936897,4294967295,4294967295
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,1,-0.5061454772949219,-28.99999966863366,0.003955870401114225,2.966902800835669,-1.438383005173435,-2.594911667096739,4294967295,4294967295
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,2,-0.40142571926116943,-22.999999501668448,0.004705870058387518,3.5294025437906384,-1.379047410571426,-3.2488321833409732,4294967295,4294967295
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,3,-0.2617993950843811,-15.000000417413029,0.006168370135128498,4.626277601346374,-1.1973687837147335,-4.468641005999996,4294967295,4294967295
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,4,0.27925267815589905,15.999999876058132,0.006805870216339827,5.10440266225487,1.4069640422351128,-4.906666762914722,4294967295,4294967295
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,5,0.3141592741012573,18.000000500895634,0.006730870343744755,5.048152757808566,1.5599650343359688,-4.801078561929539,4294967295,4294967295
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,6,0.4712388813495636,26.99999904379616,0.004555870313197374,3.4169027348980308,1.5512413293686984,-3.044482655199743,4294967295,4294967295
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,7,0.5235987901687622,30.000000834826057,0.004443370271474123,3.3325277036055923,1.666263893853935,-2.886053625859624,4294967295,4294967295
8,60580,8585795,1776877576655,2026-04-22T17:06:16.655000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,8,0.593411922454834,33.99999866940647,0.004030870273709297,3.023152705281973,1.6905254806975007,-2.5063072195096505,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,0,-0.6283185482025146,-36.00000100179127,0.0033558702562004328,2.5169026921503246,-1.479398319503534,-2.0362170252710468,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,1,-0.5061454772949219,-28.99999966863366,0.003955870401114225,2.966902800835669,-1.438383005173435,-2.594911667096739,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,2,-0.40142571926116943,-22.999999501668448,0.004593370016664267,3.4450275124982,-1.34607946005373,-3.1711645572393423,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,3,-0.27925267815589905,-15.999999876058132,0.006168370135128498,4.626277601346374,-1.2751749156906642,-4.447063455710123,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,4,0.19198621809482574,11.000000021511672,0.006730870343744755,5.048152757808566,0.9632329580852905,-4.955403972899535,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,5,0.36651915311813354,21.00000058437824,0.005305870436131954,3.9794028270989656,1.4260904694536616,-3.7150925739820635,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,6,0.41887903213500977,24.000000667860846,0.004818370100110769,3.613777575083077,1.4698557981936564,-3.3013500715146544,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,7,0.4712388813495636,26.99999904379616,0.004555870313197374,3.4169027348980308,1.5512413293686984,-3.044482655199743,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,8,0.5061454772949219,28.99999966863366,0.004443370271474123,3.3325277036055923,1.615641473588483,-2.914694413505402,4294967295,4294967295
21,60581,8585845,1776877576705,2026-04-22T17:06:16.705000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,9,0.5759586691856384,33.000000918308665,0.00421837018802762,3.1637776410207152,1.7231168439345093,-2.6533671634306053,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,0,-0.6283185482025146,-36.00000100179127,0.0033558702562004328,2.5169026921503246,-1.479398319503534,-2.0362170252710468,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,1,-0.5410520434379578,-30.99999858592387,0.0037683704867959023,2.8262778650969267,-1.4556406510101352,-2.4225930045848876,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,2,-0.4363323152065277,-25.00000012650595,0.004330870229750872,3.2481526723131537,-1.3727286427411998,-2.9438260573704054,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,3,-0.40142571926116943,-22.999999501668448,0.004630870185792446,3.4731526393443346,-1.357068822380051,-3.197053873100755,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,4,-0.33161255717277527,-18.999999959540737,0.005268370267003775,3.951277700252831,-1.2864101859808614,-3.7360064638487964,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,5,0.33161255717277527,18.999999959540737,0.006355870049446821,4.766902537085116,1.5519516582931954,-4.507194897981395,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,6,0.36651915311813354,21.00000058437824,0.005418370012193918,4.063777509145439,1.4563276520555992,-3.793863125324177,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,7,0.4712388813495636,26.99999904379616,0.004443370271474123,3.3325277036055923,1.5129358680013545,-2.969303951200306,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,8,0.5585053563117981,31.999999752116263,0.004293370060622692,3.220027545467019,1.7063546158903042,-2.7307382368869058,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,9,0.593411922454834,33.99999866940647,0.0042558703571558,3.19190276786685,1.784889314906274,-2.646207363954962,4294967295,4294967295
34,60582,8585895,1776877576755,2026-04-22T17:06:16.755000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,10,0.6632251143455505,37.999999919081475,0.00421837018802762,3.1637776410207152,1.9478160065521655,-2.493090805895721,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,0,-0.6632251143455505,-37.999999919081475,0.003318370319902897,2.4887777399271727,-1.5322445723514513,-1.9611836245636265,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,1,-0.593411922454834,-33.99999866940647,0.0035808703396469355,2.6856527547352016,-1.5017979099278835,-2.226507075388043,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,2,-0.5235987901687622,-30.000000834826057,0.003955870401114225,2.966902800835669,-1.4834514378553751,-2.5694131744683175,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,3,-0.4363323152065277,-25.00000012650595,0.004368370398879051,3.2762777991592884,-1.3846148350164305,-2.9693160788162065,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,4,-0.3490658402442932,-19.99999941818584,0.005118370056152344,3.838777542114258,-1.3129392085189817,-3.6072709424957714,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,5,-0.2617993950843811,-15.000000417413029,0.006168370135128498,4.626277601346374,-1.1973687837147335,-4.468641005999996,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,6,0.3839724361896515,22.000000043023345,0.005305870436131954,3.9794028270989656,1.4907105396597384,-3.689638050984217,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,7,0.4712388813495636,26.99999904379616,0.004780870396643877,3.5856527974829078,1.6278522521033858,-3.1948400631986162,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,8,0.5585053563117981,31.999999752116263,0.004518370144069195,3.388777608051896,1.795778524275448,-2.8738464065751708,4294967295,4294967295
48,60583,8585945,1776877576805,2026-04-22T17:06:16.805000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,9,0.6632251143455505,37.999999919081475,0.004030870273709297,3.023152705281973,1.8612386513041774,-2.382276844186065,4294967295,4294967295
59,60584,8585995,1776877576855,2026-04-22T17:06:16.855000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,0,-0.6632251143455505,-37.999999919081475,0.003243370447307825,2.432527835480869,-1.4976136732557133,-1.9168580949216794,4294967295,4294967295
59,60584,8585995,1776877576855,2026-04-22T17:06:16.855000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,1,-0.5235987901687622,-30.000000834826057,0.0037683704867959023,2.8262778650969267,-1.4131389682115434,-2.447628408737498,4294967295,4294967295
59,60584,8585995,1776877576855,2026-04-22T17:06:16.855000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,2,-0.40142571926116943,-22.999999501668448,0.0044058701023459435,3.3044025767594576,-1.291132921344659,-3.0417186208974933,4294967295,4294967295
59,60584,8585995,1776877576855,2026-04-22T17:06:16.855000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,3,-0.33161255717277527,-18.999999959540737,0.005193370394408703,3.895027795806527,-1.2680970084394436,-3.682821134306198,4294967295,4294967295
59,60584,8585995,1776877576855,2026-04-22T17:06:16.855000+00:00,240000,1500.0,0.007855869829654694,9.999999747378752e-05,4,-0.24434609711170197,-14.000000104994276,0.006205870304256678,4.654402728192508,-1.1260019391644174,-4.516147073469136,4294967295,4294967295
