packet_index,time_boot_ms,lat_deg,lon_deg,alt_m,relative_alt_m,heading_deg,vx_mps,vy_mps,vz_mps
32,8523587,63.440509,10.3487768,16.28,9.421,206.57,-0.03,0.04,0.07
111,8523927,63.4405089,10.348777,16.34,9.481,207.08,-0.02,0.01,-0.07
194,8524247,63.4405089,10.3487772,16.33,9.478,207.13,-0.03,0.03,-0.07
281,8524587,63.4405088,10.3487774,16.3,9.441,207.3,-0.03,0.0,-0.02
369,8524927,63.4405086,10.3487774,16.25,9.399,207.15,-0.06,0.0,0.0
444,8525247,63.4405085,10.3487775,16.28,9.425,207.49,-0.05,0.0,-0.05
530,8525587,63.4405083,10.3487776,16.28,9.425,207.59,-0.06,-0.03,-0.04
616,8525927,63.4405082,10.3487773,16.22,9.365,207.67,-0.05,-0.06,0.0
692,8526247,63.440508,10.3487769,16.28,9.42,207.61,-0.04,-0.08,-0.02
779,8526587,63.4405079,10.3487767,16.26,9.407,208.09,-0.01,0.0,0.08
855,8526907,63.4405079,10.3487769,16.21,9.354,208.26,0.0,0.02,0.11
942,8527247,63.4405079,10.348777,16.23,9.375,208.57,-0.02,0.06,-0.04
1028,8527587,63.4405079,10.3487776,16.23,9.375,208.76,-0.03,0.07,-0.01
1104,8527907,63.4405078,10.348778,16.23,9.371,208.75,-0.04,0.04,0.01
1191,8528247,63.4405077,10.3487782,16.16,9.302,208.4,-0.08,0.01,-0.05
1277,8528587,63.4405075,10.3487783,16.16,9.304,208.2,-0.07,0.0,-0.05
1353,8528907,63.4405074,10.3487784,16.22,9.365,208.33,-0.04,-0.04,-0.03
1439,8529247,63.4405072,10.3487782,16.17,9.311,208.18,-0.05,-0.06,0.0
1526,8529587,63.4405071,10.3487778,16.2,9.345,208.09,-0.03,-0.06,-0.01
1602,8529907,63.4405069,10.3487774,16.27,9.417,208.0,-0.05,-0.04,0.02
1688,8530247,63.4405068,10.3487773,16.21,9.359,208.58,-0.03,0.0,0.07
1775,8530587,63.4405067,10.3487773,16.19,9.332,208.34,-0.05,0.04,0.0
1851,8530907,63.4405065,10.3487776,16.26,9.4,208.23,-0.05,0.04,0.0
1937,8531247,63.4405064,10.3487779,16.21,9.351,207.8,-0.05,0.05,0.01
2024,8531587,63.4405063,10.3487783,16.13,9.274,207.96,-0.02,0.07,0.0
2101,8531907,63.4405063,10.3487787,16.17,9.319,207.4,-0.04,0.05,-0.04
2187,8532247,63.4405062,10.3487787,16.21,9.353,207.03,-0.04,-0.03,-0.12
2274,8532587,63.440506,10.3487784,16.14,9.282,206.53,-0.08,-0.07,-0.04
2350,8532907,63.4405057,10.3487778,16.22,9.362,206.24,-0.06,-0.09,-0.03
2436,8533247,63.4405055,10.3487775,16.25,9.395,206.18,-0.05,-0.02,0.07
2514,8533567,63.4405053,10.3487773,16.15,9.294,206.3,-0.04,0.02,0.11
2599,8533907,63.4405052,10.3487773,16.19,9.33,205.99,-0.06,0.0,-0.02
2685,8534247,63.440505,10.3487773,16.26,9.404,205.41,-0.03,0.0,-0.03
2763,8534567,63.440505,10.3487774,16.26,9.405,205.4,-0.01,0.01,-0.02
2848,8534907,63.440505,10.3487775,16.2,9.342,205.08,-0.03,0.0,0.02
2934,8535247,63.4405049,10.3487775,16.23,9.377,204.56,-0.07,0.0,-0.06
3012,8535567,63.4405048,10.3487776,16.28,9.428,204.1,-0.07,-0.01,-0.04
3097,8535907,63.4405046,10.3487775,16.25,9.398,203.95,-0.07,-0.03,-0.03
3183,8536247,63.4405044,10.3487775,16.28,9.424,203.58,-0.07,0.0,-0.03
3261,8536567,63.4405042,10.3487775,16.35,9.495,203.21,-0.04,-0.02,0.01
3346,8536907,63.4405042,10.3487776,16.32,9.464,203.04,-0.02,0.02,0.0
3433,8537247,63.4405041,10.3487776,16.37,9.51,202.74,-0.01,-0.01,-0.08
3510,8537567,63.4405042,10.3487776,16.39,9.536,202.22,-0.01,-0.04,-0.05
3595,8537907,63.4405041,10.3487773,16.41,9.553,201.68,-0.03,-0.03,-0.04
3682,8538247,63.4405041,10.3487772,16.46,9.601,201.7,-0.03,-0.01,0.0
3759,8538567,63.4405039,10.3487771,16.38,9.528,201.37,-0.08,0.02,0.05
3845,8538907,63.4405037,10.3487773,16.41,9.551,201.05,-0.09,0.02,-0.04
3931,8539247,63.4405035,10.3487775,16.44,9.582,200.49,-0.06,-0.01,-0.1
4009,8539567,63.4405034,10.3487776,16.46,9.602,200.52,-0.04,-0.03,-0.1
4094,8539907,63.4405033,10.3487774,16.45,9.592,199.86,-0.03,-0.05,-0.01
4181,8540227,63.4405032,10.3487772,16.42,9.565,199.69,-0.02,-0.03,0.0
4258,8540567,63.4405031,10.348777,16.45,9.597,199.5,-0.03,0.0,-0.03
4343,8540907,63.440503,10.348777,16.49,9.634,199.56,-0.02,0.0,-0.05
4427,8541227,63.4405029,10.348777,16.48,9.62,199.18,-0.05,0.01,-0.02
4507,8541567,63.4405027,10.3487771,16.46,9.601,198.92,-0.11,0.0,-0.01
4592,8541907,63.4405023,10.3487772,16.49,9.632,198.17,-0.17,-0.01,-0.02
4678,8542227,63.4405019,10.3487774,16.49,9.631,198.1,-0.13,-0.02,-0.05
4758,8542567,63.4405016,10.3487777,16.47,9.611,198.21,-0.08,0.0,-0.01
4843,8542907,63.4405013,10.3487777,16.55,9.694,197.53,-0.08,-0.03,-0.1
4927,8543227,63.4405009,10.3487777,16.52,9.666,193.86,-0.15,0.0,-0.06
5007,8543567,63.4405003,10.348778,16.42,9.562,187.93,-0.18,0.04,0.01
5092,8543907,63.4404998,10.3487785,16.44,9.589,181.68,-0.17,0.1,0.0
5178,8544227,63.4404994,10.3487793,16.44,9.589,175.58,-0.18,0.16,0.01
5256,8544567,63.4404989,10.3487804,16.4,9.547,169.18,-0.18,0.17,0.0
5341,8544907,63.4404984,10.3487818,16.41,9.559,162.35,-0.2,0.2,-0.03
5418,8545227,63.440498,10.348783,16.47,9.617,156.53,-0.19,0.13,-0.09
5505,8545567,63.4404976,10.348784,16.47,9.618,150.78,-0.11,0.11,-0.06
5590,8545907,63.4404974,10.3487846,16.5,9.641,145.53,-0.04,0.03,-0.03
5677,8546227,63.4404974,10.3487849,16.54,9.681,141.42,0.01,0.05,0.0
5754,8546567,63.4404973,10.3487852,16.58,9.72,139.02,0.0,0.03,0.02
5838,8546887,63.4404973,10.3487854,16.61,9.75,138.42,-0.01,0.06,0.0
5922,8547227,63.4404971,10.3487859,16.63,9.774,139.06,-0.13,0.13,-0.05
6003,8547567,63.4404966,10.3487871,16.63,9.776,140.13,-0.28,0.25,-0.02
6087,8547887,63.4404957,10.3487892,16.68,9.82,140.41,-0.39,0.33,-0.1
6174,8548227,63.4404946,10.3487919,16.72,9.862,140.45,-0.46,0.35,-0.12
6252,8548567,63.4404935,10.3487951,16.71,9.854,140.4,-0.48,0.37,-0.04
6337,8548887,63.4404924,10.3487984,16.74,9.884,140.3,-0.44,0.38,-0.07
6419,8549227,63.4404913,10.3488022,16.77,9.915,141.3,-0.43,0.42,-0.01
6502,8549567,63.4404902,10.3488061,16.7,9.841,142.96,-0.43,0.46,0.03
6586,8549887,63.4404892,10.34881,16.77,9.917,145.16,-0.42,0.48,-0.05
6667,8550227,63.440488,10.3488143,16.76,9.904,147.81,-0.48,0.51,0.02
6751,8550567,63.4404867,10.3488186,16.73,9.87,150.31,-0.48,0.47,-0.11
6788,8550707,63.4404861,10.3488202,16.72,9.863,151.46,-0.47,0.47,-0.13
6801,8550747,63.440486,10.3488207,16.71,9.858,151.79,-0.47,0.48,-0.12
6815,8550787,63.4404858,10.3488212,16.71,9.853,152.14,-0.48,0.48,-0.11
6829,8550807,63.4404857,10.3488214,16.71,9.85,152.31,-0.47,0.48,-0.1
6844,8550847,63.4404855,10.3488219,16.7,9.845,152.64,-0.48,0.47,-0.09
6847,8550887,63.4404854,10.3488224,16.69,9.838,152.96,-0.48,0.47,-0.08
6862,8550907,63.4404853,10.3488226,16.69,9.835,153.12,-0.48,0.46,-0.07
6865,8550947,63.4404851,10.3488231,16.68,9.829,153.44,-0.48,0.45,-0.06
6878,8550987,63.440485,10.3488236,16.68,9.826,153.74,-0.48,0.44,-0.06
6882,8551007,63.4404849,10.3488238,16.68,9.824,153.89,-0.48,0.44,-0.06
6895,8551047,63.4404847,10.3488242,16.68,9.823,154.17,-0.48,0.42,-0.05
6909,8551087,63.4404845,10.3488247,16.68,9.824,154.45,-0.48,0.41,-0.05
6913,8551107,63.4404844,10.3488249,16.68,9.824,154.58,-0.48,0.41,-0.05
6927,8551147,63.4404843,10.3488253,16.68,9.827,154.84,-0.49,0.4,-0.06
6940,8551187,63.4404841,10.3488257,16.69,9.83,155.09,-0.49,0.39,-0.06
6944,8551207,63.440484,10.3488259,16.69,9.832,155.22,-0.5,0.38,-0.07
6959,8551247,63.4404838,10.3488263,16.69,9.835,155.47,-0.5,0.38,-0.07
6972,8551287,63.4404836,10.3488267,16.69,9.836,155.72,-0.51,0.38,-0.07
6976,8551307,63.4404835,10.3488269,16.69,9.837,155.84,-0.51,0.38,-0.07
6989,8551347,63.4404833,10.3488273,16.69,9.836,156.07,-0.51,0.38,-0.07
6996,8551367,63.4404832,10.3488275,16.69,9.834,156.19,-0.52,0.38,-0.07
7009,8551407,63.440483,10.3488279,16.69,9.831,156.41,-0.52,0.37,-0.07
7022,8551447,63.4404828,10.3488283,16.68,9.825,156.61,-0.52,0.37,-0.07
7027,8551467,63.4404828,10.3488285,16.68,9.82,156.7,-0.51,0.37,-0.07
7040,8551507,63.4404826,10.3488289,16.67,9.813,156.87,-0.51,0.37,-0.07
7054,8551547,63.4404824,10.3488293,16.66,9.805,157.03,-0.51,0.37,-0.06
7059,8551567,63.4404823,10.3488295,16.66,9.8,157.11,-0.51,0.37,-0.06
7073,8551607,63.4404821,10.3488298,16.65,9.792,157.26,-0.51,0.37,-0.05
7086,8551647,63.4404819,10.3488302,16.64,9.787,157.41,-0.51,0.37,-0.04
7091,8551667,63.4404818,10.3488304,16.64,9.785,157.48,-0.51,0.37,-0.04
7104,8551707,63.4404816,10.3488308,16.64,9.782,157.62,-0.51,0.37,-0.03
7117,8551747,63.4404813,10.3488312,16.64,9.781,157.76,-0.51,0.37,-0.02
7122,8551767,63.4404812,10.3488313,16.64,9.782,157.83,-0.51,0.37,-0.02
7135,8551807,63.440481,10.3488317,16.64,9.784,157.96,-0.52,0.38,-0.02
7148,8551847,63.4404808,10.3488321,16.64,9.789,158.09,-0.52,0.38,-0.03
7153,8551867,63.4404807,10.3488322,16.65,9.792,158.15,-0.52,0.38,-0.03
