latitude,longitude,altitude (m),northing (local m),easting (local m),ping number,elapsed (s),datetime,altitude (m above MSL),northing (UTM m),easting (UTM m),coordinate projection
63.44053709,10.34856748,-1.274,-2.017,3.964,60581,0.050,2026-04-22T17:06:16.785Z,"",7035382.306,567273.268,UTM zone 32N
63.44054219,10.34854458,-1.345,-1.450,2.821,60581,0.050,2026-04-22T17:06:16.785Z,"",7035382.849,567272.114,UTM zone 32N
63.44054448,10.34853423,-1.437,-1.195,2.304,60581,0.050,2026-04-22T17:06:16.785Z,"",7035383.093,567271.592,UTM zone 32N
63.44054670,10.34852420,-1.478,-0.946,1.804,60581,0.050,2026-04-22T17:06:16.785Z,"",7035383.331,567271.087,UTM zone 32N
63.44049377,10.34884328,-1.315,-6.847,17.728,60582,0.100,2026-04-22T17:06:16.835Z,14.965,7035377.769,567287.127,UTM zone 32N
63.44049592,10.34883360,-1.381,-6.607,17.245,60582,0.100,2026-04-22T17:06:16.835Z,14.899,7035377.999,567286.639,UTM zone 32N
63.44049694,10.34882906,-1.395,-6.494,17.019,60582,0.100,2026-04-22T17:06:16.835Z,14.885,7035378.107,567286.410,UTM zone 32N
63.44049902,10.34881969,-1.474,-6.262,16.551,60582,0.100,2026-04-22T17:06:16.835Z,14.806,7035378.329,567285.938,UTM zone 32N
63.44050056,10.34881276,-1.494,-6.090,16.205,60582,0.100,2026-04-22T17:06:16.835Z,14.786,7035378.494,567285.588,UTM zone 32N
63.44049091,10.34885643,-1.254,-7.166,18.385,60583,0.150,2026-04-22T17:06:16.885Z,15.026,7035377.464,567287.789,UTM zone 32N
63.44049435,10.34884095,-1.358,-6.782,17.612,60583,0.150,2026-04-22T17:06:16.885Z,14.922,7035377.832,567287.009,UTM zone 32N
63.44049691,10.34882950,-1.422,-6.497,17.040,60583,0.150,2026-04-22T17:06:16.885Z,14.858,7035378.104,567286.432,UTM zone 32N
63.44049850,10.34882229,-1.516,-6.319,16.681,60583,0.150,2026-04-22T17:06:16.885Z,14.764,7035378.274,567286.069,UTM zone 32N
63.44049988,10.34881614,-1.530,-6.166,16.374,60583,0.150,2026-04-22T17:06:16.885Z,14.750,7035378.421,567285.759,UTM zone 32N
63.44050094,10.34881138,-1.557,-6.047,16.136,60583,0.150,2026-04-22T17:06:16.885Z,14.723,7035378.535,567285.518,UTM zone 32N
63.44049071,10.34885714,-1.219,-7.188,18.420,60584,0.200,2026-04-22T17:06:16.935Z,15.061,7035377.443,567287.825,UTM zone 32N
63.44049407,10.34884216,-1.344,-6.813,17.672,60584,0.200,2026-04-22T17:06:16.935Z,14.936,7035377.801,567287.070,UTM zone 32N
63.44049666,10.34883068,-1.354,-6.525,17.099,60584,0.200,2026-04-22T17:06:16.935Z,14.926,7035378.078,567286.491,UTM zone 32N
63.44049905,10.34881999,-1.463,-6.258,16.566,60584,0.200,2026-04-22T17:06:16.935Z,14.817,7035378.333,567285.953,UTM zone 32N
63.44050119,10.34881046,-1.537,-6.019,16.090,60584,0.200,2026-04-22T17:06:16.935Z,14.743,7035378.562,567285.472,UTM zone 32N
63.44048915,10.34886440,-0.998,-7.362,18.782,60585,0.250,2026-04-22T17:06:16.985Z,15.282,7035377.277,567288.191,UTM zone 32N
63.44049089,10.34885662,-1.238,-7.168,18.394,60585,0.250,2026-04-22T17:06:16.985Z,15.042,7035377.462,567287.799,UTM zone 32N
63.44049226,10.34885051,-1.300,-7.015,18.089,60585,0.250,2026-04-22T17:06:16.985Z,14.980,7035377.608,567287.491,UTM zone 32N
63.44049560,10.34883565,-1.363,-6.642,17.347,60585,0.250,2026-04-22T17:06:16.985Z,14.917,7035377.965,567286.742,UTM zone 32N
63.44049693,10.34882974,-1.476,-6.495,17.053,60585,0.250,2026-04-22T17:06:16.985Z,14.804,7035378.107,567286.444,UTM zone 32N
63.44049874,10.34882170,-1.478,-6.293,16.651,60585,0.250,2026-04-22T17:06:16.985Z,14.802,7035378.300,567286.039,UTM zone 32N
63.44050098,10.34881175,-1.499,-6.043,16.155,60585,0.250,2026-04-22T17:06:16.985Z,14.781,7035378.539,567285.537,UTM zone 32N
63.44048884,10.34886541,-1.127,-7.397,18.833,60586,0.300,2026-04-22T17:06:17.035Z,15.153,7035377.243,567288.242,UTM zone 32N
