beam_id,theta_rad,theta_deg,range_m,x_m,z_m
0.000000000000000000e+00,-5.934119820594787598e-01,-3.400000208450105532e+01,4.236398220062255859e+00,3.512133210550673290e+00,-2.368963948711265033e+00
1.000000000000000000e+00,-5.148722305893898010e-01,-2.950000580125855620e+01,4.083708763122558594e+00,3.554278978936162847e+00,-2.010914767437070427e+00
2.000000000000000000e+00,-4.363324791193008423e-01,-2.500000951801605709e+01,3.985596179962158203e+00,3.612176574071812141e+00,-1.684386329633370094e+00
3.000000000000000000e+00,-3.577927276492118835e-01,-2.050001323477355797e+01,3.825922250747680664e+00,3.583634661005693278e+00,-1.339867040121820230e+00
4.000000000000000000e+00,-2.792529761791229248e-01,-1.600001695153105885e+01,3.824610710144042969e+00,3.676451465639464011e+00,-1.054206670888567121e+00
