packet_index,time_boot_ms,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,rollspeed_radps,pitchspeed_radps,yawspeed_radps
10,5482887,-0.05679373815655708,0.004817159380763769,2.6565589904785156,-3.254041499141825,0.2760029017596171,152.2096181819536,0.027658062055706978,0.03859284892678261,-0.0005868962034583092
15,5482927,-0.054909318685531616,0.006869744975119829,2.657377243041992,-3.1460722166197908,0.39360739340557094,152.25650060041656,0.039525508880615234,0.04784845560789108,0.001093040220439434
28,5482967,-0.05281231924891472,0.008938122540712357,2.658398389816284,-3.025922999260331,0.5121166983535663,152.3150080008469,0.0478348508477211,0.05193553864955902,0.00581703707575798
42,5482987,-0.05166744813323021,0.00996337365359068,2.659151792526245,-2.960326716245175,0.570859260062585,152.35817479640136,0.0508861318230629,0.05218087136745453,0.009434521198272705
47,5483027,-0.049397047609090805,0.011768222786486149,2.660884141921997,-2.830242348407697,0.6742694980353416,152.45743110542,0.054824717342853546,0.04949541389942169,0.01814815029501915
60,5483067,-0.047057509422302246,0.013322612270712852,2.6630375385284424,-2.6961966842950233,0.7633294552010487,152.5808116425871,0.057088702917099,0.044033557176589966,0.028911355882883072
73,5483087,-0.04586152732372284,0.014009794220328331,2.6643640995025635,-2.627671957673224,0.8027020806715871,152.65681798767102,0.05793973058462143,0.0406828410923481,0.03473879024386406
78,5483127,-0.043449994176626205,0.015219812281429768,2.667259693145752,-2.489501286188686,0.8720310087073024,152.8227232826106,0.059145525097846985,0.033871471881866455,0.046382129192352295
92,5483167,-0.041027430444955826,0.016320601105690002,2.670375347137451,-2.35069860876251,0.9351015624725819,153.00123710675808,0.0597231350839138,0.028111031278967857,0.05660850554704666
104,5483187,-0.03983604535460472,0.01687040738761425,2.672089099884033,-2.2824372713105796,0.9666031419766212,153.0994279062662,0.05973077565431595,0.026120809838175774,0.060841597616672516
109,5483227,-0.037482790648937225,0.01805230975151062,2.6754703521728516,-2.147605708556531,1.0343211592244184,153.29315939188442,0.05899632349610329,0.024694718420505524,0.06676416099071503
122,5483267,-0.035138219594955444,0.01953098177909851,2.6787333488464355,-2.013271682394836,1.1190428256892566,153.480115329846,0.057731084525585175,0.02734842523932457,0.06860368698835373
135,5483287,-0.034000612795352936,0.020362142473459244,2.680293321609497,-1.9480916140322275,1.1666648255732897,153.5694951853248,0.05699370801448822,0.03010309860110283,0.06779501587152481
141,5483327,-0.0318172350525856,0.02235947921872139,2.683114528656006,-1.822993284288859,1.2811037913432068,153.73113844222232,0.05549578368663788,0.03798806667327881,0.0632564052939415
154,5483367,-0.029830526560544968,0.024769702926278114,2.6854352951049805,-1.7091632725721304,1.4191994374685808,153.86410856498412,0.052791643887758255,0.04815192520618439,0.05522666126489639
169,5483387,-0.028963562101125717,0.026108380407094955,2.686495780944824,-1.6594898680595664,1.495900007248591,153.92486992784055,0.05053423345088959,0.053470127284526825,0.05037058889865875
174,5483427,-0.027515318244695663,0.028972454369068146,2.688242197036743,-1.576511607380374,1.659999357482967,154.02493219918125,0.043944235891103745,0.06335607916116714,0.0397091843187809
187,5483447,-0.02697845548391342,0.030441591516137123,2.6889607906341553,-1.54575163700981,1.74417471553591,154.06610457949807,0.039489131420850754,0.06732302904129028,0.034349098801612854
200,5483487,-0.026302464306354523,0.033293332904577255,2.6902401447296143,-1.5070201955476066,1.9075674613563072,154.13940616967065,0.028506439179182053,0.0716744214296341,0.024879828095436096
205,5483527,-0.026137905195355415,0.03587060049176216,2.6914379596710205,-1.4975916530069329,2.055234016777867,154.20803591045095,0.01582624949514866,0.07041748613119125,0.018275976181030273
218,5483547,-0.026235278695821762,0.03704387694597244,2.6920647621154785,-1.5031707436200696,2.1224578058061905,154.24394904510686,0.00905379094183445,0.06744097173213959,0.016524268314242363
232,5483587,-0.02677556872367859,0.03876814246177673,2.693455457687378,-1.5341270819292714,2.221250942621724,154.32363003196423,-0.003659980371594429,0.057174768298864365,0.01663777232170105
237,5483627,-0.027638351544737816,0.03976381570100784,2.6952321529388428,-1.5835608962123562,2.2782988170037863,154.4254271713541,-0.014822255820035934,0.041773851960897446,0.021107496693730354
250,5483647,-0.028108803555369377,0.0399983674287796,2.696263313293457,-1.6105158108849884,2.2917376410826096,154.48450830767473,-0.019258657470345497,0.03287993744015694,0.024970248341560364
264,5483687,-0.029021356254816055,0.03990112245082855,2.6987574100494385,-1.6628012291465533,2.2861659142671718,154.62740952548972,-0.024671999737620354,0.013985740020871162,0.03528358414769173
269,5483727,-0.029563304036855698,0.039153676480054855,2.7017781734466553,-1.6938525497739005,2.24334041472778,154.80048651905784,-0.023687301203608513,-0.004741743206977844,0.04753671586513519
281,5483747,-0.029576096683740616,0.038568612188100815,2.7034289836883545,-1.6945855144492077,2.209818700055004,154.89507097868417,-0.020163938403129578,-0.013535801321268082,0.05374918133020401
