packet_index,pwr_up_msec,utc_msec,utc_iso,up_vec_x,up_vec_y,up_vec_z,pitch_rad,roll_rad,pitch_deg,roll_deg
14,5545238,1776874536157,2026-04-22T16:15:36.157000+00:00,0.03430725261569023,0.9256421327590942,0.37684184312820435,0.03431398605101036,1.184172300907828,1.966046578993672,67.8480750583143
30,5545288,1776874536207,2026-04-22T16:15:36.207000+00:00,0.031097453087568283,0.9267824292182922,0.3743090331554413,0.031102467410208428,1.1869494685795168,1.7820401150481306,68.00719504490223
46,5545338,1776874536257,2026-04-22T16:15:36.257000+00:00,0.02791512757539749,0.9278025031089783,0.37202587723731995,0.02791875434474151,1.189449465772934,1.5996267932162187,68.15043433287958
61,5545388,1776874536307,2026-04-22T16:15:36.307000+00:00,0.02494160458445549,0.9286798238754272,0.3700428605079651,0.02494419126932281,1.1916172202567066,1.429196883099273,68.27463751582032
77,5545438,1776874536357,2026-04-22T16:15:36.357000+00:00,0.02213059552013874,0.9293979406356812,0.36841508746147156,0.022132402377147403,1.193395623829353,1.2680932466958565,68.37653253480394
91,5545488,1776874536407,2026-04-22T16:15:36.407000+00:00,0.019357677549123764,0.9300245046615601,0.3669873774051666,0.01935888670348357,1.1949540444983053,1.1091825041815357,68.46582346184087
108,5545538,1776874536457,2026-04-22T16:15:36.457000+00:00,0.016485758125782013,0.9306672811508179,0.36549511551856995,0.016486504967622943,1.1965783011686513,0.9446071535662606,68.55888651389766
124,5545588,1776874536507,2026-04-22T16:15:36.507000+00:00,0.013596262782812119,0.9313851594924927,0.36378124356269836,0.013596681714806227,1.1984361519892366,0.7790324776410956,68.66533352488212
140,5545638,1776874536557,2026-04-22T16:15:36.557000+00:00,0.010926226153969765,0.9322414994239807,0.3616717755794525,0.010926443565532691,1.2007127478118544,0.6260391013928981,68.79577285717524
155,5545688,1776874536607,2026-04-22T16:15:36.607000+00:00,0.008442556485533714,0.933218240737915,0.3592108488082886,0.008442656781762786,1.2033604410524688,0.4837286014725098,68.94747450530775
