beam_id,angle_deg,real_sonar_range_m,dem_expected_range_m,error_real_minus_dem_m
0,-33.99999866940647,3.0668943654745817,2.3611293941720963,0.7057649713024854
1,-26.99999904379616,3.5137695958837867,2.5833799693640844,0.9303896265197023
2,-22.000000043023345,4.029394593089819,2.8488109107981785,1.1805836822916405
3,-18.000000500895634,4.235644591972232,3.1122169660332784,1.1234276259389535
4,-15.999999876058132,4.338769591413438,3.8485918916165427,0.4901776997968956
