packet_index,pwr_up_msec,utc_msec,utc_iso,up_vec_x,up_vec_y,up_vec_z,pitch_rad,roll_rad,pitch_deg,roll_deg
19,7997998,1776876988870,2026-04-22T16:56:28.870000+00:00,0.004212953150272369,0.8505277037620544,0.5259133577346802,0.004212965612971404,1.0170022186509362,0.24138514885700726,58.26993488413958
33,7998048,1776876988920,2026-04-22T16:56:28.920000+00:00,-0.0015897249104455113,0.8520081639289856,0.5235261917114258,-0.001589725580045106,1.0198111953018374,-0.0910845663205713,58.43087739098701
50,7998098,1776876988970,2026-04-22T16:56:28.970000+00:00,-0.0072226617485284805,0.8584547638893127,0.5128384828567505,-0.007222724547245956,1.032292838782623,-0.41383163314273164,59.146022883823
64,7998148,1776876989020,2026-04-22T16:56:29.020000+00:00,-0.010117425583302975,0.8620428442955017,0.5067343711853027,-0.010117598198413798,1.03937365447093,-0.5796956755782758,59.55172373827302
81,7998198,1776876989070,2026-04-22T16:56:29.070000+00:00,-0.010635899379849434,0.8661437630653381,0.4996817111968994,-0.01063609991638992,1.0475323959801235,-0.6094036356885902,60.019185192887996
96,7998248,1776876989120,2026-04-22T16:56:29.120000+00:00,-0.010643885470926762,0.869240939617157,0.4942740201950073,-0.010644086459547602,1.0537645825860338,-0.6098612309044245,60.37626318254462
113,7998298,1776876989170,2026-04-22T16:56:29.170000+00:00,-0.009452427737414837,0.8712700009346008,0.490712970495224,-0.009452568502941499,1.0578633320495898,-0.5415922807768427,60.61110422808789
127,7998348,1776876989220,2026-04-22T16:56:29.220000+00:00,-0.007869357243180275,0.8731347322463989,0.4874154329299927,-0.007869438466107348,1.0616517211035437,-0.4508856112458554,60.828162932033
144,7998398,1776876989270,2026-04-22T16:56:29.270000+00:00,-0.006768845021724701,0.8733237981796265,0.48709312081336975,-0.006768896711115775,1.0620253168008453,-0.3878292135069175,60.849568388732635
161,7998448,1776876989320,2026-04-22T16:56:29.320000+00:00,-0.0067397053353488445,0.8733363747596741,0.48707088828086853,-0.0067397563600365,1.0620508601330385,-0.38615959437654557,60.85103191386201
175,7998498,1776876989370,2026-04-22T16:56:29.370000+00:00,-0.007782162632793188,0.8724243640899658,0.4886871576309204,-0.007782241185561213,1.0601949999365234,-0.4458895750855436,60.74469895723537
