latitude,longitude,altitude (m),northing (local m),easting (local m),ping number,elapsed (s),datetime,altitude (m above MSL),northing (UTM m),easting (UTM m),coordinate projection
63.44052202,10.34887225,-2.226,-3.693,19.165,57129,0.020,2026-04-22T16:56:28.856Z,13.254,7035380.947,567288.505,UTM zone 32N
63.44051668,10.34886615,-2.188,-4.288,18.861,57129,0.020,2026-04-22T16:56:28.856Z,13.292,7035380.346,567288.213,UTM zone 32N
63.44051254,10.34886141,-2.152,-4.750,18.624,57129,0.020,2026-04-22T16:56:28.856Z,13.328,7035379.879,567287.987,UTM zone 32N
63.44051091,10.34885955,-2.114,-4.930,18.532,57129,0.020,2026-04-22T16:56:28.856Z,13.366,7035379.696,567287.898,UTM zone 32N
63.44050740,10.34885553,-2.017,-5.322,18.331,57129,0.020,2026-04-22T16:56:28.856Z,13.463,7035379.301,567287.706,UTM zone 32N
63.44050523,10.34885306,-2.042,-5.564,18.207,57129,0.020,2026-04-22T16:56:28.856Z,13.438,7035379.057,567287.587,UTM zone 32N
63.44050410,10.34885175,-1.990,-5.690,18.142,57129,0.020,2026-04-22T16:56:28.856Z,13.490,7035378.928,567287.525,UTM zone 32N
63.44050107,10.34884829,-1.896,-6.027,17.970,57129,0.020,2026-04-22T16:56:28.856Z,13.584,7035378.588,567287.359,UTM zone 32N
63.44051708,10.34886648,-2.128,-4.244,18.877,57130,0.100,2026-04-22T16:56:28.936Z,13.352,7035380.390,567288.229,UTM zone 32N
63.44051293,10.34886174,-2.103,-4.706,18.641,57130,0.100,2026-04-22T16:56:28.936Z,13.377,7035379.923,567288.003,UTM zone 32N
63.44050734,10.34885536,-2.062,-5.329,18.323,57130,0.100,2026-04-22T16:56:28.936Z,13.418,7035379.293,567287.697,UTM zone 32N
63.44050532,10.34885307,-2.038,-5.554,18.208,57130,0.100,2026-04-22T16:56:28.936Z,13.442,7035379.067,567287.588,UTM zone 32N
63.44050379,10.34885132,-1.989,-5.724,18.121,57130,0.100,2026-04-22T16:56:28.936Z,13.491,7035378.894,567287.504,UTM zone 32N
63.44050106,10.34884821,-1.871,-6.028,17.965,57130,0.100,2026-04-22T16:56:28.936Z,13.609,7035378.587,567287.355,UTM zone 32N
63.44049905,10.34884590,-1.929,-6.253,17.850,57130,0.100,2026-04-22T16:56:28.936Z,13.551,7035378.360,567287.245,UTM zone 32N
63.44051705,10.34886619,-2.143,-4.246,18.863,57131,0.120,2026-04-22T16:56:28.956Z,13.337,7035380.387,567288.215,UTM zone 32N
63.44051290,10.34886145,-2.115,-4.709,18.626,57131,0.120,2026-04-22T16:56:28.956Z,13.365,7035379.919,567287.988,UTM zone 32N
63.44050760,10.34885541,-2.039,-5.300,18.325,57131,0.120,2026-04-22T16:56:28.956Z,13.441,7035379.322,567287.699,UTM zone 32N
63.44050558,10.34885311,-2.019,-5.525,18.210,57131,0.120,2026-04-22T16:56:28.956Z,13.461,7035379.095,567287.589,UTM zone 32N
63.44050443,10.34885181,-1.969,-5.653,18.145,57131,0.120,2026-04-22T16:56:28.956Z,13.511,7035378.966,567287.527,UTM zone 32N
63.44050377,10.34885105,-1.995,-5.727,18.107,57131,0.120,2026-04-22T16:56:28.956Z,13.485,7035378.891,567287.491,UTM zone 32N
63.44050130,10.34884825,-1.859,-6.002,17.968,57131,0.120,2026-04-22T16:56:28.956Z,13.621,7035378.613,567287.357,UTM zone 32N
63.44052267,10.34887263,-2.069,-3.620,19.184,57132,0.200,2026-04-22T16:56:29.036Z,13.401,7035381.020,567288.523,UTM zone 32N
63.44051675,10.34886585,-2.158,-4.280,18.846,57132,0.200,2026-04-22T16:56:29.036Z,13.312,7035380.353,567288.198,UTM zone 32N
63.44051305,10.34886165,-2.098,-4.692,18.636,57132,0.200,2026-04-22T16:56:29.036Z,13.372,7035379.937,567287.997,UTM zone 32N
63.44050927,10.34885735,-2.019,-5.113,18.422,57132,0.200,2026-04-22T16:56:29.036Z,13.451,7035379.511,567287.792,UTM zone 32N
63.44050761,10.34885546,-2.008,-5.299,18.327,57132,0.200,2026-04-22T16:56:29.036Z,13.462,7035379.324,567287.701,UTM zone 32N
63.44050536,10.34885290,-1.949,-5.550,18.200,57132,0.200,2026-04-22T16:56:29.036Z,13.521,7035379.071,567287.579,UTM zone 32N
63.44050392,10.34885124,-1.986,-5.711,18.117,57132,0.200,2026-04-22T16:56:29.036Z,13.484,7035378.908,567287.500,UTM zone 32N
63.44050144,10.34884845,-1.852,-5.987,17.977,57132,0.200,2026-04-22T16:56:29.036Z,13.618,7035378.629,567287.366,UTM zone 32N
63.44052310,10.34887305,-2.230,-3.572,19.205,57133,0.220,2026-04-22T16:56:29.056Z,13.240,7035381.068,567288.543,UTM zone 32N
63.44051690,10.34886601,-2.135,-4.263,18.854,57133,0.220,2026-04-22T16:56:29.056Z,13.335,7035380.370,567288.206,UTM zone 32N
