packet_index,ping_number,pwr_up_msec,utc_msec,utc_iso,ping_hz,sos_mps,listening_sec,pulse_sec,point_index,angle_rad,angle_deg,tof_s,range_m,y_m,z_m,reserved0,reserved1
14,57129,7997899,1776876988771,2026-04-22T16:56:28.771000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,0,-0.5410520434379578,-30.99999858592387,0.0028444253839552402,2.13331903796643,-1.0987404853525513,-1.8286113484273403,4294967295,4294967295
14,57129,7997899,1776876988771,2026-04-22T16:56:28.771000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,1,-0.41887903213500977,-24.000000667860846,0.0032110922038555145,2.408319152891636,-0.979551673347585,-2.2001090112598134,4294967295,4294967295
14,57129,7997899,1776876988771,2026-04-22T16:56:28.771000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,2,-0.3839724361896515,-22.000000043023345,0.0033777588978409767,2.5333191733807325,-0.9489980673391214,-2.3488526353104935,4294967295,4294967295
14,57129,7997899,1776876988771,2026-04-22T16:56:28.771000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,3,-0.296705961227417,-16.999999334703237,0.003577759023755789,2.6833192678168416,-0.7845265988507371,-2.5660709866901197,4294967295,4294967295
14,57129,7997899,1776876988771,2026-04-22T16:56:28.771000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,4,-0.20943951606750488,-12.000000333930423,0.004077758640050888,3.058318980038166,-0.635860287634723,-2.9914873688970802,4294967295,4294967295
14,57129,7997899,1776876988771,2026-04-22T16:56:28.771000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,5,-0.1745329201221466,-9.99999970909292,0.00431109219789505,3.2333191484212875,-0.5614599617718637,-3.1841977681788074,4294967295,4294967295
14,57129,7997899,1776876988771,2026-04-22T16:56:28.771000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,6,-0.0872664600610733,-4.99999985454646,0.004877758678048849,3.658319008536637,-0.3188435011450609,-3.644398001041879,4294967295,4294967295
14,57129,7997899,1776876988771,2026-04-22T16:56:28.771000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,7,0.0,0.0,0.00564442528411746,4.233318963088095,0.0,-4.233318963088095,4294967295,4294967295
32,57130,7997949,1776876988821,2026-04-22T16:56:28.821000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,0,-0.6632251143455505,-37.999999919081475,0.002744425553828478,2.0583191653713584,-1.2672278117528977,-1.6219776384571423,4294967295,4294967295
32,57130,7997949,1776876988821,2026-04-22T16:56:28.821000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,1,-0.5410520434379578,-30.99999858592387,0.0028110919520258904,2.1083189640194178,-1.085864495923153,-1.8071821022070433,4294967295,4294967295
32,57130,7997949,1776876988821,2026-04-22T16:56:28.821000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,2,-0.4363323152065277,-25.00000012650595,0.0031777587719261646,2.3833190789446235,-1.007234171086229,-2.1600206380166105,4294967295,4294967295
32,57130,7997949,1776876988821,2026-04-22T16:56:28.821000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,3,-0.3839724361896515,-22.000000043023345,0.0033777588978409767,2.5333191733807325,-0.9489980673391214,-2.3488526353104935,4294967295,4294967295
32,57130,7997949,1776876988821,2026-04-22T16:56:28.821000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,4,-0.3141592741012573,-18.000000500895634,0.0036110919900238514,2.7083189925178885,-0.8369166173945124,-2.5757644187235056,4294967295,4294967295
32,57130,7997949,1776876988821,2026-04-22T16:56:28.821000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,5,-0.15707963705062866,-9.000000250447817,0.00431109219789505,3.2333191484212875,-0.5058025652469021,-3.1935116221077724,4294967295,4294967295
32,57130,7997949,1776876988821,2026-04-22T16:56:28.821000+00:00,240000,1500.0,0.006977758836001158,9.999999747378752e-05,6,-0.06981316953897476,-3.999999969014533,0.004877758678048849,3.658319008536637,-0.25519143189302657,-3.649407527436319,4294967295,4294967295
