packet_index,time_boot_ms,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,rollspeed_radps,pitchspeed_radps,yawspeed_radps
2,7935587,-0.03605153411626816,-0.010028284974396229,2.0435328483581543,-2.0656007498340654,-0.5745784047873628,117.0858075072699,0.1599666327238083,0.014611545950174332,-0.009287627413868904
16,7935607,-0.032990310341119766,-0.008671226911246777,2.043504238128662,-1.8902055473729578,-0.4968247052147012,117.0841682618691,0.16033650934696198,0.029033146798610687,-0.006377608049660921
29,7935647,-0.02700912579894066,-0.0050013745203614235,2.043454885482788,-1.5475089166172074,-0.286557651780976,117.08134056355271,0.15583878755569458,0.060906097292900085,-0.0021435394883155823
34,7935687,-0.02186177670955658,-0.0004924306413158774,2.0433733463287354,-1.2525875381149922,-0.02821419745032024,117.07666871416042,0.14492039382457733,0.09043417125940323,-0.000591157004237175
46,7935707,-0.019569287076592445,0.0018157141748815775,2.0433499813079834,-1.1212375575686522,0.10403275902279306,117.0753299970831,0.1372578740119934,0.10196636617183685,-0.0004564523696899414
60,7935747,-0.015791283920407295,0.00670988904312253,2.0432889461517334,-0.9047739217321387,0.3844483231719954,117.07183294022806,0.11799392849206924,0.11653636395931244,-0.0006764540448784828
65,7935787,-0.013057660311460495,0.012033245526254177,2.0431814193725586,-0.7481488261621664,0.6894541824990436,117.0656721095967,0.09365104883909225,0.1266283541917801,-0.0015361160039901733
77,7935807,-0.012078942731022835,0.014787048101425171,2.0431532859802246,-0.6920724394678328,0.8472354476685992,117.06406018495258,0.08067190647125244,0.13067971169948578,-0.001878403127193451
93,7935847,-0.010750798508524895,0.020100891590118408,2.0431227684020996,-0.6159753809340166,1.151696252563795,117.06231165652505,0.05519974231719971,0.13512861728668213,-0.0018838364630937576
97,7935887,-0.010171070694923401,0.024887852370738983,2.0432522296905518,-0.5827594239483042,1.425968901988004,117.06972924196369,0.03210090100765228,0.13133057951927185,-0.0003243768587708473
110,7935907,-0.01003654208034277,0.0269506573677063,2.043379545211792,-0.575051502109092,1.5441589222727277,117.07702388399727,0.022517574951052666,0.12578459084033966,0.0012220470234751701
123,7935947,-0.010041238740086555,0.0303395576775074,2.043809652328491,-0.5753206008902199,1.738328607214908,117.10166720652268,0.007473152130842209,0.10689665377140045,0.005422201938927174
128,7935987,-0.010099323466420174,0.03246241435408592,2.0444252490997314,-0.5786486105633085,1.8599593352940258,117.13693830339662,-0.0007240790873765945,0.08137381076812744,0.010369806550443172
141,7936007,-0.010106731206178665,0.03307104855775833,2.0447981357574463,-0.5790730427872014,1.8948315064317605,117.15830313512042,-0.0023576635867357254,0.0667295753955841,0.012789182364940643
154,7936047,-0.009880551137030125,0.03343678638339043,2.045658826828003,-0.5661138794150129,1.9157867402487712,117.2076171009279,-0.0014637839049100876,0.03640580177307129,0.017516473308205605
158,7936067,-0.009561962448060513,0.03321994096040726,2.0461368560791016,-0.547860092136448,1.9033624127051065,117.23500615949966,0.0015107356011867523,0.02152937650680542,0.019604505971074104
172,7936107,-0.008379005827009678,0.032194580882787704,2.047133445739746,-0.4800816704031785,1.8446136077762996,117.29210654096097,0.012745566666126251,-0.005712628364562988,0.022819824516773224
185,7936147,-0.006411713548004627,0.03062366507947445,2.0481503009796143,-0.36736412574751587,1.7546067622760466,117.35036805458118,0.029338566586375237,-0.026854705065488815,0.024660607799887657
191,7936167,-0.005179539322853088,0.029736392199993134,2.0486629009246826,-0.29676574302153025,1.7037697710053477,117.37973786801223,0.038728266954422,-0.034688305109739304,0.02520219050347805
204,7936207,-0.002424476435407996,0.027938539162278175,2.0497140884399414,-0.13891226727780032,1.600760379759506,117.4399664761134,0.056024983525276184,-0.04409255087375641,0.025812257081270218
217,7936247,0.0004761905875056982,0.026266470551490784,2.0508360862731934,0.027283710907931618,1.5049579053050859,117.50425221658156,0.06741151213645935,-0.04600982367992401,0.026396572589874268
221,7936267,0.001779576763510704,0.025566289201378822,2.0514166355133057,0.10196223786871395,1.4648404690498986,117.53751523783953,0.06952952593564987,-0.044397301971912384,0.026853471994400024
235,7936307,0.0040131076239049435,0.024443306028842926,2.0526366233825684,0.22993412958152734,1.4004982727993802,117.60741539380544,0.06649673730134964,-0.037823501974344254,0.02832578308880329
248,7936347,0.005427856929600239,0.02384939230978489,2.0540127754211426,0.3109932938669313,1.3664695233024362,117.68626309758406,0.054184481501579285,-0.027492012828588486,0.030766654759645462
252,7936367,0.005793975666165352,0.023751195520162582,2.054748296737671,0.33197035227277427,1.3608432616953439,117.72840536476305,0.044997986406087875,-0.021260445937514305,0.03234201669692993
267,7936407,0.005786785390228033,0.023937609046697617,2.0563607215881348,0.33155837980803143,1.3715239700099513,117.82079050347663,0.02288139797747135,-0.007898977026343346,0.03593877702951431
281,7936447,0.0046413918025791645,0.024619020521640778,2.058100700378418,0.2659321613544035,1.4105659716359789,117.92048394460214,-0.0030826758593320847,0.005348920822143555,0.03961755335330963
285,7936467,0.003631197614595294,0.025131581351161003,2.058972120285034,0.20805229789428245,1.4399335439112124,117.97041262743494,-0.01712466962635517,0.011846290901303291,0.041111480444669724
298,7936507,0.0007844854262657464,0.026356643065810204,2.0607645511627197,0.0449477040145486,1.5101244098036715,118.07311135179525,-0.046098463237285614,0.02297733537852764,0.04286160692572594
313,7936547,-0.002831177320331335,0.027766063809394836,2.062397003173828,-0.16221451150814342,1.5908782699692612,118.1666439622894,-0.07191610336303711,0.031284675002098083,0.04256695508956909
317,7936567,-0.004802572075277567,0.028435589745640755,2.0631396770477295,-0.2751671107207897,1.6292392803906974,118.20919604081858,-0.08258108794689178,0.033467624336481094,0.04139741510152817
331,7936607,-0.009007691405713558,0.029727211222052574,2.064460515975952,-0.5161027007036506,1.7032437397175508,118.28487453682231,-0.09839680045843124,0.034666161984205246,0.03749798983335495
345,7936647,-0.013227283023297787,0.030690837651491165,2.065514326095581,-0.7578674916600069,1.758455467151643,118.34525340908523,-0.10664323717355728,0.031185228377580643,0.03194557875394821
349,7936667,-0.01526268757879734,0.031109265983104706,2.0659520626068115,-0.8744875822918327,1.7824296445817993,118.37033386371752,-0.10763330012559891,0.028309078887104988,0.028815504163503647
362,7936707,-0.01918024569749832,0.031570807099342346,2.066683530807495,-1.0989471284906096,1.8088740026139731,118.41224390446472,-0.10526055097579956,0.020847106352448463,0.022659454494714737
367,7936727,-0.02102605625987053,0.03165839612483978,2.0670087337493896,-1.2047042834952062,1.81389248410664,118.43087666052051,-0.1024741679430008,0.016121886670589447,0.019870948046445847
380,7936767,-0.024520043283700943,0.03150032460689545,2.0675742626190186,-1.4048949936341644,1.8048356532672032,118.46327907794306,-0.0955461636185646,0.005992507562041283,0.015574846416711807
393,7936807,-0.027684923261404037,0.031055063009262085,2.0681960582733154,-1.5862292590220097,1.7793240429435593,118.49890534465383,-0.08683061599731445,-0.004341498017311096,0.013412246480584145
398,7936827,-0.029097063466906548,0.030757209286093712,2.0685060024261475,-1.6671389328780404,1.7622582816937535,118.51666383649588,-0.08213207125663757,-0.008324598893523216,0.01317850686609745
412,7936867,-0.03156435117125511,0.02989954501390457,2.0691637992858887,-1.8085041051817345,1.7131177386581562,118.554352820336,-0.07256150245666504,-0.0156807042658329,0.013584720902144909
425,7936907,-0.033407896757125854,0.02883227914571762,2.069910764694214,-1.9141314865921009,1.6519679087926784,118.59715078567531,-0.05989890545606613,-0.02212400920689106,0.014809347689151764
430,7936927,-0.034250903874635696,0.028209710493683815,2.070319175720215,-1.9624322365249038,1.6162973525739925,118.62055101377177,-0.05377534404397011,-0.025283463299274445,0.01563451997935772
443,7936967,-0.03567839786410332,0.027006443589925766,2.0711517333984375,-2.044221617401691,1.547355237360882,118.66825305493514,-0.04371355473995209,-0.029630247503519058,0.017503775656223297
457,7937007,-0.03675338253378868,0.025804324075579643,2.0719070434570312,-2.105813702015927,1.478478862718533,118.71152913351634,-0.034760914742946625,-0.03184050694108009,0.017877068370580673
