packet_index,time_boot_ms,lat_deg,lon_deg,alt_m,relative_alt_m,heading_deg,vx_mps,vy_mps,vz_mps
10,7935587,63.4404933,10.3488392,15.48,8.629,117.08,-0.01,0.1,0.09
17,7935607,63.4404933,10.3488392,15.48,8.629,117.08,-0.01,0.11,0.08
30,7935647,63.4404933,10.3488393,15.48,8.627,117.08,-0.01,0.12,0.06
35,7935687,63.4404933,10.3488393,15.48,8.624,117.07,0.0,0.12,0.03
48,7935707,63.4404933,10.3488394,15.48,8.623,117.07,0.0,0.12,0.02
61,7935747,63.4404933,10.3488395,15.48,8.62,117.07,0.0,0.12,0.0
66,7935787,63.4404933,10.3488395,15.47,8.615,117.06,0.0,0.12,-0.01
78,7935807,63.4404933,10.3488396,15.47,8.613,117.06,0.0,0.13,-0.02
94,7935847,63.4404934,10.3488397,15.46,8.607,117.06,0.0,0.13,-0.04
98,7935887,63.4404934,10.3488397,15.46,8.6,117.06,0.0,0.12,-0.05
111,7935907,63.4404934,10.3488398,15.45,8.597,117.07,0.0,0.12,-0.05
124,7935947,63.4404934,10.3488398,15.45,8.591,117.1,-0.01,0.12,-0.05
129,7935987,63.4404934,10.3488399,15.44,8.584,117.13,-0.01,0.11,-0.05
142,7936007,63.4404934,10.34884,15.44,8.58,117.15,-0.02,0.11,-0.05
155,7936047,63.4404934,10.34884,15.43,8.574,117.2,-0.03,0.1,-0.05
159,7936067,63.4404934,10.3488401,15.43,8.571,117.23,-0.03,0.1,-0.04
173,7936107,63.4404933,10.3488401,15.42,8.566,117.29,-0.04,0.09,-0.04
186,7936147,63.4404933,10.3488402,15.42,8.562,117.35,-0.05,0.08,-0.03
192,7936167,63.4404933,10.3488402,15.42,8.56,117.37,-0.06,0.08,-0.03
205,7936207,63.4404933,10.3488402,15.41,8.558,117.43,-0.06,0.07,-0.03
218,7936247,63.4404933,10.3488403,15.41,8.558,117.5,-0.07,0.06,-0.04
222,7936267,63.4404933,10.3488403,15.41,8.559,117.53,-0.07,0.06,-0.05
236,7936307,63.4404932,10.3488403,15.42,8.56,117.6,-0.08,0.05,-0.06
249,7936347,63.4404932,10.3488403,15.42,8.563,117.68,-0.08,0.04,-0.07
253,7936367,63.4404932,10.3488403,15.42,8.565,117.72,-0.08,0.03,-0.08
269,7936407,63.4404932,10.3488404,15.43,8.57,117.82,-0.09,0.03,-0.1
282,7936447,63.4404932,10.3488404,15.43,8.574,117.92,-0.09,0.02,-0.11
286,7936467,63.4404931,10.3488404,15.43,8.576,117.97,-0.09,0.02,-0.12
300,7936507,63.4404931,10.3488404,15.43,8.579,118.07,-0.09,0.01,-0.12
314,7936547,63.4404931,10.3488404,15.44,8.58,118.16,-0.09,0.01,-0.12
318,7936567,63.4404931,10.3488404,15.43,8.579,118.2,-0.1,0.0,-0.12
332,7936607,63.440493,10.3488404,15.43,8.578,118.28,-0.1,0.0,-0.11
346,7936647,63.440493,10.3488403,15.43,8.573,118.34,-0.1,0.0,-0.09
350,7936667,63.440493,10.3488403,15.43,8.57,118.37,-0.1,0.0,-0.08
363,7936707,63.4404929,10.3488403,15.42,8.563,118.41,-0.1,-0.01,-0.06
368,7936727,63.4404929,10.3488403,15.41,8.559,118.43,-0.1,-0.01,-0.05
381,7936767,63.4404929,10.3488403,15.4,8.548,118.46,-0.1,-0.01,-0.03
394,7936807,63.4404929,10.3488403,15.39,8.538,118.49,-0.1,-0.02,-0.01
399,7936827,63.4404929,10.3488403,15.39,8.533,118.51,-0.1,-0.02,0.0
413,7936867,63.4404928,10.3488403,15.38,8.524,118.55,-0.1,-0.02,0.01
426,7936907,63.4404928,10.3488403,15.37,8.515,118.59,-0.1,-0.03,0.03
431,7936927,63.4404928,10.3488403,15.37,8.511,118.62,-0.1,-0.03,0.03
444,7936967,63.4404927,10.3488402,15.36,8.506,118.66,-0.1,-0.03,0.05
458,7937007,63.4404927,10.3488402,15.36,8.501,118.71,-0.1,-0.04,0.06
462,7937027,63.4404927,10.3488401,15.35,8.499,118.72,-0.1,-0.04,0.06
475,7937067,63.4404927,10.3488401,15.36,8.5,118.75,-0.1,-0.04,0.07
488,7937107,63.4404926,10.34884,15.36,8.5,118.76,-0.1,-0.04,0.07
493,7937127,63.4404926,10.34884,15.36,8.5,118.76,-0.09,-0.04,0.07
506,7937167,63.4404926,10.3488399,15.36,8.506,118.74,-0.09,-0.04,0.07
520,7937207,63.4404925,10.3488399,15.37,8.512,118.71,-0.1,-0.04,0.06
525,7937227,63.4404925,10.3488399,15.37,8.514,118.69,-0.09,-0.04,0.06
538,7937267,63.4404925,10.3488398,15.38,8.525,118.65,-0.1,-0.04,0.05
551,7937307,63.4404925,10.3488398,15.39,8.534,118.61,-0.1,-0.04,0.04
556,7937327,63.4404924,10.3488397,15.39,8.539,118.59,-0.09,-0.04,0.03
569,7937367,63.4404924,10.3488397,15.41,8.552,118.54,-0.09,-0.04,0.02
575,7937387,63.4404924,10.3488397,15.41,8.557,118.52,-0.09,-0.04,0.01
589,7937427,63.4404924,10.3488396,15.42,8.568,118.49,-0.09,-0.04,0.0
602,7937467,63.4404923,10.3488396,15.43,8.578,118.46,-0.09,-0.03,0.0
606,7937487,63.4404923,10.3488395,15.44,8.583,118.44,-0.09,-0.03,-0.01
621,7937527,63.4404923,10.3488395,15.45,8.592,118.42,-0.09,-0.03,-0.01
634,7937567,63.4404922,10.3488395,15.45,8.596,118.39,-0.09,-0.02,-0.02
638,7937587,63.4404922,10.3488394,15.45,8.598,118.38,-0.09,-0.02,-0.02
653,7937627,63.4404922,10.3488394,15.46,8.602,118.36,-0.09,-0.02,-0.01
666,7937667,63.4404922,10.3488394,15.45,8.599,118.35,-0.09,-0.02,0.0
670,7937687,63.4404921,10.3488394,15.45,8.598,118.35,-0.09,-0.02,0.0
684,7937727,63.4404921,10.3488393,15.45,8.595,118.34,-0.09,-0.01,0.01
697,7937767,63.4404921,10.3488393,15.44,8.588,118.33,-0.09,-0.01,0.03
701,7937787,63.4404921,10.3488393,15.44,8.585,118.33,-0.09,-0.01,0.03
715,7937827,63.440492,10.3488393,15.43,8.578,118.33,-0.09,-0.01,0.05
729,7937867,63.440492,10.3488393,15.43,8.571,118.32,-0.09,-0.01,0.06
733,7937887,63.440492,10.3488392,15.42,8.568,118.32,-0.09,-0.01,0.07
747,7937927,63.440492,10.3488392,15.42,8.561,118.31,-0.09,-0.01,0.08
760,7937967,63.4404919,10.3488392,15.42,8.56,118.29,-0.08,0.0,0.09
764,7937987,63.4404919,10.3488392,15.41,8.559,118.29,-0.08,0.0,0.09
778,7938027,63.4404919,10.3488392,15.41,8.557,118.28,-0.08,0.0,0.09
790,7938047,63.4404919,10.3488391,15.42,8.56,118.28,-0.07,0.0,0.09
795,7938087,63.4404918,10.3488391,15.42,8.565,118.28,-0.07,0.0,0.09
809,7938127,63.4404918,10.3488391,15.42,8.569,118.29,-0.06,0.0,0.09
821,7938147,63.4404918,10.3488391,15.43,8.575,118.3,-0.06,0.0,0.08
827,7938187,63.4404918,10.3488391,15.44,8.584,118.32,-0.05,0.0,0.08
841,7938227,63.4404918,10.3488391,15.45,8.592,118.35,-0.04,0.01,0.07
853,7938247,63.4404918,10.3488391,15.45,8.597,118.37,-0.04,0.01,0.07
858,7938287,63.4404918,10.3488391,15.46,8.607,118.4,-0.03,0.01,0.07
872,7938327,63.4404918,10.348839,15.47,8.616,118.43,-0.03,0.02,0.06
884,7938347,63.4404917,10.348839,15.47,8.619,118.43,-0.03,0.02,0.06
900,7938387,63.4404917,10.348839,15.48,8.626,118.43,-0.02,0.03,0.06
905,7938427,63.4404917,10.348839,15.49,8.632,118.41,-0.02,0.04,0.07
917,7938447,63.4404917,10.348839,15.49,8.632,118.39,-0.02,0.04,0.07
922,7938487,63.4404917,10.348839,15.49,8.634,118.34,-0.02,0.05,0.07
937,7938527,63.4404917,10.348839,15.49,8.635,118.26,-0.01,0.05,0.06
949,7938547,63.4404917,10.348839,15.49,8.634,118.21,-0.01,0.06,0.06
954,7938587,63.4404917,10.348839,15.49,8.632,118.12,-0.01,0.06,0.06
969,7938627,63.4404917,10.348839,15.49,8.63,118.02,-0.01,0.06,0.05
