packet_index,time_boot_ms,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
11,7935587,-6.893909931182861,17.51580238342285,17.480405807495117,-0.017734775319695473,0.10997678339481354,0.09867866337299347
18,7935607,-6.893987655639648,17.517475128173828,17.480318069458008,-0.016211463138461113,0.11355076730251312,0.08637101203203201
31,7935647,-6.89410924911499,17.52113914489746,17.482160568237305,-0.01330078486353159,0.1204259842634201,0.06183139607310295
38,7935687,-6.894130706787109,17.525283813476562,17.485443115234375,-0.007673514541238546,0.12339765578508377,0.03882850334048271
49,7935707,-6.893675804138184,17.52690887451172,17.48623275756836,-0.0034044934436678886,0.12101433426141739,0.028247704729437828
62,7935747,-6.8927083015441895,17.530366897583008,17.489900588989258,0.00041409788536839187,0.1260124295949936,0.005067370366305113
70,7935787,-6.891763210296631,17.534177780151367,17.494892120361328,0.0014612249797210097,0.129381462931633,-0.01603131927549839
80,7935807,-6.891321659088135,17.536195755004883,17.496843338012695,0.0012802123092114925,0.1307094246149063,-0.025164416059851646
95,7935847,-6.890514373779297,17.540372848510742,17.502525329589844,0.001002783072181046,0.13091424107551575,-0.040729910135269165
106,7935887,-6.889862060546875,17.544654846191406,17.50935173034668,-0.0024479669518768787,0.12892115116119385,-0.05146567150950432
112,7935907,-6.8894805908203125,17.546470642089844,17.512176513671875,-0.004394493065774441,0.12725934386253357,-0.054231900721788406
125,7935947,-6.888942241668701,17.550132751464844,17.518831253051758,-0.010257675312459469,0.12277782708406448,-0.058135878294706345
133,7935987,-6.888796806335449,17.553869247436523,17.525978088378906,-0.018374433740973473,0.11655603349208832,-0.05800786241889
143,7936007,-6.888874053955078,17.55563735961914,17.529130935668945,-0.022563936188817024,0.11310721933841705,-0.05697401240468025
156,7936047,-6.8893537521362305,17.559072494506836,17.535165786743164,-0.031935278326272964,0.10596612095832825,-0.05171994864940643
160,7936067,-6.889766216278076,17.56072425842285,17.5380802154541,-0.03700093924999237,0.10198468714952469,-0.04873836040496826
174,7936107,-6.890858173370361,17.563570022583008,17.543527603149414,-0.046524759382009506,0.0941760390996933,-0.04282176494598389
187,7936147,-6.892338275909424,17.56593894958496,17.54761505126953,-0.056224923580884933,0.08594062924385071,-0.03830253705382347
193,7936167,-6.893247604370117,17.56706428527832,17.549028396606445,-0.060807883739471436,0.08191335946321487,-0.037442054599523544
206,7936207,-6.89538049697876,17.56918716430664,17.551441192626953,-0.06927173584699631,0.07383673638105392,-0.039262767881155014
219,7936247,-6.897953510284424,17.57117462158203,17.551713943481445,-0.07636543363332748,0.06505368649959564,-0.04666013643145561
223,7936267,-6.899320602416992,17.57204818725586,17.55095863342285,-0.07916240394115448,0.06065106764435768,-0.05167223885655403
237,7936307,-6.902082443237305,17.573410034179688,17.549219131469727,-0.08407865464687347,0.05187306925654411,-0.0646711140871048
250,7936347,-6.904917240142822,17.574382781982422,17.546276092529297,-0.08758654445409775,0.04404059797525406,-0.0799039825797081
254,7936367,-6.906416893005371,17.574800491333008,17.544227600097656,-0.08968888968229294,0.03973113000392914,-0.08793359994888306
270,7936407,-6.909551620483398,17.57547950744629,17.539752960205078,-0.0918092131614685,0.03174513578414917,-0.1031179204583168
283,7936447,-6.91284704208374,17.575977325439453,17.535741806030273,-0.09503243863582611,0.02514924481511116,-0.11574271321296692
287,7936467,-6.914559841156006,17.576169967651367,17.533998489379883,-0.09613193571567535,0.02213982678949833,-0.1205998957157135
301,7936507,-6.917912483215332,17.576242446899414,17.53044319152832,-0.09797084331512451,0.016148265451192856,-0.12708385288715363
315,7936547,-6.921319961547852,17.576032638549805,17.529582977294922,-0.09955690801143646,0.010468266904354095,-0.12522800266742706
319,7936567,-6.9230265617370605,17.575885772705078,17.530426025390625,-0.10041375458240509,0.007864050567150116,-0.12221526354551315
334,7936607,-6.926502227783203,17.575511932373047,17.531713485717773,-0.10015035420656204,0.0025264406576752663,-0.11164704710245132
347,7936647,-6.930056095123291,17.57502555847168,17.536029815673828,-0.10135787725448608,-0.002362379338592291,-0.09642384946346283
351,7936667,-6.931867599487305,17.574745178222656,17.539596557617188,-0.10128267109394073,-0.004849462304264307,-0.08700878173112869
364,7936707,-6.93533992767334,17.5738582611084,17.546648025512695,-0.10185977816581726,-0.010141768492758274,-0.06612367182970047
369,7936727,-6.937026500701904,17.573265075683594,17.5501651763916,-0.10234998911619186,-0.012230249121785164,-0.05618521571159363
382,7936767,-6.9404826164245605,17.572032928466797,17.56118392944336,-0.10316473245620728,-0.01701580174267292,-0.0340595617890358
395,7936807,-6.944075584411621,17.570741653442383,17.571369171142578,-0.10511567443609238,-0.020287422463297844,-0.014696000143885612
400,7936827,-6.946017742156982,17.570056915283203,17.576200485229492,-0.10460580140352249,-0.02259070985019207,-0.00396928982809186
414,7936867,-6.949741840362549,17.568653106689453,17.585487365722656,-0.10565698891878128,-0.027754124253988266,0.014233354479074478
428,7936907,-6.953335762023926,17.56665802001953,17.594337463378906,-0.10443366318941116,-0.03280670568346977,0.031700197607278824
432,7936927,-6.9550395011901855,17.565418243408203,17.598630905151367,-0.10386211425065994,-0.03509161248803139,0.03880012035369873
445,7936967,-6.958505630493164,17.56292152404785,17.603384017944336,-0.10351794958114624,-0.03968925029039383,0.05064566805958748
459,7937007,-6.9620137214660645,17.560420989990234,17.60820198059082,-0.1024133712053299,-0.042718514800071716,0.06036265566945076
463,7937027,-6.9637861251831055,17.559179306030273,17.610614776611328,-0.1022067442536354,-0.043669309467077255,0.06461388617753983
476,7937067,-6.96734619140625,17.55672264099121,17.60990333557129,-0.10088375210762024,-0.04514016583561897,0.07108882814645767
490,7937107,-6.97109842300415,17.55398178100586,17.609682083129883,-0.10024508088827133,-0.046623993664979935,0.07542627304792404
494,7937127,-6.972961902618408,17.552534103393555,17.609628677368164,-0.09931358695030212,-0.04675878956913948,0.0758385881781578
507,7937167,-6.97670841217041,17.54975128173828,17.603017807006836,-0.0995391234755516,-0.04660870134830475,0.07365909218788147
