packet_index,time_boot_ms,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
13,3370647,50.18146514892578,23.041507720947266,13.327329635620117,-0.50676429271698,-0.5788685083389282,-0.0156395360827446
28,3370687,50.160919189453125,23.017471313476562,13.327705383300781,-0.5051792860031128,-0.5827310085296631,-0.0007009487017057836
33,3370727,50.140907287597656,22.993959426879883,13.328556060791016,-0.5060573816299438,-0.5850210189819336,0.011888619512319565
45,3370747,50.13086700439453,22.982179641723633,13.330085754394531,-0.5070739984512329,-0.5860236287117004,0.01539621315896511
59,3370787,50.110782623291016,22.958324432373047,13.333318710327148,-0.5086439251899719,-0.584635317325592,0.023250773549079895
64,3370827,50.09055709838867,22.93462371826172,13.336331367492676,-0.5126712322235107,-0.5813228487968445,0.023370176553726196
76,3370847,50.08040237426758,22.922868728637695,13.337435722351074,-0.5124327540397644,-0.5784503221511841,0.02337510511279106
91,3370887,50.05999755859375,22.899580001831055,13.33938217163086,-0.5159475207328796,-0.5717711448669434,0.016419008374214172
96,3370927,50.03950881958008,22.876663208007812,13.340867042541504,-0.5169634819030762,-0.5634393095970154,0.007968605495989323
108,3370947,50.02924346923828,22.865345001220703,13.339825630187988,-0.5178390741348267,-0.5593138933181763,0.0012824948644265532
122,3370987,50.00798797607422,22.84157943725586,13.337431907653809,-0.5193649530410767,-0.549282431602478,-0.009524540975689888
127,3371027,49.98723602294922,22.818906784057617,13.33486270904541,-0.5198439955711365,-0.5380917191505432,-0.021681122481822968
139,3371047,49.97684860229492,22.807777404785156,13.331809043884277,-0.5200273394584656,-0.5336847901344299,-0.026655269786715508
153,3371087,49.95606994628906,22.78587532043457,13.325949668884277,-0.5210874676704407,-0.5247207283973694,-0.033324889838695526
158,3371127,49.935218811035156,22.76442527770996,13.320480346679688,-0.5222909450531006,-0.515433669090271,-0.03650898486375809
170,3371147,49.92475891113281,22.753870010375977,13.31734561920166,-0.5249847173690796,-0.5117059350013733,-0.033354174345731735
184,3371187,49.90404510498047,22.732879638671875,13.311859130859375,-0.5271196961402893,-0.5047327280044556,-0.029297858476638794
190,3371227,49.88317108154297,22.712278366088867,13.307257652282715,-0.5302810072898865,-0.49735549092292786,-0.0172745268791914
203,3371248,49.87214660644531,22.701622009277344,13.30610466003418,-0.5322137475013733,-0.4932018220424652,-0.011239378713071346
216,3371287,49.850982666015625,22.681589126586914,13.304503440856934,-0.5371453762054443,-0.4872356355190277,0.008256600238382816
220,3371307,49.840335845947266,22.67168617248535,13.304067611694336,-0.5391700863838196,-0.4832589328289032,0.018446775153279305
233,3371347,49.81891632080078,22.652109146118164,13.304758071899414,-0.5424017906188965,-0.4772491753101349,0.03867492079734802
249,3371387,49.797157287597656,22.632179260253906,13.307315826416016,-0.5447999238967896,-0.4713410437107086,0.0629480630159378
253,3371407,49.7862434387207,22.622333526611328,13.308904647827148,-0.5474764704704285,-0.4726901948451996,0.07364125549793243
267,3371447,49.76433181762695,22.602846145629883,13.312505722045898,-0.5494141578674316,-0.46814224123954773,0.09785892814397812
280,3371487,49.7423095703125,22.5836124420166,13.316752433776855,-0.5542424917221069,-0.4652462601661682,0.1178041324019432
284,3371507,49.73125076293945,22.5740909576416,13.31917667388916,-0.5535014271736145,-0.4594011902809143,0.12778183817863464
298,3371547,49.70848846435547,22.55472183227539,13.323516845703125,-0.556745707988739,-0.457183837890625,0.14165392518043518
312,3371587,49.686553955078125,22.535329818725586,13.326757431030273,-0.5581328868865967,-0.4571160674095154,0.15274813771247864
316,3371607,49.67554473876953,22.525712966918945,13.328645706176758,-0.5615612268447876,-0.4575091004371643,0.15543287992477417
330,3371647,49.65339279174805,22.50665283203125,13.331202507019043,-0.5637298822402954,-0.45537498593330383,0.15877482295036316
343,3371687,49.631202697753906,22.48775863647461,13.332853317260742,-0.5642943382263184,-0.45530977845191956,0.15800033509731293
357,3371707,49.62006378173828,22.478364944458008,13.333868026733398,-0.5645834803581238,-0.4516538381576538,0.15574835240840912
372,3371747,49.59773635864258,22.459739685058594,13.335029602050781,-0.5662216544151306,-0.45070305466651917,0.15217618644237518
375,3371787,49.57639694213867,22.44109535217285,13.334441184997559,-0.5679478645324707,-0.45072323083877563,0.14093562960624695
389,3371807,49.56565856933594,22.43183135986328,13.334303855895996,-0.5667128562927246,-0.44682347774505615,0.135830357670784
392,3371847,49.54347610473633,22.4129638671875,13.334332466125488,-0.5689677000045776,-0.4468919634819031,0.12221483141183853
409,3371887,49.521697998046875,22.394634246826172,13.3343505859375,-0.5708019733428955,-0.4460039436817169,0.10822800546884537
413,3371907,49.5107307434082,22.38552474975586,13.334357261657715,-0.5730685591697693,-0.4465778172016144,0.099189393222332
427,3371947,49.488670349121094,22.367359161376953,13.335307121276855,-0.5733928680419922,-0.4470222294330597,0.08472983539104462
430,3371967,49.47780990600586,22.358295440673828,13.335718154907227,-0.5733160972595215,-0.4440048336982727,0.07643245905637741
444,3372007,49.45599365234375,22.340261459350586,13.33625602722168,-0.5724178552627563,-0.4442214369773865,0.05966152623295784
457,3372047,49.43412399291992,22.322269439697266,13.338034629821777,-0.5715051889419556,-0.444679856300354,0.04429032653570175
461,3372067,49.42316818237305,22.313278198242188,13.33947467803955,-0.5710921287536621,-0.44656842947006226,0.03588879853487015
475,3372107,49.401329040527344,22.295269012451172,13.341779708862305,-0.5659251809120178,-0.44889354705810547,0.022270333021879196
488,3372147,49.379066467285156,22.27668571472168,13.344939231872559,-0.558612585067749,-0.45489561557769775,0.008295704610645771
492,3372167,49.3684196472168,22.267580032348633,13.346745491027832,-0.5560948252677917,-0.45834794640541077,0.002788384910672903
507,3372207,49.34724426269531,22.24913787841797,13.349655151367188,-0.5501198172569275,-0.46775883436203003,-0.010304799303412437
520,3372247,49.32625961303711,22.230308532714844,13.352742195129395,-0.5406934022903442,-0.47930964827537537,-0.02237006649374962
524,3372267,49.315853118896484,22.220726013183594,13.354451179504395,-0.5382289886474609,-0.4847998023033142,-0.02804267406463623
538,3372307,49.295188903808594,22.201168060302734,13.357043266296387,-0.5304833054542542,-0.4976355731487274,-0.04087886959314346
551,3372347,49.274757385253906,22.181076049804688,13.359582901000977,-0.5227900147438049,-0.5128963589668274,-0.05210026726126671
555,3372367,49.2645263671875,22.171070098876953,13.360981941223145,-0.5206299424171448,-0.5217826962471008,-0.05790242925286293
571,3372407,49.24369430541992,22.150102615356445,13.362909317016602,-0.5144091248512268,-0.5338667631149292,-0.06780505180358887
584,3372447,49.22355270385742,22.129093170166016,13.365076065063477,-0.5089001059532166,-0.546232283115387,-0.07800928503274918
588,3372467,49.21355438232422,22.11839485168457,13.366312026977539,-0.5068941116333008,-0.5530057549476624,-0.0830085352063179
602,3372507,49.19371032714844,22.096630096435547,13.367926597595215,-0.5014514327049255,-0.5624872446060181,-0.09148437529802322
616,3372547,49.17402648925781,22.074430465698242,13.369280815124512,-0.4963163435459137,-0.5735772252082825,-0.09948243200778961
620,3372567,49.16385269165039,22.063169479370117,13.370210647583008,-0.49602970480918884,-0.57725590467453,-0.10291052609682083
634,3372607,49.14359664916992,22.040401458740234,13.371280670166016,-0.4938823878765106,-0.5851081013679504,-0.10845813900232315
638,3372627,49.13349533081055,22.028894424438477,13.371495246887207,-0.495168000459671,-0.5889007449150085,-0.10970684140920639
652,3372667,49.11328887939453,22.005647659301758,13.371100425720215,-0.49737513065338135,-0.5961011052131653,-0.1155669316649437
666,3372707,49.09248733520508,21.981555938720703,13.369869232177734,-0.5005253553390503,-0.600908637046814,-0.11956726759672165
670,3372727,49.08228302001953,21.969736099243164,13.369077682495117,-0.5035200715065002,-0.6022980213165283,-0.12138360738754272
683,3372767,49.06155776977539,21.94600486755371,13.365947723388672,-0.5081647634506226,-0.6052818894386292,-0.12483508884906769
697,3372807,49.040489196777344,21.92221450805664,13.362821578979492,-0.5135781168937683,-0.605843186378479,-0.12921422719955444
701,3372827,49.029930114746094,21.910310745239258,13.361114501953125,-0.5148581862449646,-0.6058592796325684,-0.13006941974163055
715,3372867,49.00875473022461,21.886545181274414,13.354658126831055,-0.5175549387931824,-0.6039336919784546,-0.13381773233413696
729,3372907,48.98759841918945,21.86280632019043,13.34821891784668,-0.517589271068573,-0.6039033532142639,-0.13727985322475433
733,3372927,48.97704315185547,21.850929260253906,13.345001220703125,-0.5169762969017029,-0.603112518787384,-0.13911297917366028
746,3372967,48.95572280883789,21.826833724975586,13.33498477935791,-0.5168604254722595,-0.6050508618354797,-0.1399984061717987
760,3373007,48.93376541137695,21.801767349243164,13.325907707214355,-0.5156464576721191,-0.608098030090332,-0.13902834057807922
764,3373027,48.9230842590332,21.78950309753418,13.321640968322754,-0.5155488848686218,-0.610371470451355,-0.13770213723182678
777,3373067,48.901851654052734,21.764856338500977,13.310134887695312,-0.5127879977226257,-0.6159926652908325,-0.13228003680706024
791,3373107,48.88075637817383,21.739999771118164,13.299689292907715,-0.510942816734314,-0.6218408346176147,-0.12503519654273987
795,3373127,48.87026596069336,21.727497100830078,13.29487133026123,-0.51011061668396,-0.6255210638046265,-0.1191297397017479
808,3373167,48.84918975830078,21.702152252197266,13.28572940826416,-0.5080372095108032,-0.6319782137870789,-0.1092141643166542
823,3373207,48.82809066772461,21.676485061645508,13.27815055847168,-0.5070143938064575,-0.6368892192840576,-0.09788764268159866
827,3373227,48.817604064941406,21.663616180419922,13.2747220993042,-0.5052643418312073,-0.6378908157348633,-0.09075961261987686
840,3373267,48.79624557495117,21.63721466064453,13.272573471069336,-0.5026572942733765,-0.6399388909339905,-0.07841690629720688
853,3373287,48.78589630126953,21.62433433532715,13.271674156188965,-0.5018057823181152,-0.6399879455566406,-0.07098980247974396
858,3373327,48.76528549194336,21.598655700683594,13.270130157470703,-0.5001362562179565,-0.6371940970420837,-0.06034018471837044
872,3373367,48.74456024169922,21.572731018066406,13.275955200195312,-0.4992106556892395,-0.6348661780357361,-0.048815034329891205
886,3373387,48.73411560058594,21.55965805053711,13.27876091003418,-0.49819082021713257,-0.6316972970962524,-0.04401148855686188
891,3373427,48.71331024169922,21.533782958984375,13.283933639526367,-0.4984693229198456,-0.6259132623672485,-0.0347478911280632
904,3373467,48.69257354736328,21.508277893066406,13.294662475585938,-0.500130295753479,-0.6178247928619385,-0.024872325360774994
917,3373487,48.68220901489258,21.49566650390625,13.29957103729248,-0.5014906525611877,-0.6155095100402832,-0.02101578563451767
932,3373527,48.661434173583984,21.470727920532227,13.308568954467773,-0.5055569410324097,-0.607406497001648,-0.012814276851713657
936,3373567,48.63986587524414,21.445621490478516,13.320141792297363,-0.5110973715782166,-0.5978684425354004,-0.0018256357870995998
949,3373587,48.629207611083984,21.433544158935547,13.325528144836426,-0.5133770108222961,-0.5927392840385437,0.0035888883285224438
954,3373627,48.607791900634766,21.40972328186035,13.335518836975098,-0.5194112658500671,-0.5834780931472778,0.013186153024435043
968,3373667,48.58624267578125,21.386369705200195,13.34594440460205,-0.5260728001594543,-0.5733034610748291,0.022513842210173607
981,3373687,48.57539749145508,21.374858856201172,13.350814819335938,-0.5284157395362854,-0.5680745244026184,0.02845178358256817
986,3373727,48.55360412597656,21.35218048095703,13.3600435256958,-0.5337879061698914,-0.5572749972343445,0.0401991605758667
999,3373767,48.531463623046875,21.329181671142578,13.367663383483887,-0.5372676253318787,-0.5464795827865601,0.05160392448306084
1012,3373787,48.520267486572266,21.31749725341797,13.371293067932129,-0.5391194820404053,-0.5432350039482117,0.056765198707580566
1017,3373827,48.497901916503906,21.294570922851562,13.378373146057129,-0.5399895310401917,-0.5339669585227966,0.0678088590502739
1031,3373867,48.475101470947266,21.271657943725586,13.382214546203613,-0.5403314232826233,-0.5249073505401611,0.07797237485647202
1044,3373887,48.46400833129883,21.260643005371094,13.384191513061523,-0.5382088422775269,-0.5207446217536926,0.08280566334724426
1049,3373927,48.441917419433594,21.238943099975586,13.388341903686523,-0.5374799370765686,-0.5138513445854187,0.09264756739139557
1061,3373947,48.43094253540039,21.22823143005371,13.388187408447266,-0.535503625869751,-0.5118387937545776,0.09534357488155365
1075,3373987,48.4088020324707,21.205923080444336,13.387974739074707,-0.5357211232185364,-0.5081946849822998,0.10256164520978928
1080,3374027,48.386775970458984,21.183961868286133,13.388575553894043,-0.53460693359375,-0.5065662860870361,0.1103387326002121
1092,3374047,48.375816345214844,21.173091888427734,13.386977195739746,-0.5342679023742676,-0.5054068565368652,0.11471199244260788
1106,3374087,48.35401153564453,21.151506423950195,13.384730339050293,-0.5326839685440063,-0.5052574872970581,0.12109978497028351
1111,3374127,48.332305908203125,21.130115509033203,13.383647918701172,-0.5313560962677002,-0.5040997266769409,0.12872476875782013
1123,3374147,48.32097244262695,21.118989944458008,13.38195514678955,-0.5305677056312561,-0.5044068694114685,0.13191922008991241
1139,3374187,48.2996940612793,21.097923278808594,13.378642082214355,-0.529529333114624,-0.503637433052063,0.13816137611865997
1143,3374227,48.27851867675781,21.077045440673828,13.376629829406738,-0.5267895460128784,-0.5006532669067383,0.14072442054748535
1156,3374248,48.267982482910156,21.06669044494629,13.374747276306152,-0.524406373500824,-0.49983203411102295,0.14046348631381989
1169,3374287,48.24702835083008,21.04610252380371,13.37190055847168,-0.5221349000930786,-0.49876463413238525,0.1400914490222931
1174,3374327,48.226200103759766,21.025693893432617,13.37002944946289,-0.5187199115753174,-0.4961629807949066,0.13638007640838623
1186,3374347,48.21583938598633,21.015573501586914,13.367895126342773,-0.5179261565208435,-0.4930475950241089,0.13382147252559662
1202,3374387,48.19594955444336,20.9954833984375,13.363456726074219,-0.5151888132095337,-0.48709622025489807,0.12619878351688385
1207,3374427,48.175601959228516,20.97521209716797,13.36001968383789,-0.5124070644378662,-0.4807458221912384,0.11592742055654526
1219,3374447,48.16569137573242,20.965435028076172,13.356563568115234,-0.5127196311950684,-0.4809398651123047,0.1100577563047409
1233,3374487,48.14583206176758,20.946090698242188,13.350386619567871,-0.5133069753646851,-0.4741436541080475,0.09641921520233154
1238,3374527,48.12588119506836,20.92705535888672,13.345005989074707,-0.5158436298370361,-0.46805518865585327,0.08237258344888687
1251,3374547,48.115848541259766,20.917627334594727,13.340137481689453,-0.5155541300773621,-0.4662797152996063,0.0735812559723854
1265,3374587,48.096641540527344,20.898780822753906,13.330473899841309,-0.5173549652099609,-0.46119368076324463,0.0579204224050045
1269,3374607,48.08694839477539,20.889461517333984,13.326017379760742,-0.5198677182197571,-0.4578169882297516,0.049881499260663986
1283,3374647,48.067405700683594,20.870986938476562,13.315128326416016,-0.5210425853729248,-0.4542233645915985,0.03708365187048912
1297,3374687,48.04769515991211,20.852689743041992,13.302923202514648,-0.5220996141433716,-0.4514116942882538,0.02498640865087509
1301,3374707,48.03778076171875,20.843584060668945,13.297347068786621,-0.5225279927253723,-0.4531184732913971,0.02174973115324974
1314,3374747,48.01731491088867,20.824920654296875,13.284912109375,-0.5238184332847595,-0.45557621121406555,0.014545709826052189
1328,3374787,47.998199462890625,20.806764602661133,13.27176570892334,-0.5233428478240967,-0.46107274293899536,0.01229072455316782
1332,3374807,47.98858642578125,20.79761505126953,13.265872955322266,-0.5226011276245117,-0.4619705080986023,0.012932293117046356
1345,3374847,47.969268798828125,20.77919578552246,13.253791809082031,-0.5216802954673767,-0.4668867588043213,0.01565198227763176
1360,3374887,47.949859619140625,20.76058006286621,13.242047309875488,-0.5197808146476746,-0.4730008542537689,0.02022874914109707
1364,3374907,47.94011688232422,20.751184463500977,13.236878395080566,-0.51926589012146,-0.4763459265232086,0.022291848435997963
1377,3374947,47.92054748535156,20.732229232788086,13.227046966552734,-0.5182966589927673,-0.48129525780677795,0.02769244834780693
1391,3374987,47.90081024169922,20.71257209777832,13.218108177185059,-0.5185959339141846,-0.48459741473197937,0.02844361402094364
1395,3375007,47.890377044677734,20.70223045349121,13.214179039001465,-0.519602358341217,-0.48761120438575745,0.02800033614039421
1408,3375047,47.87042236328125,20.682504653930664,13.207093238830566,-0.5231274962425232,-0.4884822964668274,0.025371147319674492
1422,3375087,47.85026550292969,20.662837982177734,13.200884819030762,-0.5256564617156982,-0.4877743422985077,0.019269097596406937
1426,3375107,47.84010314941406,20.65302848815918,13.1980562210083,-0.5262129902839661,-0.4866027534008026,0.014965524896979332
1439,3375147,47.819644927978516,20.633512496948242,13.193601608276367,-0.5292971134185791,-0.48406392335891724,0.0073389410972595215
